date,102.776,102.776_trend,102.776_0.5yr,102.776_0.6yr,102.776_1yr,102.776_model,102.776_noise,102.776_wtest,flagged
2020-08-07,0.000000,-2.120516,0.733165,-0.265261,-0.360482,-2.013095,2.013095,1.006547,False
2020-09-02,-2.000000,-2.120516,-0.015209,0.219157,-0.145931,-2.062499,0.062499,0.031250,False
2020-10-08,-1.000000,-2.120516,-0.905755,0.652809,0.188237,-2.185224,1.185224,0.592612,False
2020-11-04,-1.000000,-2.120516,-0.782771,0.562683,0.399361,-1.941243,0.941243,0.470622,False
2020-12-01,0.000000,-2.120516,-0.033906,0.153124,0.526209,-1.475089,1.475089,0.737544,False
2021-01-12,-2.000000,-2.120516,0.941134,-0.550451,0.500451,-1.229382,-0.770618,-0.385309,False
2021-02-02,,-2.120516,0.808269,-0.666896,0.387536,-1.591607,,,False
2021-03-03,-2.000000,-2.120516,0.012065,-0.447799,0.153496,-2.402753,0.402753,0.201376,False
2021-04-07,-2.000000,-2.120516,-0.886325,0.176583,-0.172750,-3.003008,1.003008,0.501504,False
2021-05-14,-2.000000,-2.120516,-0.596335,0.647581,-0.449337,-2.518607,0.518607,0.259303,False
2021-06-03,-1.000000,-2.120516,0.012563,0.630365,-0.529939,-2.007527,1.007527,0.503763,False
2021-07-07,-2.000000,-2.120516,0.883259,0.173246,-0.522758,-1.586768,-0.413232,-0.206616,False
2021-08-09,-1.000000,-2.120516,0.698498,-0.421406,-0.348923,-2.192347,1.192347,0.596173,False
2021-09-09,-2.000000,-2.120516,-0.231876,-0.666896,-0.084239,-3.103527,1.103527,0.551764,False
2021-10-05,-2.000000,-2.120516,-0.866952,-0.488625,0.159215,-3.316877,1.316877,0.658438,False
2021-11-23,-1.000000,-2.120516,-0.294510,0.367466,0.498990,-1.548569,0.548569,0.274284,False
2021-12-14,-1.233924,-2.120516,0.379412,0.618149,0.548434,-0.574520,-0.659404,-0.329702,False
2022-01-01,3.183162,-2.120516,0.817123,0.661123,0.534385,-0.107884,3.291046,1.645523,False
2022-02-01,2.866312,-2.120516,0.825222,0.348407,0.394193,-0.552694,3.419005,1.709503,False
2022-03-01,-1.083330,-2.120516,0.077657,-0.167340,0.171580,-2.038619,0.955289,0.477645,False
2022-04-01,-4.660858,-2.120516,-0.795199,-0.606808,-0.118009,-3.640531,-1.020327,-0.510163,False
2022-05-01,-4.984938,-2.120516,-0.859762,-0.605366,-0.367800,-3.953444,-1.031494,-0.515747,False
2022-06-01,-2.473088,-2.120516,-0.053086,-0.163990,-0.524577,-2.862169,0.389081,0.194541,False
2022-07-01,0.254742,-2.120516,0.790636,0.383280,-0.537551,-1.484150,1.738892,0.869446,False
2022-08-01,0.567243,-2.120516,0.848812,0.665305,-0.403959,-1.010357,1.577600,0.788800,False
2022-09-01,-1.722336,-2.120516,0.028481,0.454842,-0.158035,-1.795228,0.072892,0.036446,False
2022-10-01,-4.357208,-2.120516,-0.804148,-0.073331,0.122627,-2.875368,-1.481840,-0.740920,False
2022-11-01,-5.022926,-2.120516,-0.837296,-0.561025,0.378231,-3.140606,-1.882320,-0.941160,False
2022-12-01,-3.750746,-2.120516,-0.036686,-0.639147,0.525976,-2.270373,-1.480373,-0.740186,False
2023-01-01,-2.181625,-2.120516,0.817123,-0.254719,0.534385,-1.023726,-1.157899,-0.578950,False
2023-02-21,-3.465473,-2.120516,0.333267,0.585422,0.241671,-0.960156,-2.505317,-1.252659,False
2023-03-14,-2.498790,-2.120516,-0.341412,0.663363,0.051369,-1.747195,-0.751595,-0.375797,False
2023-04-13,-2.546386,-2.120516,-0.939765,0.380445,-0.225651,-2.905486,0.359100,0.179550,False
2023-05-09,-2.587636,-2.120516,-0.715034,-0.092316,-0.420430,-3.348295,0.760659,0.380330,False
2023-06-14,-1.644751,-2.120516,0.364292,-0.614495,-0.548073,-2.918791,1.274040,0.637020,False
2023-07-11,-2.687587,-2.120516,0.924322,-0.620415,-0.509788,-2.326397,-0.361190,-0.180595,False
2023-08-16,-1.744703,-2.120516,0.523289,-0.107814,-0.295308,-2.000348,0.255646,0.127823,False
2023-09-07,-2.779606,-2.120516,-0.167670,0.301322,-0.102893,-2.089757,-0.689849,-0.344924,False
2023-10-04,-1.822443,-2.120516,-0.852748,0.631485,0.150132,-2.191647,0.369204,0.184602,False
2023-11-16,-1.890664,-2.120516,-0.502526,0.411231,0.467605,-1.744204,-0.146459,-0.073230,False
2023-12-13,-1.933500,-2.120516,0.349065,-0.073331,0.547672,-1.297110,-0.636390,-0.318195,False
2024-01-01,0.021334,-2.120516,0.817123,-0.406405,0.534385,-1.175412,1.196747,0.598373,False
2024-02-17,-2.038211,-2.120516,0.456506,-0.606392,0.276132,-1.994271,-0.043941,-0.021970,False
2024-03-06,-3.066769,-2.120516,-0.113189,-0.391021,0.118447,-2.506279,-0.560490,-0.280245,False
2024-04-17,-3.133403,-2.120516,-0.953774,0.362786,-0.265501,-2.977004,-0.156399,-0.078200,False
2024-05-16,-3.179413,-2.120516,-0.526623,0.657746,-0.463212,-2.452605,-0.726808,-0.363404,False
2024-06-13,-3.223836,-2.120516,0.350651,0.536794,-0.547715,-1.780786,-1.443050,-0.721525,False
2024-07-10,-3.266672,-2.120516,0.919944,0.108227,-0.511619,-1.603964,-1.662709,-0.831354,False
2024-08-08,-3.312682,-2.120516,0.711789,-0.412430,-0.353302,-2.174458,-1.138224,-0.569112,False
2024-09-04,-2.355518,-2.120516,-0.080611,-0.661138,-0.127647,-2.989912,0.634393,0.317197,False
2024-10-16,-3.422152,-2.120516,-0.952890,-0.320094,0.257196,-3.136304,-0.285848,-0.142924,False
2024-11-12,-2.464989,-2.120516,-0.605601,0.179102,0.447346,-2.099668,-0.365320,-0.182660,False
2024-12-05,-2.501479,-2.120516,0.096914,0.534588,0.535915,-0.953098,-1.548381,-0.774191,False
2025-01-01,-0.145465,-2.120516,0.817123,0.661123,0.534385,-0.107884,-0.037580,-0.018790,False
2025-02-19,-3.622056,-2.120516,0.393967,0.022184,0.258528,-1.445836,-2.176219,-1.088110,False
2025-03-13,-2.656959,-2.120516,-0.310553,-0.375412,0.060785,-2.745696,0.088736,0.044368,False
2025-04-08,-2.698209,-2.120516,-0.897931,-0.649800,-0.181710,-3.849957,1.151748,0.575874,False
2025-05-06,-3.742632,-2.120516,-0.776309,-0.559148,-0.401576,-3.857548,0.114916,0.057458,False
2025-06-03,-2.787055,-2.120516,0.012563,-0.126649,-0.529939,-2.764541,-0.022515,-0.011257,False
2025-07-16,-3.855276,-2.120516,0.950978,0.576018,-0.490186,-1.083706,-2.771570,-1.385785,False
2025-08-07,-2.890180,-2.120516,0.741531,0.663363,-0.363345,-1.078966,-1.811214,-0.905607,False
2025-09-16,-2.953641,-2.120516,-0.445996,0.209894,-0.018311,-2.374929,-0.578712,-0.289356,False
2025-10-01,-2.977439,-2.120516,-0.804148,-0.073331,0.122627,-2.875368,-0.102071,-0.051036,False
