date,50.018,50.018_trend,50.018_0.41yr,50.018_0.5yr,50.018_0.78yr,50.018_1yr,50.018_jump,50.018_model,50.018_noise,50.018_wtest,flagged
2024-02-17,-9.475082,-10.249930,0.023649,0.459544,0.127771,-0.114031,0.292088,-9.460910,-0.014172,-0.007086,False
2024-03-06,-10.599975,-10.397154,-0.187331,0.279057,0.098720,-0.384667,0.292088,-10.299288,-0.300687,-0.150343,False
2024-04-17,-11.891391,-10.740678,-0.195076,-0.361434,-0.016450,-0.836865,0.292088,-11.858415,-0.032976,-0.016488,False
2024-05-16,-12.092606,-10.977873,0.145345,-0.471980,-0.094290,-0.911731,0.292088,-12.018441,-0.074165,-0.037083,False
2024-06-13,-12.286884,-11.206889,0.298144,-0.167839,-0.134450,-0.773744,0.292088,-11.692690,-0.594194,-0.297097,False
2024-07-10,-11.474223,-11.427725,0.097934,0.265939,-0.126345,-0.473898,0.292088,-11.372008,-0.102215,-0.051107,False
2024-08-08,-11.675438,-11.664920,-0.231429,0.488198,-0.069798,-0.042703,0.292088,-11.228566,-0.446873,-0.223436,False
2024-09-04,-10.862777,-11.885757,-0.271148,0.292643,0.008218,0.370362,0.292088,-11.193594,0.330817,0.165408,False
2024-10-16,-11.154193,-12.229281,0.176453,-0.349956,0.114172,0.830398,0.292088,-11.166125,0.011932,0.005966,False
2024-11-12,-11.341532,-12.450117,0.294548,-0.482309,0.137069,0.914382,0.292088,-11.294340,-0.047192,-0.023596,False
2024-12-05,-11.501117,-12.638237,0.121987,-0.285892,0.119359,0.833276,0.292088,-11.557420,0.056303,0.028152,False
2025-01-01,-12.207311,-12.859074,-0.195830,0.144925,0.061161,0.576564,0.292088,-11.980167,-0.227144,-0.113572,False
2025-02-19,-13.028441,-13.260950,-0.109195,0.446246,-0.079521,-0.147203,0.292088,-12.858536,-0.169905,-0.084953,False
2025-03-13,-13.181088,-13.441384,0.156995,0.188212,-0.122435,-0.470592,0.292088,-13.397116,0.216028,0.108014,False
2025-04-08,-14.361488,-13.654624,0.299105,-0.233781,-0.136283,-0.763746,0.292088,-14.197242,-0.164246,-0.082123,False
2025-05-06,-14.555765,-13.884267,0.095290,-0.485383,-0.102565,-0.910156,0.292088,-14.994994,0.439228,0.219614,False
2025-06-03,-14.750043,-14.113910,-0.225734,-0.319790,-0.030912,-0.849179,0.292088,-15.247438,0.497395,0.248698,False
2025-07-16,-14.048397,-14.466577,-0.139530,0.338511,0.090541,-0.397491,0.292088,-14.282458,0.234061,0.117031,False
2025-08-07,-14.201044,-14.647010,0.127655,0.487654,0.128105,-0.064695,0.292088,-13.676203,-0.524841,-0.262420,False
2025-09-16,-14.478583,-14.975072,0.255909,0.116448,0.119021,0.529890,0.292088,-13.661717,-0.816866,-0.408433,False
2025-10-01,-13.582660,-15.098095,0.114743,-0.132840,0.090458,0.702744,0.292088,-14.030903,0.448243,0.224122,False
