date,104.986,104.986_trend,104.986_0.5yr,104.986_0.66yr,104.986_0.77yr,104.986_0.95yr,104.986_1yr,104.986_jump,104.986_model,104.986_noise,104.986_wtest,flagged
2020-08-07,0.000000,1.919470,0.622730,0.032477,-0.255606,-1.052679,-0.079491,0.000000,1.186901,-1.186901,-0.593451,False
2020-09-02,1.000000,1.468975,0.403787,-0.203007,-0.332421,-0.702992,-0.128224,0.000000,0.506117,0.493883,0.246941,False
2020-10-08,0.000000,0.845212,-0.315382,-0.365853,-0.260531,0.010255,-0.153059,0.000000,-0.239359,0.239359,0.119679,False
2020-11-04,-1.000000,0.377389,-0.618991,-0.290374,-0.095529,0.559525,-0.134226,0.000000,-0.202205,-0.797795,-0.398898,False
2020-12-01,0.000000,-0.090433,-0.427672,-0.077467,0.103056,0.978219,-0.087068,0.000000,0.398635,-0.398635,-0.199317,False
2021-01-12,2.000000,-0.818678,0.394798,0.282316,0.317844,1.156715,0.017874,0.000000,1.350869,0.649131,0.324565,False
2021-02-02,1.738748,-1.183537,0.614860,0.362520,0.331266,0.998783,0.070524,0.000000,1.194416,0.544331,0.272166,False
2021-03-03,0.000000,-1.687389,0.417186,0.299480,0.234126,0.554226,0.127013,0.000000,-0.055359,0.055359,0.027679,False
2021-04-07,-2.000000,-2.295487,-0.282801,0.016290,-0.002843,-0.166994,0.153170,0.000000,-2.578666,0.578666,0.289333,False
2021-05-14,-5.000000,-2.938333,-0.613523,-0.291515,-0.248448,-0.853067,0.122284,0.000000,-4.822603,-0.177397,-0.088699,False
2021-06-03,-7.000000,-3.285818,-0.405102,-0.363232,-0.321156,-1.083760,0.083972,-0.690853,-6.065947,-0.934053,-0.467026,False
2021-07-07,-5.000000,-3.876541,0.278013,-0.265933,-0.298313,-1.145781,-0.000776,-0.690853,-6.000185,1.000185,0.500092,False
2021-08-09,-5.000000,-4.449890,0.622715,0.017610,-0.118291,-0.802160,-0.083063,-0.690853,-5.503933,0.503933,0.251966,False
2021-09-09,-5.000000,-4.988491,0.285219,0.276761,0.109202,-0.222085,-0.136979,-0.690853,-5.367227,0.367227,0.183613,False
2021-10-05,-6.000000,-5.440221,-0.253772,0.366019,0.265133,0.325492,-0.153156,-0.690853,-5.581357,-0.418643,-0.209321,False
2021-11-23,-6.000000,-6.291558,-0.535669,0.118263,0.303332,1.080662,-0.103709,-0.690853,-6.119531,0.119531,0.059766,False
2021-12-14,-6.986520,-6.656416,-0.191246,-0.079548,0.206240,1.174027,-0.057137,-0.690853,-6.294934,-0.691586,-0.345793,False
2022-01-01,-6.748311,-6.969152,0.188659,-0.232688,0.086402,1.120228,-0.011080,-0.690853,-6.508485,-0.239826,-0.119913,False
2022-02-01,-7.202096,-7.507753,0.611050,-0.365258,-0.140282,0.760474,0.068173,-0.690853,-7.264450,0.062354,0.031177,False
2022-03-01,-8.441131,-7.994231,0.448028,-0.290132,-0.291887,0.229916,0.123991,-0.690853,-8.465169,0.024038,0.012019,False
2022-04-01,-9.984538,-8.532832,-0.162942,-0.038672,-0.329519,-0.418796,0.152501,-0.690853,-10.021114,0.036576,0.018288,False
2022-05-01,-11.154127,-9.054059,-0.599837,0.229352,-0.220802,-0.925865,0.139707,-0.690853,-11.122357,-0.031769,-0.015885,False
2022-06-01,-11.506599,-9.592660,-0.436703,0.364916,-0.008950,-1.168338,0.088332,-0.690853,-11.444255,-0.062344,-0.031172,False
2022-07-01,-11.233304,-10.113886,0.157761,0.280860,0.201094,-1.061040,0.015021,-0.690853,-11.211044,-0.022260,-0.011130,False
2022-08-01,-11.052699,-10.652487,0.603978,0.023921,0.325839,-0.629989,-0.064608,-0.690853,-11.084200,0.031501,0.015751,False
2022-09-01,-11.409552,-11.191088,0.425087,-0.247823,0.300247,-0.005326,-0.126272,-0.690853,-11.536028,0.126476,0.063238,False
2022-10-01,-12.106492,-11.712315,-0.173268,-0.365883,0.142933,0.602813,-0.152619,-0.690853,-12.349192,0.242700,0.121350,False
2022-11-01,-12.701715,-12.250915,-0.607716,-0.264616,-0.083573,1.046968,-0.138038,-0.690853,-12.988744,0.287029,0.143514,False
2022-12-01,-13.013763,-12.772142,-0.428991,-0.009130,-0.267066,1.171119,-0.087252,-0.690853,-13.084316,0.070552,0.035276,False
2023-01-01,-13.287433,-13.310743,0.188659,0.258520,-0.334611,0.945162,-0.011080,-0.690853,-12.954947,-0.332486,-0.166243,False
2023-02-21,-13.607778,-14.196828,0.548855,0.313574,-0.125961,0.013305,0.110470,-0.690853,-14.027439,0.419661,0.209831,False
2023-03-14,-15.853095,-14.561687,0.216576,0.169150,0.028083,-0.423762,0.140859,-0.690853,-15.121634,-0.731462,-0.365731,False
2023-04-13,-16.203549,-15.082913,-0.390636,-0.109076,0.229447,-0.929128,0.152205,-0.690853,-16.820953,0.617405,0.308702,False
2023-05-09,-17.507275,-15.534643,-0.622957,-0.304284,0.325752,-1.153855,0.129761,-0.690853,-17.851078,0.343803,0.171902,False
2023-06-14,-17.927820,-16.160115,-0.201423,-0.344215,0.282013,-1.049372,0.058358,-0.690853,-18.105608,0.177788,0.088894,False
2023-07-11,-17.243228,-16.629219,0.351911,-0.181312,0.129595,-0.678569,-0.011313,-0.690853,-17.709760,0.466532,0.233266,False
2023-08-16,-16.663772,-17.254691,0.600564,0.149704,-0.132760,0.042541,-0.097931,-0.690853,-17.383426,0.719654,0.359827,False
2023-09-07,-16.920771,-17.636924,0.322648,0.307177,-0.262248,0.494734,-0.134539,-0.690853,-17.600004,0.679233,0.339617,False
2023-10-04,-19.236180,-18.106028,-0.234038,0.363246,-0.334182,0.937201,-0.153090,-0.690853,-18.217744,-1.018436,-0.509218,False
2023-11-16,-18.738496,-18.853119,-0.596090,0.115547,-0.209908,1.164006,-0.116508,-0.690853,-19.186925,0.448429,0.224214,False
2023-12-13,-19.053905,-19.322223,-0.211541,-0.136958,-0.024654,0.954545,-0.059575,-0.690853,-19.491259,0.437354,0.218677,False
2024-01-01,-19.544492,-19.652333,0.188659,-0.282011,0.115199,0.667672,-0.011080,-0.690853,-19.664748,0.120255,0.060128,False
2024-02-17,-21.824903,-20.466691,0.585063,-0.315911,0.330019,-0.284327,0.102657,-0.690853,-20.740043,-1.084860,-0.542430,False
2024-03-06,-22.035175,-20.778572,0.352871,-0.198282,0.326171,-0.633520,0.132368,-0.690853,-21.489816,-0.545359,-0.272679,False
2024-04-17,-24.525810,-21.506296,-0.463822,0.182108,0.131955,-1.140081,0.150312,-0.690853,-23.336677,-1.189133,-0.594567,False
2024-05-16,-24.864582,-22.008771,-0.601252,0.350318,-0.080148,-1.127898,0.117986,-0.766007,-24.115772,-0.748809,-0.374405,False
2024-06-13,-24.191672,-22.493920,-0.210493,0.332577,-0.255123,-0.828165,0.059449,-0.766007,-24.161683,-0.029988,-0.014994,False
2024-07-10,-23.507080,-22.961743,0.342620,0.154774,-0.333179,-0.341253,-0.009940,-0.766007,-23.914728,0.407648,0.203824,False
2024-08-08,-24.845852,-23.464218,0.622942,-0.114524,-0.286667,0.266794,-0.081726,-0.766007,-23.823407,-1.022444,-0.511222,False
2024-09-04,-25.161260,-23.932041,0.370286,-0.312150,-0.138174,0.771755,-0.131025,-0.766007,-24.137356,-1.023904,-0.511952,False
2024-10-16,-24.651895,-24.659764,-0.449273,-0.313769,0.163859,1.169035,-0.150796,-0.766007,-25.006716,0.354821,0.177410,False
2024-11-12,-24.967303,-25.127586,-0.614826,-0.117479,0.300482,1.084691,-0.122859,-0.766007,-25.363584,0.396281,0.198141,False
2024-12-05,-25.235984,-25.526102,-0.361632,0.098300,0.334443,0.810686,-0.078216,-0.766007,-25.488528,0.252544,0.126272,False
2025-01-01,-25.957585,-25.993924,0.188659,0.302948,0.265205,0.317830,-0.011080,-0.766007,-25.696369,-0.261216,-0.130608,False
2025-02-19,-27.123800,-26.845261,0.567829,0.284505,-0.060542,-0.676386,0.106752,-0.766007,-27.389112,0.265312,0.132656,False
2025-03-13,-28.380799,-27.227493,0.236553,0.113732,-0.208940,-0.995968,0.139802,-0.766007,-28.708321,0.327522,0.163761,False
2025-04-08,-29.684526,-27.679223,-0.301740,-0.129841,-0.318372,-1.169836,0.153122,-0.766007,-30.211897,0.527372,0.263686,False
2025-05-06,-30.011616,-28.165701,-0.619773,-0.325187,-0.318984,-1.072164,0.133790,-0.766007,-31.134027,1.122412,0.561206,False
2025-06-03,-31.338706,-28.652179,-0.405102,-0.354671,-0.198634,-0.704365,0.083972,-0.766007,-30.996987,-0.341719,-0.170859,False
2025-07-16,-29.841022,-29.399271,0.434761,-0.071713,0.107430,0.159092,-0.024403,-0.766007,-29.560110,-0.280912,-0.140456,False
2025-08-07,-29.098022,-29.781504,0.622437,0.134740,0.244519,0.598242,-0.078583,-0.766007,-29.026157,-0.071865,-0.035933,False
2025-09-16,-29.565293,-30.476473,0.144792,0.362101,0.331591,1.117805,-0.144227,-0.766007,-29.430418,-0.134875,-0.067437,False
2025-10-01,-29.740520,-30.737086,-0.173268,0.355719,0.297544,1.173376,-0.152619,-0.766007,-30.002342,0.261822,0.130911,False
