date,123.482,123.482_trend,123.482_0.41yr,123.482_0.5yr,123.482_0.58yr,123.482_0.95yr,123.482_1yr,123.482_jump,123.482_model,123.482_noise,123.482_wtest,flagged
2020-08-07,0.000000,0.339963,0.529459,-0.972313,0.808088,-0.192743,-0.264945,0.000000,0.247508,-0.247508,-0.123754,False
2020-09-02,1.000000,-0.161511,1.175550,-0.160765,0.194585,0.466259,-0.246512,0.000000,1.267607,-0.267607,-0.133803,False
2020-10-08,-1.000000,-0.855860,0.092118,1.004096,-0.746303,1.184973,-0.143754,0.000000,0.535270,-1.535270,-0.767635,False
2020-11-04,-1.000000,-1.376622,-1.021033,1.018182,-0.975679,1.415684,-0.028779,0.000000,-0.968247,-0.031753,-0.015876,False
2020-12-01,0.000000,-1.897383,-0.962424,0.218159,-0.614394,1.316016,0.092270,0.000000,-1.847757,1.847757,0.923878,False
2021-01-12,0.000000,-2.708038,0.844093,-1.072450,0.525894,0.582383,0.233730,0.000000,-1.594389,1.594389,0.797195,False
2021-02-02,,-3.114185,1.168346,-1.040800,0.909701,0.058678,0.263178,0.000000,-1.755082,,,False
2021-03-03,-4.000000,-3.675054,0.281099,-0.192695,0.869436,-0.662240,0.247897,0.000000,-3.131557,-0.868443,-0.434222,False
2021-04-07,-5.000000,-4.351965,-1.107308,0.971347,0.051321,-1.279481,0.150346,0.000000,-5.565739,0.565739,0.282870,False
2021-05-14,-7.000000,-5.067556,-0.414210,0.837316,-0.848005,-1.388871,-0.009289,0.000000,-6.890614,-0.109386,-0.054693,False
2021-06-03,-6.000000,-5.454363,0.542566,0.163870,-0.977707,-1.189542,-0.098307,0.000000,-7.013481,1.013481,0.506741,False
2021-07-07,-6.000000,-6.111933,1.109785,-0.966333,-0.463926,-0.520012,-0.218202,0.000000,-7.170621,1.170621,0.585311,False
2021-08-09,-6.000000,-6.750163,-0.177011,-0.939117,0.458009,0.315648,-0.265324,0.000000,-7.357958,1.357958,0.678979,False
2021-09-09,-8.000000,-7.349713,-1.167493,0.098151,0.966789,1.005985,-0.233588,0.000000,-6.679869,-1.320131,-0.660065,False
2021-10-05,-7.000000,-7.852561,-0.661182,0.940195,0.804809,1.352926,-0.155946,0.000000,-5.571759,-1.428241,-0.714120,False
2021-11-23,-7.000000,-8.800237,1.168480,0.514549,-0.461862,1.194815,0.056840,0.000000,-6.327415,-0.672585,-0.336293,False
2021-12-14,-6.046138,-9.206383,0.843256,-0.280203,-0.879536,0.822593,0.144896,0.000000,-8.555378,2.509240,1.254620,False
2022-01-01,-14.309043,-9.554509,0.051830,-0.864218,-0.977070,0.407348,0.205840,0.000000,-10.730779,-3.578264,-1.789132,False
2022-02-01,-16.054793,-10.154058,-1.118440,-1.055376,-0.531539,-0.381245,0.262534,1.299786,-11.678340,-4.376453,-2.188227,False
2022-03-01,-12.199671,-10.695587,-0.765034,-0.268883,0.249819,-0.999127,0.251024,1.299786,-10.928002,-1.271669,-0.635834,False
2022-04-01,-7.885691,-11.295137,0.657067,0.832061,0.905309,-1.384979,0.172109,1.299786,-8.813784,0.928093,0.464046,False
