date,34.983,34.983_trend,34.983_0.5yr,34.983_0.58yr,34.983_1yr,34.983_1.05yr,34.983_model,34.983_noise,34.983_wtest,flagged
2020-08-07,0.000000,-1.773324,0.108904,0.138822,0.359405,-0.339802,-1.505995,1.505995,0.752998,False
2020-09-02,-0.670167,-1.773324,0.251408,0.331269,0.494805,0.070519,-0.625323,-0.044844,-0.022422,False
2020-10-08,0.755715,-1.773324,0.141794,0.284969,0.519955,0.602586,-0.224020,0.979735,0.489867,False
2020-11-04,-1.000000,-1.773324,-0.088348,0.040346,0.410287,0.876239,-0.534799,-0.465201,-0.232600,False
2020-12-01,-1.000000,-1.773324,-0.247849,-0.228702,0.214039,0.981893,-1.053943,0.053943,0.026972,False
2021-01-12,-1.000000,-1.773324,-0.106487,-0.337438,-0.162607,0.776156,-1.603701,0.603701,0.301850,False
2021-02-02,-0.981636,-1.773324,0.076437,-0.199792,-0.332069,0.527415,-1.701334,0.719698,0.359849,False
2021-03-03,-1.000000,-1.773324,0.249514,0.097382,-0.491875,0.089618,-1.828686,0.828686,0.414343,False
2021-04-07,-1.000000,-1.773324,0.154467,0.348602,-0.523379,-0.455717,-2.249350,1.249350,0.624675,False
2021-05-14,-2.000000,-1.773324,-0.153723,0.240786,-0.357108,-0.870465,-2.913834,0.913834,0.456917,False
2021-06-03,-1.635680,-1.773324,-0.251233,0.049461,-0.202052,-0.970659,-3.147807,1.512127,0.756063,False
2021-07-07,-2.386377,-1.773324,-0.156252,-0.275957,0.104772,-0.903363,-3.004125,0.617747,0.308874,False
2021-08-09,-3.112931,-1.773324,0.121670,-0.346531,0.370142,-0.575702,-2.203744,-0.909187,-0.454594,False
2021-09-09,0.000000,-1.773324,0.259075,-0.130592,0.514615,-0.115642,-1.245868,1.245868,0.622934,False
2021-10-05,0.000000,-1.773324,0.164999,0.140779,0.525967,0.298013,-0.643565,0.643565,0.321783,False
2021-11-23,0.163204,-1.773324,-0.217556,0.346083,0.279868,0.880502,-0.484426,0.647630,0.323815,False
2021-12-14,-0.811832,-1.773324,-0.256238,0.221917,0.100846,0.975784,-0.731016,-0.080817,-0.040408,False
2022-01-01,-0.681063,-1.773324,-0.186274,0.046279,-0.063920,0.966364,-1.010874,0.329812,0.164906,False
2022-02-01,-1.351744,-1.773324,0.067870,-0.256492,-0.324817,0.758567,-1.528196,0.176452,0.088226,False
2022-03-01,-2.063432,-1.773324,0.244117,-0.360107,-0.484409,0.403532,-1.970192,-0.093241,-0.046620,False
2022-04-01,-2.618385,-1.773324,0.193850,-0.203342,-0.531624,-0.083272,-2.397712,-0.220673,-0.110337,False
2022-05-01,-2.891117,-1.773324,-0.048315,0.103549,-0.436375,-0.535600,-2.690065,-0.201052,-0.100526,False
2022-06-01,-2.823035,-1.773324,-0.246278,0.337541,-0.218954,-0.868592,-2.769607,-0.053428,-0.026714,False
2022-07-01,-2.485152,-1.773324,-0.195322,0.310947,0.050205,-0.982246,-2.589740,0.104588,0.052294,False
2022-08-01,-1.952291,-1.773324,0.054872,0.043093,0.313759,-0.855240,-2.216840,0.264549,0.132275,False
2022-09-01,-1.343759,-1.773324,0.248274,-0.258739,0.490063,-0.512042,-1.805767,0.462008,0.231004,False
2022-10-01,-0.792322,-1.773324,0.190862,-0.358000,0.531152,-0.055493,-1.464802,0.672480,0.336240,False
2022-11-01,-0.441790,-1.773324,-0.061391,-0.182556,0.428273,0.428758,-1.160241,0.718451,0.359225,False
2022-12-01,-0.361700,-1.773324,-0.247627,0.126868,0.214752,0.795280,-0.884051,0.522351,0.261176,False
2023-01-01,-0.586963,-1.773324,-0.186274,0.345407,-0.063920,0.975314,-0.702797,0.115834,0.057917,False
2023-02-21,-1.289560,-1.773324,0.211300,0.123078,-0.448904,0.740353,-1.147497,-0.142063,-0.071032,False
2023-03-14,-1.067640,-1.773324,0.257654,-0.097897,-0.522313,0.479024,-1.656857,0.589217,0.294608,False
2023-04-13,-2.363984,-1.773324,0.108516,-0.331351,-0.509555,0.017275,-2.488439,0.124454,0.062227,False
2023-05-09,-3.480958,-1.773324,-0.115724,-0.336677,-0.389941,-0.390340,-3.006005,-0.474953,-0.237476,False
2023-06-14,-4.089844,-1.773324,-0.256862,-0.048931,-0.105357,-0.825946,-3.010421,-1.079423,-0.539712,False
2023-07-11,-2.493861,-1.773324,-0.126399,0.222570,0.140564,-0.974067,-2.510656,0.016795,0.008398,False
2023-08-16,-3.690852,-1.773324,0.172753,0.355813,0.413761,-0.879756,-1.710752,-1.980100,-0.990050,False
2023-09-07,-2.103119,-1.773324,0.258199,0.247091,0.509375,-0.668968,-1.427627,-0.675492,-0.337746,False
2023-10-04,-1.848002,-1.773324,0.171778,-0.016729,0.527498,-0.296410,-1.387187,-0.460815,-0.230408,False
2023-11-16,-1.680650,-1.773324,-0.177681,-0.349541,0.332537,0.381084,-1.586925,-0.093725,-0.046862,False
2023-12-13,-2.541067,-1.773324,-0.257409,-0.306807,0.109861,0.732139,-1.495539,-1.045528,-0.522764,False
2024-01-01,-0.989508,-1.773324,-0.186274,-0.158041,-0.063920,0.897603,-1.283956,0.294448,0.147224,False
2024-02-17,-0.053016,-1.773324,0.187927,0.290650,-0.427208,0.922642,-0.799313,0.746296,0.373148,False
2024-03-06,-1.842632,-1.773324,0.256520,0.358765,-0.504515,0.785221,-0.877332,-0.965299,-0.482650,False
2024-04-17,-0.859190,-1.773324,0.069127,0.149740,-0.494897,0.233112,-1.816242,0.957052,0.478526,False
2024-05-16,-2.946241,-1.773324,-0.171943,-0.150358,-0.338772,-0.228267,-2.662665,-0.283577,-0.141788,False
2024-06-13,-3.280063,-1.773324,-0.257356,-0.343188,-0.109394,-0.627007,-3.110268,-0.169795,-0.084897,False
2024-07-10,-3.026502,-1.773324,-0.130442,-0.318624,0.135929,-0.889943,-2.976405,-0.050098,-0.025049,False
2024-08-08,-2.068822,-1.773324,0.116910,-0.080516,0.366136,-0.981588,-2.352381,0.283559,0.141779,False
