date,93.29499999999999,93.29499999999999_trend,93.29499999999999_0.2yr,93.29499999999999_0.5yr,93.29499999999999_0.94yr,93.29499999999999_1yr,93.29499999999999_jump,93.29499999999999_model,93.29499999999999_noise,93.29499999999999_wtest,flagged
2020-08-07,0.000000,-1.112357,-0.429392,0.685914,1.069994,-0.504298,0.000000,-0.290138,0.290138,0.145069,False
2020-09-02,2.000000,-1.112357,0.426948,0.629250,1.124295,0.008682,0.000000,1.076819,0.923181,0.461591,False
2020-10-08,1.000000,-1.112357,-0.415472,-0.146404,0.796251,0.694492,0.000000,-0.183490,1.183490,0.591745,False
2020-11-04,-0.000000,-1.112357,0.110758,-0.661486,0.318727,1.051277,0.000000,-0.293081,0.293081,0.146541,False
2020-12-01,0.000000,-1.112357,0.265002,-0.647663,-0.234737,1.186214,0.000000,-0.543540,0.543540,0.271770,False
2021-01-12,2.000000,-1.112357,-0.058678,0.255734,-0.939808,0.905043,0.000000,-0.950067,2.950067,1.475033,False
2021-02-02,0.000000,-1.112357,0.473602,0.645520,-1.109709,0.575234,0.000000,-0.527709,0.527709,0.263855,False
2021-03-03,-1.000000,-1.112357,-0.410719,0.639683,-1.076800,0.008281,0.000000,-1.951912,0.951912,0.475956,False
2021-04-07,,-1.112357,0.376158,-0.103399,-0.649117,-0.665505,0.000000,-2.154220,,,False
2021-05-14,-2.000000,-1.112357,-0.388405,-0.723153,0.077737,-1.119149,0.000000,-3.265326,1.265326,0.632663,False
2021-06-03,-3.000000,-1.112357,-0.214893,-0.630285,0.477990,-1.186395,0.000000,-2.665940,-0.334060,-0.167030,False
2021-07-07,-1.000000,-1.112357,0.300784,0.097158,0.988449,-0.985039,0.000000,-0.711005,-0.288995,-0.144497,False
2021-08-09,-1.000000,-1.112357,-0.396955,0.698928,1.130002,-0.474563,0.000000,-0.154944,-0.845056,-0.422528,False
2021-09-09,0.000000,-1.112357,0.473602,0.527634,0.897306,0.144533,0.000000,0.930719,-0.930719,-0.465360,False
2021-10-05,-2.000000,-1.112357,-0.335335,-0.065857,0.479161,0.639924,0.000000,-0.394463,-1.605537,-0.802768,False
2021-11-23,-2.000000,-1.112357,0.457373,-0.716432,-0.505145,1.171712,0.000000,-0.704849,-1.295151,-0.647576,False
2021-12-14,-1.836831,-1.112357,-0.237717,-0.438002,-0.849435,1.161840,0.000000,-1.475670,-0.361160,-0.180580,False
2022-01-01,-4.828213,-1.112357,-0.418169,-0.015953,-1.047228,1.033259,0.000000,-1.560447,-3.267765,-1.633883,False
2022-02-01,,-1.112357,0.476481,0.633260,-1.117859,0.593010,-3.442886,-3.970351,,,False
2022-03-01,,-1.112357,-0.363214,0.662644,-0.878550,0.049113,-3.442886,-5.085250,,,False
2022-04-01,-6.210843,-1.112357,0.182546,0.047420,-0.354612,-0.560693,-3.442886,-5.240582,-0.970261,-0.485130,False
2022-05-01,-4.225460,-1.112357,0.078974,-0.602956,0.260395,-1.003847,-3.442886,-5.822676,1.597217,0.798608,False
2022-06-01,-6.490101,-1.112357,-0.284597,-0.654396,0.813389,-1.185934,-3.442886,-5.866781,-0.623320,-0.311660,False
2022-07-01,-5.750182,-1.112357,0.444143,-0.053705,1.106811,-1.047968,-3.442886,-4.105963,-1.644220,-0.822110,False
2022-08-01,-2.327093,-1.112357,-0.474185,0.613468,1.067625,-0.619343,-3.442886,-3.967677,1.640584,0.820292,False
2022-09-01,-0.431432,-1.112357,0.399932,0.645712,0.693501,-0.018492,-7.019884,-6.411587,5.980155,2.990078,False
2022-10-01,,-1.112357,-0.201320,0.034841,0.122487,0.569672,-7.019884,-7.606561,,,False
2022-11-01,,-1.112357,-0.017797,-0.623572,-0.503284,1.019839,-7.019884,-8.257054,,,False
2022-12-01,,-1.112357,0.267883,-0.648655,-0.960254,1.186181,-7.019884,-8.287084,,,False
2023-01-01,-5.679446,-1.112357,-0.418169,-0.015953,-1.134677,1.033259,-7.019884,-8.667780,2.988334,1.494167,False
2023-02-21,-4.927063,-1.112357,-0.084319,0.722218,-0.669411,0.211379,-7.019884,-7.952374,3.025311,1.512656,False
2023-03-14,-6.011596,-1.112357,-0.436287,0.462827,-0.276792,-0.215177,-7.019884,-8.597670,2.586073,1.293037,False
2023-04-13,-6.132359,-1.112357,0.471660,-0.249821,0.338542,-0.763223,-7.019884,-8.335083,2.202724,1.101362,False
2023-05-09,-7.237019,-1.112357,-0.237717,-0.693083,0.797288,-1.081152,-7.019884,-9.346905,2.109885,1.054943,False
2023-06-14,-6.381934,-1.112357,0.219722,-0.448032,1.124762,-1.163865,-7.019884,-8.399653,2.017719,1.008859,False
2023-07-11,-6.490620,-1.112357,0.158327,0.195830,1.061146,-0.937208,-7.019884,-7.654145,1.163525,0.581762,False
2023-08-16,-6.635535,-1.112357,-0.177523,0.730611,0.592608,-0.340411,-7.019884,-7.326955,0.691421,0.345710,False
2023-09-07,-5.724094,-1.112357,0.475832,0.561288,0.165768,0.103913,-7.019884,-6.825440,1.101346,0.550673,False
2023-10-04,-5.832780,-1.112357,-0.304973,-0.040725,-0.386777,0.622633,-7.019884,-8.242082,2.409303,1.204651,False
2023-11-16,-7.005872,-1.112357,0.452896,-0.731510,-1.028782,1.140831,-7.019884,-8.298805,1.292932,0.646466,False
2023-12-13,-7.114558,-1.112357,-0.201320,-0.457929,-1.132726,1.165803,-7.019884,-8.758412,1.643854,0.821927,False
2024-01-01,-8.435489,-1.112357,-0.418169,-0.015953,-1.042053,1.033259,-7.019884,-8.575156,0.139668,0.069834,False
2024-02-17,-7.380236,-1.112357,0.084165,0.731788,-0.341329,0.293742,-7.019884,-7.363875,-0.016360,-0.008180,False
2024-03-06,-8.452693,-1.112357,-0.466845,0.587471,0.026312,-0.069745,-7.019884,-8.055048,-0.397645,-0.198823,False
2024-04-17,-9.621760,-1.112357,0.460605,-0.357568,0.806223,-0.834248,-7.019884,-8.057229,-1.564531,-0.782266,False
2024-05-16,-8.738497,-1.112357,-0.440484,-0.730419,1.099158,-1.135816,-7.019884,-9.339801,0.601304,0.300652,False
2024-06-13,-7.851208,-1.112357,0.203249,-0.456908,1.096435,-1.165606,-7.019884,-8.455070,0.603861,0.301931,False
2024-07-10,-7.959895,-1.112357,0.178355,0.183128,0.827513,-0.943705,-7.019884,-7.886950,-0.072945,-0.036472,False
2024-08-08,-9.076631,-1.112357,-0.410069,0.694280,0.321908,-0.485789,-7.019884,-8.011910,-1.064721,-0.532360,False
2024-09-04,-9.185317,-1.112357,0.456878,0.602112,-0.231492,0.049403,-7.019884,-7.255340,-1.929978,-0.964989,False
2024-10-16,-8.354385,-1.112357,-0.469425,-0.335434,-0.937595,0.819644,-7.019884,-9.055050,0.700665,0.350333,False
2024-11-12,-9.463071,-1.112357,0.379574,-0.721680,-1.128424,1.116664,-7.019884,-8.486107,-0.976964,-0.488482,False
2024-12-05,-8.555655,-1.112357,0.116158,-0.594879,-1.078918,1.184919,-7.019884,-8.504960,-0.050695,-0.025348,False
2025-01-01,-12.560692,-1.112357,-0.418169,-0.015953,-0.784055,1.033259,-7.019884,-8.317158,-4.243534,-2.121767,False
2025-02-19,-9.861586,-1.112357,-0.002713,0.728692,0.152145,0.251438,-7.019884,-7.002678,-2.858909,-1.429454,False
2025-03-13,-9.950145,-1.112357,-0.451176,0.482071,0.580832,-0.195061,-7.019884,-7.715575,-2.234571,-1.117285,False
2025-04-08,-11.054806,-1.112357,0.399932,-0.128280,0.963011,-0.682313,-7.019884,-7.579889,-3.474916,-1.737458,False
2025-05-06,-10.167517,-1.112357,-0.124337,-0.665125,1.133572,-1.054492,-7.019884,-8.842621,-1.324897,-0.662448,False
2025-06-03,-11.280229,-1.112357,-0.214893,-0.630285,1.012561,-1.186395,-7.019884,-9.151253,-2.128976,-1.064488,False
2025-07-16,-9.453322,-1.112357,-0.043678,0.313744,0.351650,-0.871201,-7.019884,-8.381726,-1.071596,-0.535798,False
2025-08-07,-10.541881,-1.112357,-0.436287,0.682316,-0.099488,-0.511711,-7.019884,-8.497411,-2.044470,-1.022235,False
2025-09-16,-11.702897,-1.112357,0.359678,0.391307,-0.829869,0.285040,-7.019884,-7.926085,-3.776812,-1.888406,False
2025-10-01,-10.763278,-1.112357,-0.201320,0.034841,-1.008667,0.569672,-7.019884,-8.737715,-2.025563,-1.012781,False
