date,291.925,291.925_trend,291.925_0.5yr,291.925_1yr,291.925_1.05yr,291.925_2.1yr,291.925_2.78yr,291.925_model,291.925_noise,291.925_wtest,flagged
2024-01-01,1.630071,-1.694592,-0.919909,0.044116,1.691916,-0.847248,2.576542,0.850825,0.779246,0.259749,False
2024-02-17,8.323876,-1.694592,-0.266803,1.203800,2.127265,0.640138,2.883060,4.892869,3.431008,1.143669,False
2024-03-06,8.711082,-1.694592,0.322693,1.478912,1.968024,1.196758,2.937339,6.209134,2.501948,0.833983,False
2024-04-17,7.281228,-1.694592,0.948237,1.555998,0.988997,2.375233,2.922682,7.096554,0.184673,0.061558,False
2024-05-16,5.293947,-1.694592,0.345740,1.142763,0.013396,3.034247,2.797867,5.639422,-0.345474,-0.115158,False
2024-06-13,4.340711,-1.694592,-0.544918,0.478828,-0.933803,3.509809,2.592376,3.407700,0.933011,0.311004,False
2024-07-10,3.421519,-1.694592,-0.968573,-0.266143,-1.666979,3.795191,2.320917,1.519821,1.901698,0.633899,False
2024-08-08,3.434239,-1.694592,-0.565049,-0.999538,-2.095824,3.896410,1.957896,0.499303,2.934936,0.978312,False
2024-09-04,1.515047,-1.694592,0.291115,-1.467119,-2.079858,3.794646,1.563345,0.407537,1.107510,0.369170,False
2024-10-16,1.085193,-1.694592,0.954634,-1.563834,-1.288910,3.275142,0.867848,0.550288,0.534905,0.178302,False
2024-11-12,0.166001,-1.694592,0.437054,-1.200749,-0.435455,2.733508,0.386964,0.226730,-0.060729,-0.020243,False
2024-12-05,-0.617014,-1.694592,-0.306949,-0.686968,0.364453,2.166291,-0.031673,-0.189439,-0.427576,-0.142525,False
2025-01-01,-0.620892,-1.694592,-0.919909,0.044116,1.230486,1.404641,-0.521679,-0.456936,-0.163956,-0.054652,False
2025-02-19,-3.204369,-1.694592,-0.197837,1.242997,2.114442,-0.128091,-1.366992,-0.030073,-3.174296,-1.058099,False
2025-03-13,-3.953341,-1.694592,0.508433,1.542129,2.094908,-0.824535,-1.710170,-0.083827,-3.869514,-1.289838,False
2025-04-08,-4.838488,-1.694592,0.962234,1.612469,1.726648,-1.611407,-2.074427,-1.079076,-3.759413,-1.253138,False
2025-05-06,-6.791725,-1.694592,0.646992,1.333983,0.987679,-2.376305,-2.406462,-3.508705,-3.283020,-1.094340,False
2025-06-03,-6.744961,-1.694592,-0.224349,0.751538,0.044213,-3.016566,-2.666338,-6.806095,0.061134,0.020378,False
2025-07-16,-8.208859,-1.694592,-0.959730,-0.417126,-1.352802,-3.682595,-2.907784,-11.014630,2.805771,0.935257,False
2025-08-07,-8.957830,-1.694592,-0.602330,-0.968386,-1.850971,-3.851279,-2.952574,-11.920133,2.962303,0.987434,False
2025-09-16,-9.319596,-1.694592,0.629749,-1.577244,-2.122014,-3.836829,-2.893944,-11.494875,2.175279,0.725093,False
2025-10-01,-10.830258,-1.694592,0.911688,-1.625215,-1.990653,-3.724509,-2.825878,-10.949160,0.118902,0.039634,False
