date,206.425,206.425_trend,206.425_0.25yr,206.425_0.5yr,206.425_0.95yr,206.425_1yr,206.425_1.29yr,206.425_jump,206.425_model,206.425_noise,206.425_wtest,flagged
2020-08-07,0.000000,0.334699,-0.254407,0.296399,0.063457,-0.249190,-0.074502,0.000000,0.116456,-0.116456,-0.058228,False
2020-09-02,1.000000,-0.184785,0.138291,0.337701,0.222522,-0.102443,0.029613,0.000000,0.440899,0.559101,0.279550,False
2020-10-08,-1.000000,-0.904070,0.034452,0.008402,0.357594,0.126952,0.165408,0.000000,-0.211261,-0.788739,-0.394370,False
2020-11-04,-1.000000,-1.443534,-0.265374,-0.278600,0.363887,0.272444,0.244226,0.000000,-1.106952,0.106952,0.053476,False
2020-12-01,-1.000000,-1.982998,0.113885,-0.342842,0.285259,0.360442,0.291851,0.000000,-1.274403,0.274403,0.137202,False
2021-01-12,-1.000000,-2.822766,-0.048731,0.046635,0.042477,0.344439,0.291117,0.000000,-2.146828,1.146828,0.573414,False
2021-02-02,-4.000000,-3.243499,-0.268133,0.267630,-0.097812,0.267648,0.256255,0.000000,-2.817911,-1.182089,-0.591045,False
2021-03-03,-2.000000,-3.824510,0.124904,0.340667,-0.264645,0.107625,0.176095,1.245168,-2.094696,0.094696,0.047348,False
2021-04-07,-3.000000,-4.525731,0.065902,0.029524,-0.368071,-0.116300,0.046064,1.245168,-3.623445,0.623445,0.311723,False
2021-05-14,-6.000000,-5.267022,-0.200317,-0.329385,-0.321800,-0.307006,-0.101497,1.245168,-5.281859,-0.718141,-0.359070,False
2021-06-03,-7.000000,-5.667720,0.137011,-0.338001,-0.234752,-0.363058,-0.173273,0.043755,-6.596038,-0.403962,-0.201981,False
2021-07-07,-7.000000,-6.348906,0.070374,-0.032566,-0.024858,-0.359500,-0.264834,0.043755,-6.916535,-0.083465,-0.041733,False
2021-08-09,-7.000000,-7.010057,-0.243412,0.306669,0.188396,-0.241299,-0.302557,0.043755,-7.258506,0.258506,0.129253,False
2021-09-09,-7.000000,-7.631139,0.226019,0.304126,0.330287,-0.060161,-0.285390,0.043755,-7.072503,0.072503,0.036251,False
2021-10-05,-7.000000,-8.152046,0.092395,0.047732,0.371967,0.106993,-0.233499,0.043755,-7.722703,0.722703,0.361351,False
2021-11-23,-8.000000,-9.133755,-0.031832,-0.354663,0.236708,0.341454,-0.067624,0.043755,-8.965958,0.965958,0.482979,False
2021-12-14,-9.452578,-9.554488,0.260649,-0.270342,0.113204,0.376214,0.016780,0.043755,-9.014228,-0.438349,-0.219175,False
2022-01-01,-10.373440,-9.915116,0.146057,-0.086682,-0.006297,0.367303,0.088334,0.043755,-9.362646,-1.010794,-0.505397,False
2022-02-01,-10.491077,-10.536197,-0.268562,0.259457,-0.203433,0.272188,0.197504,0.043755,-10.235289,-0.255788,-0.127894,False
2022-03-01,-10.451543,-11.097174,0.091081,0.346663,-0.329117,0.120012,0.267880,0.043755,-10.556900,0.105357,0.052679,False
2022-04-01,-10.938682,-11.718255,0.164892,0.101400,-0.370875,-0.078667,0.302434,0.043755,-11.555317,0.616635,0.308317,False
2022-05-01,-12.109556,-12.319302,-0.264881,-0.239960,-0.302623,-0.250651,0.287289,0.043755,-13.046373,0.936816,0.468408,False
2022-06-01,-13.448574,-12.940383,0.104002,-0.344605,-0.140909,-0.359299,0.224005,0.043755,-13.413435,-0.035138,-0.017569,False
2022-07-01,-14.256329,-13.541430,0.168517,-0.104322,0.057461,-0.369416,0.126620,0.043755,-13.618816,-0.637513,-0.318757,False
