date,167.875,167.875_trend,167.875_0.5yr,167.875_0.78yr,167.875_1yr,167.875_jump,167.875_model,167.875_noise,167.875_wtest,flagged
2020-08-07,0.000000,-0.133502,1.734651,-0.975167,-0.499761,0.000000,0.126221,-0.126221,-0.063111,False
2020-09-02,0.000000,-0.516474,0.201136,-0.742320,-0.322192,0.000000,-1.379850,1.379850,0.689925,False
2020-10-08,-1.000000,-1.046742,-1.884686,-0.059610,0.018119,0.000000,-2.972920,1.972920,0.986460,False
2020-11-04,-1.000000,-1.444444,-1.825915,0.501429,0.276212,0.000000,-2.492718,1.492718,0.746359,False
2020-12-01,-1.000000,-1.842145,-0.307194,0.890548,0.476017,0.000000,-0.782775,-0.217225,-0.108613,False
2021-01-12,0.000000,-2.461236,1.996484,0.873214,0.578379,0.000000,0.986841,-0.986841,-0.493421,False
2021-02-02,,-2.771407,1.871569,0.576762,0.518629,0.000000,0.195553,,,False
2021-03-03,-2.000000,-3.199738,0.260109,-0.014696,0.329086,0.000000,-2.625240,0.625240,0.312620,False
2021-04-07,-5.000000,-3.716689,-1.829568,-0.698287,-0.000772,0.000000,-6.245316,1.245316,0.622658,False
2021-05-14,-5.000000,-4.263181,-1.471809,-0.985071,-0.346648,0.000000,-7.066709,2.066709,1.033354,False
2021-06-03,-7.000000,-4.558582,-0.206866,-0.876719,-0.484026,0.000000,-6.126193,-0.873807,-0.436904,False
2021-07-07,-5.000000,-5.060763,1.821071,-0.334189,-0.581824,0.000000,-4.155705,-0.844295,-0.422148,False
2021-08-09,-4.000000,-5.548174,1.669377,0.367750,-0.491375,0.000000,-4.002422,0.002422,0.001211,False
2021-09-09,-6.000000,-6.006045,-0.274242,0.862928,-0.264571,0.000000,-5.681931,-0.318069,-0.159035,False
2021-10-05,-7.000000,-6.390066,-1.776576,0.983230,-0.014250,0.000000,-7.197662,0.197662,0.098831,False
2021-11-23,-8.000000,-7.113798,-0.859275,0.401766,0.425004,0.000000,-7.146304,-0.853696,-0.426848,False
2021-12-14,-7.187951,-7.423969,0.605476,-0.042960,0.538071,0.000000,-6.323382,-0.864569,-0.432284,False
2022-01-01,,-7.689830,1.645715,-0.420571,0.579945,0.000000,-5.884741,,,False
2022-02-01,,-8.147701,1.901318,-0.889288,0.523091,0.000000,-6.612580,,,False
2022-03-01,-7.344005,-8.561262,0.401145,-0.971042,0.345407,0.000000,-8.785753,1.441748,0.720874,False
2022-04-01,-16.535382,-9.019133,-1.589805,-0.645801,0.059219,0.000000,-11.195520,-5.339862,-2.669931,False
2022-05-01,,-9.462234,-1.959964,-0.051623,-0.234303,-0.157882,-11.866007,,,False
2022-06-01,-12.617332,-9.920106,-0.348443,0.582063,-0.472626,-0.157882,-10.316993,-2.300339,-1.150170,False
2022-07-01,-6.272976,-10.363207,1.578266,0.948051,-0.578545,-0.157882,-8.573316,2.300339,1.150170,False
2022-08-01,-5.697668,-10.821078,1.941705,0.905023,-0.529494,-0.742562,-9.246406,3.548738,1.774369,False
2022-09-01,-11.394426,-11.278949,0.295509,0.454650,-0.333203,-0.742562,-11.604554,0.210129,0.105064,False
2022-10-01,-18.069254,-11.722050,-1.612528,-0.179012,-0.054235,-0.742562,-14.310387,-3.758867,-1.879433,False
2022-11-01,-20.015374,-12.179922,-1.922152,-0.751290,0.247975,-1.627384,-16.232772,-3.782602,-1.891301,False
2022-12-01,-16.653077,-12.623023,-0.313178,-0.984746,0.475529,-1.627384,-15.072801,-1.580275,-0.790138,False
2023-01-01,-12.368954,-13.080894,1.645715,-0.789236,0.579945,-1.627384,-13.271855,0.902901,0.451450,False
2023-02-21,-14.923907,-13.834166,0.939746,0.192897,0.406411,-1.627384,-13.922496,-1.001411,-0.500706,False
2023-03-14,-15.063238,-14.144337,-0.519521,0.604640,0.232889,-1.627384,-15.453712,0.390474,0.195237,False
2023-04-13,-17.262282,-14.587438,-1.991538,0.955392,-0.060755,-1.627384,-17.311723,0.049441,0.024721,False
2023-05-09,-18.434787,-14.971459,-1.700648,0.933846,-0.305195,-1.627384,-17.670840,-0.763947,-0.381973,False
2023-06-14,-16.673639,-15.503180,0.571220,0.429377,-0.536146,-1.627384,-16.666113,-0.007526,-0.003763,False
2023-07-11,-16.852779,-15.901971,1.940429,-0.142531,-0.580564,-1.627384,-16.312022,-0.540756,-0.270378,False
2023-08-16,-18.091631,-16.433693,1.326915,-0.795719,-0.450360,-1.627384,-17.980240,-0.111391,-0.055696,False
2023-09-07,-17.237597,-16.758634,-0.132067,-0.975176,-0.282251,-1.627384,-19.775512,2.537915,1.268958,False
2023-10-04,-20.416736,-17.157425,-1.738606,-0.887392,-0.024260,-1.627384,-21.435067,1.018330,0.509165,False
2023-11-16,-20.702033,-17.792536,-1.285279,-0.168279,0.374156,-1.627384,-20.499322,-0.202710,-0.101355,False
2023-12-13,-18.881172,-18.191327,0.536794,0.405760,0.534181,-1.627384,-18.341977,-0.539195,-0.269598,False
2024-01-01,-13.506624,-18.471958,1.645715,0.736306,0.579945,-1.627384,-17.137377,3.630753,1.815376,False
2024-02-17,-22.319069,-19.164253,1.192365,0.939452,0.434950,-2.838443,-19.435930,-2.883139,-1.441569,False
