date,1.35,1.35_trend,1.35_0.5yr,1.35_0.73yr,1.35_1yr,1.35_1.1yr,1.35_1.48yr,1.35_model,1.35_noise,1.35_wtest,flagged
2024-01-01,-4.220841,-3.360943,0.294577,-0.510444,0.042606,0.239360,0.347449,-2.947396,-1.273446,-0.636723,False
2024-02-17,-5.014330,-3.360943,-0.019591,-0.340269,-0.150754,0.070931,0.054483,-3.746143,-1.268187,-0.634093,False
2024-03-06,-5.047529,-3.360943,-0.186321,-0.145805,-0.205477,-0.009151,-0.066958,-3.974655,-1.072873,-0.536437,False
2024-04-17,-5.125375,-3.360943,-0.250306,0.341057,-0.252003,-0.182535,-0.330159,-4.034891,-1.090484,-0.545242,False
2024-05-16,-5.176223,-3.360943,-0.005687,0.516670,-0.209702,-0.261408,-0.470152,-3.791222,-1.385000,-0.692500,False
2024-06-13,-5.230124,-3.360943,0.238312,0.466941,-0.120332,-0.287704,-0.555438,-3.619165,-1.610959,-0.805479,False
2024-07-10,-5.279923,-3.360943,0.281647,0.233103,-0.008036,-0.261825,-0.582726,-3.698780,-1.581143,-0.790571,False
2024-08-08,-5.333410,-3.360943,0.080526,-0.115820,0.113788,-0.183309,-0.548934,-4.014691,-1.318719,-0.659360,False
2024-09-04,-5.383209,-3.360943,-0.178375,-0.397202,0.202908,-0.076573,-0.461974,-4.272160,-1.111049,-0.555525,False
2024-10-16,-5.532767,-3.360943,-0.255496,-0.505761,0.252387,0.108340,-0.241951,-4.003424,-1.529344,-0.764672,False
2024-11-12,-5.736878,-3.360943,-0.035948,-0.322830,0.216728,0.207879,-0.066853,-3.361966,-2.374912,-1.187456,False
2024-12-05,-5.552894,-3.360943,0.182375,-0.063328,0.149698,0.264504,0.088127,-2.739568,-2.813326,-1.406663,False
2025-01-01,-4.930844,-3.360943,0.294577,0.258364,0.042606,0.287668,0.261310,-2.216418,-2.714426,-1.357213,False
2025-02-19,-4.693068,-3.360943,-0.041063,0.522816,-0.158105,0.203766,0.501051,-2.332478,-2.360591,-1.180295,False
2025-03-13,-5.229837,-3.360943,-0.230307,0.428331,-0.220019,0.123252,0.560044,-2.699642,-2.530195,-1.265097,False
2025-04-08,-5.781599,-3.360943,-0.287455,0.175260,-0.252572,0.010306,0.582589,-3.132814,-2.648785,-1.324392,False
2025-05-06,-5.833242,-3.360943,-0.110722,-0.165348,-0.232017,-0.112662,0.547784,-3.433908,-2.399334,-1.199667,False
2025-06-03,-5.884885,-3.360943,0.161178,-0.436453,-0.158595,-0.214343,0.455391,-3.553765,-2.331121,-1.165560,False
2025-07-16,-5.964195,-3.360943,0.260209,-0.478937,0.016019,-0.287237,0.225251,-3.625638,-2.338556,-1.169278,False
2025-08-07,-5.919771,-3.360943,0.094079,-0.308838,0.108309,-0.275947,0.081888,-3.661453,-2.258319,-1.129159,False
2025-09-16,-6.011841,-3.360943,-0.255911,0.162700,0.229056,-0.175919,-0.185663,-3.586681,-2.425160,-1.212580,False
2025-10-01,-6.106213,-3.360943,-0.294658,0.325665,0.249013,-0.118144,-0.278727,-3.477794,-2.628419,-1.314210,False
