date,14.487,14.487_trend,14.487_0.5yr,14.487_0.94yr,14.487_1yr,14.487_1.36yr,14.487_model,14.487_noise,14.487_wtest,flagged
2024-05-16,-0.897293,-0.043487,0.015339,-0.533701,0.913477,-0.605773,-0.254145,-0.643149,-0.321574,False
2024-06-13,-0.264643,-0.043487,-0.025341,-0.566347,0.885117,-0.261059,-0.011116,-0.253527,-0.126763,False
2024-07-10,0.301044,-0.043487,-0.044321,-0.460378,0.667319,0.102433,0.221566,0.079478,0.039739,False
2024-08-08,0.321493,-0.043487,-0.025431,-0.225669,0.278482,0.478584,0.462480,-0.140987,-0.070493,False
2024-09-04,0.340531,-0.043487,0.013797,0.050094,-0.146600,0.772708,0.646512,-0.305981,-0.152990,False
2024-10-16,0.370146,-0.043487,0.043571,0.431624,-0.714927,1.044352,0.761133,-0.390987,-0.195493,False
2024-11-12,0.872916,-0.043487,0.019536,0.557991,-0.903898,1.069078,0.699220,0.173696,0.086848,False
2024-12-05,1.405402,-0.043487,-0.014519,0.561084,-0.914878,0.992851,0.581051,0.824351,0.412176,False
2025-01-01,1.284853,-0.043487,-0.042232,0.441216,-0.749289,0.798219,0.404427,0.880427,0.440213,False
2025-02-19,1.458992,-0.043487,-0.008552,-0.009554,-0.089428,0.231292,0.080271,1.378721,0.689360,False
2025-03-13,0.936955,-0.043487,0.023684,-0.233086,0.258351,-0.066115,-0.060652,0.997608,0.498804,False
2025-04-08,0.492838,-0.043487,0.044070,-0.446661,0.618564,-0.409245,-0.236759,0.729596,0.364798,False
2025-05-06,0.512581,-0.043487,0.029213,-0.564637,0.868658,-0.728680,-0.438933,0.951514,0.475757,False
2025-06-03,0.532324,-0.043487,-0.010753,-0.537380,0.920821,-0.957543,-0.628341,1.160666,0.580333,False
2025-07-16,0.562645,-0.043487,-0.043821,-0.240015,0.603124,-1.071863,-0.796061,1.358706,0.679353,False
2025-08-07,0.410096,-0.043487,-0.027150,-0.017161,0.299712,-1.009042,-0.797129,1.207225,0.603612,False
2025-09-16,0.560004,-0.043487,0.029187,0.369696,-0.326538,-0.703049,-0.674191,1.234195,0.617098,False
2025-10-01,1.132267,-0.043487,0.041868,0.474286,-0.537478,-0.537008,-0.601819,1.734086,0.867043,False
