date,242.087,242.087_exp_trend,242.087_trend,242.087_0.5yr,242.087_1yr,242.087_6.14yr,242.087_16.16yr,242.087_model,242.087_noise,242.087_wtest,flagged
1997-05-19,0.000000,0.000000,-0.855692,-0.121819,-0.052496,-0.043200,0.173950,-0.899258,0.899258,0.449629,False
1997-06-02,-1.000000,-0.008464,-0.858010,-0.177466,-0.064540,-0.034104,0.176350,-0.966233,-0.033767,-0.016884,False
1997-07-01,-0.568006,-0.025765,-0.862811,-0.160367,-0.077080,-0.015110,0.181197,-0.959936,0.391929,0.195965,False
1997-08-15,,-0.052008,-0.870261,0.104310,-0.059664,0.014515,0.188374,-0.674734,,,False
1997-09-09,-0.500000,-0.066276,-0.874400,0.191337,-0.033683,0.030904,0.192175,-0.559942,0.059942,0.029971,False
1997-10-06,0.000000,-0.081441,-0.878870,0.136037,0.001105,0.048431,0.196127,-0.578612,0.578612,0.289306,False
1997-11-04,-2.000000,-0.097451,-0.883671,-0.041669,0.037999,0.066944,0.200191,-0.717655,-1.282345,-0.641172,False
1997-12-10,-2.000000,-0.116931,-0.889630,-0.191969,0.070068,0.089298,0.204970,-0.834195,-1.165805,-0.582903,False
1998-01-14,1.000000,-0.135461,-0.895425,-0.089195,0.076307,0.110161,0.209327,-0.724286,1.724286,0.862143,False
1998-02-04,-1.000000,-0.146388,-0.898901,0.046526,0.066884,0.122182,0.211802,-0.597895,-0.402105,-0.201052,False
1998-03-06,-2.000000,-0.161756,-0.903868,0.184890,0.038971,0.138612,0.215154,-0.487998,-1.512002,-0.756001,False
1998-04-10,-1.000000,-0.179330,-0.909662,0.118555,-0.005760,0.156533,0.218786,-0.600879,-0.399121,-0.199561,False
1998-05-05,-1.000000,-0.191653,-0.913801,-0.038415,-0.037418,0.168421,0.221195,-0.791671,-0.208329,-0.104164,False
1998-06-01,-0.933775,-0.204750,-0.918271,-0.174730,-0.063796,0.180329,0.223620,-0.957598,0.023823,0.011912,False
1998-07-01,-0.919319,-0.219050,-0.923238,-0.160367,-0.077080,0.192347,0.226098,-0.961289,0.041970,0.020985,False
1998-08-01,-0.909131,-0.233551,-0.928370,0.017030,-0.069691,0.203336,0.228415,-0.782831,-0.126300,-0.063150,False
1998-09-01,-0.901715,-0.247778,-0.933502,0.176801,-0.042924,0.212790,0.230484,-0.604129,-0.297586,-0.148793,False
1998-10-14,-2.000000,-0.267067,-0.940621,0.093591,0.011713,0.223230,0.232936,-0.646218,-1.353782,-0.676891,False
1998-11-06,-1.000000,-0.277177,-0.944428,-0.054551,0.040296,0.227493,0.234048,-0.774320,-0.225680,-0.112840,False
1998-12-04,-1.000000,-0.289294,-0.949064,-0.183379,0.066315,0.231404,0.235212,-0.888806,-0.111194,-0.055597,False
1999-01-05,-1.000000,-0.302887,-0.954362,-0.137213,0.077353,0.234127,0.236285,-0.846696,-0.153304,-0.076652,False
1999-02-02,-1.000000,-0.314564,-0.958997,0.033513,0.068182,0.234966,0.236999,-0.699900,-0.300100,-0.150050,False
1999-03-02,0.000000,-0.326041,-0.963632,0.175433,0.043476,0.234357,0.237503,-0.598904,0.598904,0.299452,False
1999-04-06,0.000000,-0.340111,-0.969427,0.138378,-0.000439,0.231568,0.237835,-0.702196,0.702196,0.351098,False
1999-05-04,0.500000,-0.351152,-0.974062,-0.031874,-0.036247,0.227731,0.237862,-0.927742,1.427742,0.713871,False
1999-06-01,-1.000000,-0.362003,-0.978698,-0.174730,-0.063796,0.222490,0.237678,-1.119058,0.119058,0.059529,False
1999-07-13,-1.000000,-0.377933,-0.985651,-0.103600,-0.076783,0.212073,0.237006,-1.094888,0.094888,0.047444,False
1999-08-17,0.000000,-0.390897,-0.991445,0.115253,-0.057934,0.201141,0.236084,-0.887799,0.887799,0.443899,False
