date,172.045,172.045_exp_trend,172.045_trend,172.045_0.5yr,172.045_1yr,172.045_7.86yr,172.045_13.38yr,172.045_jump,172.045_model,172.045_noise,172.045_wtest,flagged
1997-05-19,0.000000,0.000000,8.764801,-0.185372,-0.102002,-2.153957,-1.626970,0.000000,4.696501,-4.696501,-1.878600,False
1997-06-02,0.000000,1.904324,6.534606,-0.104881,0.013953,-2.187351,-1.481333,0.000000,4.679317,-4.679317,-1.871727,False
1997-07-01,-2.846140,5.840524,1.923375,0.110827,0.244026,-2.249949,-1.178183,0.000000,4.690620,-7.536760,-3.014704,False
1997-08-15,-6.000000,11.925866,-5.209393,0.198514,0.467038,-2.329042,-0.704686,0.000000,4.348298,-10.348298,-4.139319,True
1997-09-09,23.075375,15.294798,-9.160170,0.048591,0.477986,-2.363255,-0.440510,0.000000,3.857440,19.217936,7.687174,True
1997-10-06,0.000000,18.923797,-13.417485,-0.147244,0.392216,-2.392248,-0.154695,0.000000,3.204341,-3.204341,-1.281736,False
1997-11-04,-1.257734,22.810712,-17.979140,-0.223116,0.208306,-2.414071,0.152489,0.000000,2.555179,-3.812913,-1.525165,False
1997-12-10,1.234154,27.620193,-23.626009,-0.042894,-0.084392,-2.427613,0.533477,0.000000,1.972762,-0.738608,-0.295443,False
1998-01-14,0.000000,32.279507,-29.099164,0.191217,-0.339813,-2.426318,0.902793,0.000000,1.508223,-1.508223,-0.603289,False
1998-02-04,1.000000,35.067278,-32.375079,0.222231,-0.439915,-2.418698,1.123552,0.000000,1.179370,-0.179370,-0.071748,False
1998-03-06,0.000000,39.039666,-37.044578,0.081959,-0.482606,-2.398944,1.437459,0.000000,0.632956,-0.632956,-0.253183,False
1998-04-10,-1.000000,43.659081,-42.476894,-0.166678,-0.374394,-2.362822,1.800946,0.000000,0.079240,-1.079240,-0.431696,False
1998-05-05,-11.000000,46.948779,-46.346944,-0.223624,-0.212062,-2.328509,2.058386,0.000000,-0.103973,-10.896027,-4.358411,True
1998-06-01,0.104121,50.492428,-50.517073,-0.111683,0.005617,-2.283617,2.334022,0.000000,-0.080306,0.184427,0.073771,False
1998-07-01,0.258849,54.418609,-55.138950,0.110827,0.244026,-2.224381,2.636967,0.000000,0.047099,0.211750,0.084700,False
1998-08-01,0.372714,58.463309,-59.902061,0.225303,0.422914,-2.153090,2.945879,0.000000,0.002254,0.370460,0.148184,False
1998-09-01,0.445936,62.495489,-64.652134,0.106594,0.484199,-2.071878,3.250105,0.000000,-0.387624,0.833561,0.333424,False
1998-10-14,1.000000,68.067860,-71.219358,-0.188076,0.349492,-1.943513,3.663437,0.000000,-1.270159,2.270159,0.908063,False
1998-11-06,0.000000,71.038609,-74.721762,-0.220427,0.193131,-1.867703,3.879999,0.000000,-1.698153,1.698153,0.679261,False
1998-12-04,-1.000000,74.645962,-78.975870,-0.087350,-0.034769,-1.769038,4.139036,0.000000,-2.082028,1.082028,0.432811,False
1999-01-05,0.000000,78.756303,-83.824683,0.145771,-0.282485,-1.648157,4.428483,0.000000,-2.424768,2.424768,0.969907,False
1999-02-02,1.000000,82.342078,-88.055998,0.224261,-0.432679,-1.535727,4.675610,0.000000,-2.782456,3.782456,1.512982,False
1999-03-02,-1.000000,85.917826,-92.276676,0.109995,-0.484283,-1.417524,4.916669,0.000000,-3.233993,2.233993,0.893597,False
1999-04-06,1.000000,90.373455,-97.537565,-0.144287,-0.394648,-1.262330,5.208985,0.000000,-3.756389,4.756389,1.902556,False
1999-05-04,-0.500000,93.926747,-101.734310,-0.224440,-0.219526,-1.132792,5.435263,0.000000,-3.949057,3.449057,1.379623,False
1999-06-01,-1.000000,97.470104,-105.920417,-0.111683,0.005617,-0.998995,5.654488,0.000000,-3.900887,2.900887,1.160355,False
1999-07-13,-1.500000,102.766571,-112.179634,0.180264,0.324650,-0.791420,5.969482,0.000000,-3.730088,2.230088,0.892035,False
1999-08-17,-2.000000,107.163332,-117.377366,0.190711,0.471178,-0.613252,6.218703,0.000000,-3.946695,1.946695,0.778678,False
1999-09-14,7.547978,110.669678,-121.523585,0.010186,0.469491,-0.468074,6.409026,0.000000,-4.433277,11.981255,4.792502,True
1999-10-07,-6.000000,113.542556,-124.921450,-0.153028,0.387267,-0.347480,6.559152,0.000000,-4.932983,-1.067017,-0.426807,False
1999-11-02,-6.000000,116.782209,-128.753872,-0.224748,0.223234,-0.210111,6.721938,0.000000,-5.461350,-0.538650,-0.215460,False
1999-12-07,-2.629454,121.130002,-133.898419,-0.065471,-0.059660,-0.024196,6.929165,0.000000,-5.988579,3.359126,1.343650,False
