date,91.988,91.988_exp_trend,91.988_trend,91.988_0.5yr,91.988_1yr,91.988_5.01yr,91.988_8.98yr,91.988_17.88yr,91.988_model,91.988_noise,91.988_wtest,flagged
1997-05-19,0.000000,0.000000,1.399108,-0.173188,-0.182218,-0.243028,-0.352384,1.857896,2.306187,-2.306187,-1.153094,False
1997-06-02,1.000000,-0.642764,1.406340,-0.084899,-0.181957,-0.236743,-0.357018,1.869886,1.772846,-0.772846,-0.386423,False
1997-07-01,-0.959904,-1.956703,1.421321,0.131661,-0.148680,-0.222001,-0.365795,1.893641,0.753445,-1.713348,-0.856674,False
1997-08-15,-3.000000,-3.949679,1.444567,0.188618,-0.031127,-0.194825,-0.377168,1.927572,-0.992041,-2.007959,-1.003979,False
1997-09-09,-2.000000,-5.033254,1.457482,0.026176,0.047123,-0.177673,-0.382279,1.944864,-2.117561,0.117561,0.058781,False
1997-10-06,-4.093487,-6.184927,1.471430,-0.165637,0.121579,-0.157680,-0.386813,1.962273,-3.339776,-0.753711,-0.376855,False
1997-11-04,-5.131799,-7.400765,1.486411,-0.221107,0.172490,-0.134702,-0.390528,1.979494,-4.508707,-0.623092,-0.311546,False
1997-12-10,-7.000000,-8.880182,1.505008,-0.020326,0.176641,-0.104344,-0.393461,1.998725,-5.717940,-1.282060,-0.641030,False
1998-01-14,-8.000000,-10.287399,1.523088,0.204556,0.117539,-0.073297,-0.394517,2.015120,-6.894910,-1.105090,-0.552545,False
1998-02-04,-9.000000,-11.117284,1.533937,0.219624,0.060140,-0.054131,-0.394298,2.023859,-7.728152,-1.271848,-0.635924,False
1998-03-06,-9.000000,-12.284370,1.549434,0.060772,-0.033264,-0.026287,-0.392877,2.034909,-9.091684,0.091684,0.045842,False
1998-04-10,-9.000000,-13.618995,1.567515,-0.183225,-0.129628,0.006529,-0.389579,2.045654,-10.701730,1.701730,0.850865,False
1998-05-05,-12.000000,-14.554839,1.580429,-0.222013,-0.171947,0.029938,-0.386148,2.051908,-11.672672,-0.327328,-0.163664,False
1998-06-01,-12.105844,-15.549498,1.594377,-0.092123,-0.182328,0.054968,-0.381448,2.057327,-12.498725,0.392881,0.196440,False
1998-07-01,-13.066607,-16.635448,1.609875,0.131661,-0.148680,0.082215,-0.375027,2.061717,-13.273687,0.207080,0.103540,False
1998-08-01,-14.020374,-17.736717,1.625889,0.226293,-0.073370,0.109450,-0.367090,2.064447,-14.151098,0.130724,0.065362,False
1998-09-01,-14.965661,-18.817161,1.641903,0.086715,0.022343,0.135444,-0.357857,2.065338,-15.223275,0.257614,0.128807,False
1998-10-14,-16.000000,-20.282099,1.664116,-0.201903,0.139282,0.168899,-0.342967,2.063529,-16.791141,0.791141,0.395571,False
1998-11-06,-15.000000,-21.049890,1.675998,-0.216827,0.174535,0.185327,-0.334039,2.061109,-17.503788,2.503788,1.251894,False
1998-12-04,-16.000000,-21.970032,1.690462,-0.066418,0.180793,0.203754,-0.322296,2.056800,-18.226937,2.226937,1.113468,False
1999-01-05,-18.000000,-23.002377,1.706993,0.164286,0.137859,0.222498,-0.307740,2.050045,-19.028437,1.028437,0.514218,False
1999-02-02,-18.000000,-23.889139,1.721458,0.223250,0.066069,0.236701,-0.294053,2.042538,-19.893177,1.893177,0.946588,False
1999-03-02,-20.000000,-24.760742,1.735922,0.090327,-0.020775,0.248715,-0.279518,2.033546,-20.952525,0.952525,0.476262,False
1999-04-06,-21.000000,-25.829321,1.754002,-0.162922,-0.120393,0.260487,-0.260223,2.020230,-22.338140,1.338140,0.669070,False
1999-05-04,-21.000000,-26.667754,1.768467,-0.223629,-0.170822,0.267201,-0.243940,2.007925,-23.262552,2.262552,1.131276,False
1999-06-01,-22.000000,-27.491853,1.782931,-0.092123,-0.182328,0.271445,-0.226953,1.994160,-23.944722,1.944722,0.972361,False
1999-07-13,-23.000000,-28.701662,1.804628,0.195192,-0.123488,0.273096,-0.200264,1.970800,-24.781697,1.781697,0.890849,False
1999-08-17,-23.000000,-29.686204,1.822708,0.179390,-0.024886,0.270134,-0.177025,1.948871,-25.667012,2.667012,1.333506,False
1999-09-14,-25.000000,-30.458701,1.837173,-0.012964,0.062188,0.264951,-0.157854,1.929732,-26.535475,1.535475,0.767738,False
1999-10-07,-25.000000,-31.083361,1.849054,-0.170919,0.123925,0.258857,-0.141765,1.912962,-27.251247,2.251247,1.125623,False
1999-11-02,-26.000000,-31.778927,1.862486,-0.224338,0.170241,0.250025,-0.123246,1.892875,-27.950884,1.950884,0.975442,False
1999-12-07,-28.000000,-32.697850,1.880566,-0.043605,0.178956,0.235002,-0.097842,1.863965,-28.680808,0.680808,0.340404,False
2000-01-05,-29.000000,-33.444380,1.895541,0.164226,0.137882,0.219978,-0.076463,1.838416,-29.264799,0.264799,0.132400,False
2000-02-16,-32.000000,-34.502197,1.917179,0.177567,0.023715,0.194463,-0.045174,1.798978,-30.435469,-1.564531,-0.782265,False
2000-03-14,-33.000000,-35.167915,1.931089,-0.007485,-0.060105,0.175901,-0.024893,1.772075,-31.381333,-1.618667,-0.809333,False
2000-04-11,-34.000000,-35.846696,1.945513,-0.190926,-0.133422,0.155064,-0.003791,1.742919,-32.331339,-1.668661,-0.834330,False
2000-05-09,-34.000000,-36.513873,1.959938,-0.211089,-0.176500,0.132801,0.017321,1.712504,-33.078899,-0.921101,-0.460551,False
2000-06-21,-36.000000,-37.516326,1.982091,0.065206,-0.164141,0.096307,0.049627,1.663392,-33.823845,-2.176155,-1.088078,False
2000-07-31,-36.000000,-38.425306,2.002698,0.226760,-0.075042,0.060468,0.079381,1.615160,-34.515881,-1.484119,-0.742059,False
2000-08-29,-36.000000,-39.070455,2.017638,0.105600,0.013991,0.033737,0.100673,1.578698,-35.220118,-0.779882,-0.389941,False
2000-09-01,-35.197734,-39.136539,2.019183,0.084293,0.023387,0.030948,0.102860,1.574856,-35.301013,0.103279,0.051639,False
2000-10-03,-38.000000,-39.833893,2.035669,-0.150095,0.114934,0.001055,0.125953,1.533065,-36.173311,-1.826689,-0.913344,False
2000-10-31,-38.000000,-40.432905,2.050094,-0.226364,0.168005,-0.025123,0.145776,1.495309,-36.825207,-1.174793,-0.587396,False
2000-11-01,-37.196215,-40.454108,2.050609,-0.225371,0.169244,-0.026055,0.146476,1.493941,-36.845264,-0.350951,-0.175476,False
2000-12-05,-39.500000,-41.167290,2.068125,-0.058322,0.180191,-0.057493,0.169961,1.446599,-37.418229,-2.081771,-1.040885,False
2001-01-01,-38.468810,-41.723098,2.082035,0.141078,0.145857,-0.081924,0.188104,1.407903,-37.840045,-0.628765,-0.314382,False
2001-02-01,-39.089790,-42.349954,2.098049,0.224667,0.069005,-0.109170,0.208368,1.362183,-38.496852,-0.592937,-0.296469,False
2001-03-01,-39.702292,-42.905952,2.112513,0.097470,-0.017635,-0.132725,0.226041,1.319843,-39.300444,-0.401849,-0.200924,False
2001-04-25,-41.500000,-43.970569,2.140926,-0.226119,-0.158467,-0.175225,0.258814,1.233913,-40.896728,-0.603272,-0.301636,False
2001-05-01,-40.899571,-44.084543,2.144025,-0.226880,-0.167146,-0.179509,0.262222,1.224325,-41.027506,0.127935,0.063967,False
2001-06-07,-40.000000,-44.778149,2.163139,-0.047446,-0.179295,-0.204176,0.282452,1.164310,-41.599166,1.599166,0.799583,False
2001-07-02,-42.000000,-45.237935,2.176053,0.137980,-0.146809,-0.218999,0.295323,1.122918,-41.871469,-0.128531,-0.064266,False
