date,102.096,102.096_exp_trend,102.096_trend,102.096_0.5yr,102.096_1yr,102.096_8.82yr,102.096_17.57yr,102.096_jump,102.096_model,102.096_noise,102.096_wtest,flagged
1997-05-19,0.000000,0.000000,-2.627456,0.150968,0.103532,-1.064792,4.426755,0.000000,0.989006,-0.989006,-0.494503,False
1997-06-02,-1.000000,-0.915373,-2.627361,0.184931,0.048814,-1.095467,4.463409,0.000000,0.058954,-1.058954,-0.529477,False
1997-07-01,-6.049190,-2.786580,-2.627164,0.123545,-0.069726,-1.156380,4.536658,0.000000,-1.979647,-4.069542,-2.034771,False
1997-08-15,-10.000000,-5.624816,-2.626858,-0.137701,-0.210593,-1.243502,4.643049,0.000000,-5.200420,-4.799580,-2.399790,False
1997-09-09,-5.000000,-7.167956,-2.626688,-0.185720,-0.239571,-1.287801,4.698269,0.000000,-6.809468,1.809468,0.904734,False
1997-10-06,-10.294736,-8.808077,-2.626505,-0.093520,-0.221822,-1.332197,4.754739,0.000000,-8.327383,-1.967354,-0.983677,False
1997-11-04,-11.699172,-10.539575,-2.626308,0.085482,-0.150661,-1.375760,4.811685,0.000000,-9.795136,-1.904036,-0.952018,False
1997-12-10,-16.308591,-12.646442,-2.626064,0.185092,-0.014005,-1.423693,4.876969,0.000000,-11.648144,-4.660447,-2.330224,False
1998-01-14,-13.000000,-14.650487,-2.625826,0.041257,0.124340,-1.463562,4.934624,0.000000,-13.639654,0.639654,0.319827,False
1998-02-04,-14.000000,-15.832343,-2.625683,-0.089748,0.188981,-1.484217,4.966436,0.000000,-14.876575,0.876575,0.438287,False
1998-03-06,-16.000000,-17.494413,-2.625480,-0.186880,0.237530,-1.509391,5.008231,0.000000,-16.570403,0.570403,0.285201,False
1998-04-10,-18.000000,-19.395079,-2.625242,-0.073375,0.215874,-1.532218,5.051522,0.000000,-18.358518,0.358518,0.179259,False
1998-05-05,-18.000000,-20.727833,-2.625072,0.082607,0.152265,-1.544152,5.078811,0.000000,-19.583375,1.583375,0.791687,False
1998-06-01,-21.484356,-22.144346,-2.624889,0.183864,0.052855,-1.552912,5.104860,0.000000,-20.980568,-0.503788,-0.251894,False
1998-07-01,-22.903492,-23.690870,-2.624685,0.123545,-0.069726,-1.557588,5.129613,0.000000,-22.689711,-0.213780,-0.106890,False
1998-08-01,-24.313875,-25.259209,-2.624474,-0.063356,-0.176943,-1.556812,5.150536,0.000000,-24.530258,0.216384,0.108192,False
1998-09-01,-25.715534,-26.797890,-2.624264,-0.184684,-0.234956,-1.550338,5.166707,0.000000,-26.225424,0.509890,0.254945,False
1998-10-14,-25.000000,-28.884136,-2.623972,-0.045953,-0.207079,-1.531974,5.181247,0.000000,-28.111867,3.111867,1.555933,False
1998-11-06,-26.000000,-29.977563,-2.623815,0.096724,-0.144133,-1.517714,5.185251,0.000000,-28.981251,2.981251,1.490625,False
1998-12-04,-28.000000,-31.287955,-2.623625,0.186637,-0.038652,-1.496230,5.186571,0.000000,-30.073254,2.073254,1.036627,False
1999-01-05,-28.000000,-32.758138,-2.623408,0.094911,0.091142,-1.466210,5.183300,0.000000,-31.478404,3.478404,1.739202,False
1999-02-02,-32.000000,-34.020994,-2.623218,-0.078247,0.183766,-1.435249,5.176259,0.000000,-32.797683,0.797683,0.398841,False
1999-03-02,-33.000000,-35.262260,-2.623028,-0.184151,0.234518,-1.400002,5.165323,0.000000,-34.069600,1.069600,0.534800,False
1999-04-06,-35.000000,-36.784044,-2.622790,-0.096294,0.222606,-1.350080,5.146188,0.000000,-35.484414,0.484414,0.242207,False
1999-05-04,-37.000000,-37.978074,-2.622600,0.076783,0.155440,-1.305595,5.126522,0.000000,-36.547524,-0.452476,-0.226238,False
1999-06-01,-37.000000,-39.151690,-2.622409,0.183864,0.052855,-1.257212,5.102998,0.000000,-37.691595,0.691595,0.345798,False
1999-07-13,-38.000000,-40.874602,-2.622124,0.056785,-0.115384,-1.177648,5.060519,0.000000,-39.672455,1.672455,0.836228,False
1999-08-17,-39.000000,-42.276708,-2.621886,-0.146080,-0.214443,-1.105279,5.018571,0.000000,-41.345827,2.345827,1.172913,False
1999-09-14,-47.132452,-43.376836,-2.621696,-0.179219,-0.240154,-1.043655,4.980762,0.000000,-42.480799,-4.651653,-2.325826,False
1999-10-07,-43.000000,-44.266428,-2.621540,-0.087891,-0.220204,-0.990696,4.946899,-0.229320,-43.469179,0.469179,0.234589,False
1999-11-02,-44.000000,-45.256996,-2.621363,0.073836,-0.157010,-0.928431,4.905595,-0.229320,-44.213689,0.213689,0.106845,False
1999-12-07,-46.000000,-46.565652,-2.621126,0.186860,-0.026364,-0.840868,4.844972,-0.229320,-45.251497,-0.748503,-0.374252,False
2000-01-05,-42.067056,-47.628801,-2.620929,0.094972,0.091100,-0.765356,4.790445,-0.229320,-46.267889,4.200833,2.100417,False
