date,202.082,202.082_exp_trend,202.082_trend,202.082_0.5yr,202.082_1yr,202.082_13.74yr,202.082_model,202.082_noise,202.082_wtest,flagged
1997-05-19,0.000000,0.000000,0.166914,0.059038,-0.100806,-0.299276,-0.174131,0.174131,0.087065,False
1997-06-02,-1.000000,-0.063077,0.186915,0.076232,-0.119733,-0.288482,-0.208144,-0.791856,-0.395928,False
1997-07-01,0.810842,-0.193332,0.228345,0.056721,-0.136144,-0.265844,-0.310253,1.121095,0.560548,False
1997-08-15,-1.000000,-0.394380,0.292634,-0.052906,-0.097000,-0.230031,-0.481684,-0.518316,-0.259158,False
1997-09-09,0.000000,-0.505512,0.328350,-0.078375,-0.048300,-0.209813,-0.513650,0.513650,0.256825,False
1997-10-06,-5.000000,-0.625087,0.366923,-0.044966,0.013878,-0.187746,-0.476997,-4.523003,-2.261501,False
1997-11-04,,-0.753003,0.408353,0.029645,0.077022,-0.163806,-0.401789,,,False
1997-12-10,-2.000000,-0.911054,0.459784,0.078287,0.127902,-0.133790,-0.378871,-1.621129,-0.810564,False
1998-01-14,0.000000,-1.063933,0.509786,0.023880,0.131819,-0.104346,-0.502793,0.502793,0.251396,False
1998-02-04,-1.000000,-1.155291,0.539788,-0.031509,0.111259,-0.086580,-0.622333,-0.377667,-0.188833,False
1998-03-06,-1.000000,-1.285326,0.582647,-0.077805,0.058006,-0.061099,-0.783577,-0.216423,-0.108211,False
1998-04-10,0.000000,-1.436325,0.632649,-0.036918,-0.022008,-0.031264,-0.893865,0.893865,0.446933,False
1998-05-05,-6.000000,-1.543717,0.668365,0.028391,-0.076053,-0.009914,-0.932928,-5.067072,-2.533536,False
1998-06-01,0.027316,-1.659267,0.706938,0.075555,-0.118600,0.013155,-0.982219,1.009534,0.504767,False
1998-07-01,-0.048797,-1.787131,0.749797,0.056721,-0.136144,0.038768,-1.077988,1.029192,0.514596,False
1998-08-01,-0.127851,-1.918679,0.794085,-0.020052,-0.116998,0.065177,-1.196466,1.068615,0.534308,False
1998-09-01,-0.207281,-2.049641,0.838373,-0.076071,-0.065317,0.091488,-1.261169,1.053888,0.526944,False
1998-10-14,0.000000,-2.230335,0.899804,-0.025801,0.032339,0.127746,-1.196246,1.196246,0.598123,False
1998-11-06,0.000000,-2.326527,0.932663,0.034569,0.080841,0.146995,-1.131460,1.131460,0.565730,False
1998-12-04,0.000000,-2.443202,0.972664,0.077528,0.122410,0.170262,-1.100337,1.100337,0.550169,False
1999-01-05,0.000000,-2.575970,1.018381,0.045517,0.135494,0.196594,-1.179985,1.179985,0.589992,False
1999-02-02,0.000000,-2.691642,1.058383,-0.026494,0.113894,0.219377,-1.326483,1.326483,0.663241,False
1999-03-02,-1.000000,-2.806850,1.098384,-0.075733,0.066343,0.241891,-1.475965,0.475965,0.237983,False
1999-04-06,-2.000000,-2.950208,1.148387,-0.046065,-0.012712,0.269610,-1.590987,-0.409013,-0.204506,False
1999-05-04,-3.500000,-3.064376,1.188388,0.025858,-0.074098,0.291416,-1.632812,-1.867188,-0.933594,False
1999-06-01,-1.000000,-3.178085,1.228390,0.075555,-0.118600,0.312862,-1.679877,0.679877,0.339938,False
