date,142.674,142.674_exp_trend,142.674_trend,142.674_0.5yr,142.674_1yr,142.674_8.6yr,142.674_17.26yr,142.674_jump,142.674_model,142.674_noise,142.674_wtest,flagged
1997-05-19,0.000000,0.000000,-6.594234,-0.068186,-0.132157,-1.037513,10.551014,0.000000,2.718924,-2.718924,-1.359462,False
1997-06-02,0.000000,0.195396,-7.216579,-0.095374,-0.166065,-1.018410,10.551141,0.000000,2.250109,-2.250109,-1.125054,False
1997-07-01,2.457718,0.596437,-8.501514,-0.081256,-0.204186,-0.976314,10.544861,0.000000,1.378029,1.079689,0.539844,False
1997-08-15,-1.000000,1.208969,-10.484143,0.059339,-0.165215,-0.904536,10.517657,0.000000,0.232071,-1.232071,-0.616035,False
1997-09-09,-3.000000,1.544199,-11.579700,0.101283,-0.098789,-0.861450,10.493386,0.000000,-0.401072,-2.598928,-1.299464,False
1997-10-06,0.013769,1.902241,-12.758164,0.067652,-0.007264,-0.812499,10.459846,0.000000,-1.148188,1.161957,0.580979,False
1997-11-04,-0.862016,2.282221,-14.018443,-0.027151,0.092199,-0.757283,10.415376,0.000000,-2.013081,1.151065,0.575532,False
1997-12-10,-1.794419,2.747405,-15.575033,-0.101477,0.182073,-0.685212,10.348055,0.000000,-3.084188,1.289769,0.644884,False
1998-01-14,-5.000000,3.192845,-17.079999,-0.042088,0.204670,-0.611729,10.269815,0.000000,-4.066486,-0.933514,-0.466757,False
1998-02-04,-6.000000,3.456923,-17.979012,0.029672,0.183054,-0.566175,10.216859,0.000000,-4.658679,-1.341321,-0.670660,False
1998-03-06,-7.000000,3.830082,-19.258153,0.098709,0.112485,-0.499384,10.133438,0.000000,-5.582822,-1.417178,-0.708589,False
1998-04-10,-8.000000,4.259419,-20.742809,0.058039,-0.005148,-0.419202,10.024656,0.000000,-6.825045,-1.174955,-0.587477,False
1998-05-05,-8.000000,4.562174,-21.798217,-0.025461,-0.090610,-0.360647,9.939467,0.000000,-7.773294,-0.226706,-0.113353,False
1998-06-01,-7.858312,4.885530,-22.933321,-0.094105,-0.163941,-0.296398,9.840526,0.000000,-8.761710,0.903398,0.451699,False
1998-07-01,-8.945557,5.240457,-24.188778,-0.081256,-0.204186,-0.224003,9.722225,0.000000,-9.735541,0.789984,0.394992,False
