date,237.056,237.056_exp_trend,237.056_trend,237.056_0.5yr,237.056_1yr,237.056_9.31yr,237.056_model,237.056_noise,237.056_wtest,flagged
1997-05-19,0.000000,0.000000,-0.224050,0.056281,0.043512,0.086597,-0.037661,0.037661,0.018830,False
1997-06-02,0.000000,-0.007339,-0.223112,0.062892,0.025578,0.094872,-0.047109,0.047109,0.023554,False
1997-07-01,0.409878,-0.022445,-0.221170,0.033060,-0.014999,0.111807,-0.113747,0.523624,0.261812,False
1997-08-15,-3.000000,-0.045628,-0.218155,-0.052792,-0.067331,0.137431,-0.246475,-2.753525,-1.376763,False
1997-09-09,-0.500000,-0.058374,-0.216480,-0.060352,-0.080946,0.151267,-0.264886,-0.235114,-0.117557,False
1997-10-06,0.000000,-0.072034,-0.214672,-0.021890,-0.079058,0.165846,-0.221807,0.221807,0.110903,False
1997-11-04,0.000000,-0.086583,-0.212729,0.037717,-0.058435,0.181043,-0.138987,0.138987,0.069494,False
1997-12-10,-1.000000,-0.104471,-0.210317,0.059874,-0.013897,0.199180,-0.069632,-0.930368,-0.465184,False
1998-01-14,-1.000000,-0.121679,-0.207973,0.003406,0.034528,0.215968,-0.075750,-0.924250,-0.462125,False
1998-02-04,0.000000,-0.131918,-0.206566,-0.039004,0.058724,0.225611,-0.093154,0.093154,0.046577,False
1998-03-06,0.000000,-0.146435,-0.204556,-0.062366,0.079547,0.238794,-0.095016,0.095016,0.047508,False
1998-04-10,0.000000,-0.163208,-0.202212,-0.014642,0.077534,0.253242,-0.049286,0.049286,0.024643,False
1998-05-05,0.000000,-0.175083,-0.200537,0.036845,0.058932,0.262917,-0.016926,0.016926,0.008463,False
1998-06-01,0.235068,-0.187808,-0.198728,0.062896,0.026921,0.272734,-0.023986,0.259054,0.129527,False
1998-07-01,0.184979,-0.201828,-0.196719,0.033060,-0.014999,0.282844,-0.097642,0.282621,0.141311,False
1998-08-01,0.136892,-0.216184,-0.194642,-0.030922,-0.054084,0.292376,-0.203456,0.340348,0.170174,False
1998-09-01,0.091930,-0.230409,-0.192565,-0.062900,-0.078129,0.300948,-0.263055,0.354985,0.177492,False
1998-10-14,0.000000,-0.249924,-0.189685,-0.005027,-0.075162,0.311196,-0.208601,0.208601,0.104300,False
1998-11-06,0.000000,-0.260260,-0.188144,0.041091,-0.056405,0.315875,-0.147843,0.147843,0.073921,False
1998-12-04,0.000000,-0.272748,-0.186268,0.062557,-0.022188,0.320798,-0.097849,0.097849,0.048925,False
1999-01-05,0.000000,-0.286893,-0.184125,0.022396,0.022584,0.325372,-0.100666,0.100666,0.050333,False
1999-02-02,1.000000,-0.299160,-0.182249,-0.035516,0.056703,0.328440,-0.131782,1.131782,0.565891,False
1999-03-02,0.000000,-0.311325,-0.180373,-0.062902,0.077903,0.330628,-0.146070,0.146070,0.073035,False
1999-04-06,-0.500000,-0.326389,-0.178029,-0.022901,0.079252,0.332117,-0.115951,-0.384049,-0.192025,False
1999-05-04,0.000000,-0.338328,-0.176153,0.035068,0.059912,0.332307,-0.087194,0.087194,0.043597,False
1999-06-01,0.000000,-0.350168,-0.174278,0.062896,0.026921,0.331606,-0.103023,0.103023,0.051511,False
1999-07-13,0.000000,-0.367744,-0.171464,0.008793,-0.031281,0.328890,-0.232806,0.232806,0.116403,False
1999-08-17,0.000000,-0.382224,-0.169119,-0.055020,-0.068921,0.325112,-0.350173,0.350173,0.175086,False
1999-09-14,0.000000,-0.393700,-0.167244,-0.056422,-0.081931,0.321108,-0.378189,0.378189,0.189094,False
1999-10-07,-1.000000,-0.403055,-0.165703,-0.019847,-0.078651,0.317175,-0.350081,-0.649919,-0.324959,False
1999-11-02,0.000000,-0.413553,-0.163961,0.034164,-0.060396,0.312038,-0.291708,0.291708,0.145854,False
1999-12-07,0.000000,-0.427559,-0.161617,0.061543,-0.018067,0.303988,-0.241711,0.241711,0.120855,False
2000-01-05,0.000000,-0.439053,-0.159675,0.022418,0.022569,0.296355,-0.257385,0.257385,0.128693,False
2000-02-16,0.000000,-0.455525,-0.156869,-0.055408,0.069210,0.283829,-0.314763,0.314763,0.157382,False
2000-03-14,0.500000,-0.466005,-0.155065,-0.057075,0.081830,0.274873,-0.321443,0.821443,0.410722,False
2000-04-11,0.000000,-0.476786,-0.153195,-0.010987,0.076679,0.264866,-0.299422,0.299422,0.149711,False
2000-05-09,-1.000000,-0.487477,-0.151324,0.044497,0.054150,0.254153,-0.286000,-0.714000,-0.357000,False
2000-06-21,-0.706627,-0.503722,-0.148451,0.048459,-0.001665,0.236393,-0.368987,-0.337640,-0.168820,False
2000-07-31,-1.000000,-0.518649,-0.145779,-0.029823,-0.053462,0.218535,-0.529178,-0.470822,-0.235411,False
2000-08-29,0.000000,-0.529360,-0.143842,-0.062697,-0.076861,0.204840,-0.607920,0.607920,0.303960,False
2000-09-01,-0.799068,-0.530463,-0.143641,-0.062889,-0.078276,0.203389,-0.611880,-0.187188,-0.093594,False
2000-10-03,-1.000000,-0.542165,-0.141504,-0.027375,-0.080055,0.187535,-0.603564,-0.396436,-0.198218,False
2000-10-31,0.000000,-0.552314,-0.139633,0.030770,-0.062128,0.173125,-0.550180,0.550180,0.275090,False
2000-11-01,-0.875614,-0.552675,-0.139566,0.032635,-0.061192,0.172602,-0.548196,-0.327418,-0.163709,False
2000-12-05,0.000000,-0.564881,-0.137295,0.062270,-0.020719,0.154469,-0.506156,0.506156,0.253078,False
2001-01-01,-0.924513,-0.574486,-0.135491,0.030254,0.017084,0.139633,-0.523007,-0.401506,-0.200753,False
2001-02-01,-0.948101,-0.585420,-0.133415,-0.033708,0.055668,0.122126,-0.574749,-0.373352,-0.186676,False
2001-03-01,-0.970727,-0.595209,-0.131539,-0.062850,0.077433,0.105968,-0.606197,-0.364530,-0.182265,False
2001-04-25,-1.000000,-0.614203,-0.127854,0.017475,0.067905,0.073442,-0.583236,-0.416764,-0.208382,False
2001-05-01,-1.009864,-0.616256,-0.127453,0.029497,0.062746,0.069841,-0.581624,-0.428240,-0.214120,False
2001-06-07,,-0.628837,-0.124974,0.061758,0.018757,0.047466,-0.625829,,,False
2001-07-02,-4.000000,-0.637259,-0.123299,0.031199,-0.016390,0.032216,-0.713534,-3.286466,-1.643233,False
2001-08-28,0.000000,-0.656230,-0.119481,-0.062394,-0.076160,-0.002760,-0.917026,0.917026,0.458513,False
2001-09-26,-1.000000,-0.665759,-0.117538,-0.040509,-0.081816,-0.020568,-0.926190,-0.073810,-0.036905,False
2001-10-31,0.000000,-0.677150,-0.115194,0.030449,-0.062285,-0.041976,-0.866156,0.866156,0.433078,False
2001-11-29,1.000000,-0.686499,-0.113251,0.062762,-0.028920,-0.059585,-0.825493,1.825493,0.912747,False
2001-12-13,1.000000,-0.690984,-0.112313,0.057566,-0.009691,-0.068028,-0.823449,1.823449,0.911725,False
