date,51.038,51.038_exp_trend,51.038_trend,51.038_0.5yr,51.038_1yr,51.038_4.2yr,51.038_6.67yr,51.038_16.97yr,51.038_model,51.038_noise,51.038_wtest,flagged
1997-05-19,0.000000,0.000000,0.298068,-0.004016,0.000199,0.182262,0.178532,0.347010,1.002055,-1.002055,-0.501028,False
1997-06-02,1.000000,-0.147041,0.301220,-0.025842,0.030308,0.197984,0.176380,0.345504,0.878512,0.121488,0.060744,False
1997-07-01,,-0.445886,0.307749,-0.048240,0.085245,0.228420,0.171196,0.342162,0.640647,,,False
1997-08-15,1.000000,-0.894675,0.317881,-0.001377,0.125989,0.269125,0.161265,0.336392,0.314600,0.685400,0.342700,False
1997-09-09,0.000000,-1.136379,0.323510,0.035668,0.117362,0.287871,0.154799,0.332883,0.115714,-0.115714,-0.057857,False
1997-10-06,0.437288,-1.391477,0.329589,0.047364,0.084145,0.304719,0.147094,0.328853,-0.149713,0.587000,0.293500,False
1997-11-04,-0.130084,-1.658759,0.336118,0.017958,0.028865,0.318658,0.138023,0.324249,-0.494886,0.364802,0.182401,False
1997-12-10,-2.000000,-1.981146,0.344223,-0.036495,-0.047841,0.329690,0.125694,0.318145,-0.947730,-1.052270,-0.526135,False
1998-01-14,-2.000000,-2.284873,0.352104,-0.042515,-0.105582,0.333548,0.112667,0.311803,-1.322849,-0.677151,-0.338576,False
1998-02-04,-2.000000,-2.462640,0.356832,-0.016796,-0.123192,0.332573,0.104403,0.307808,-1.501012,-0.498988,-0.249494,False
1998-03-06,-2.000000,-2.710925,0.363586,0.030229,-0.120595,0.326914,0.092071,0.301861,-1.716859,-0.283141,-0.141571,False
1998-04-10,-2.000000,-2.992373,0.371466,0.045920,-0.078331,0.314083,0.076992,0.294568,-1.967673,-0.032327,-0.016163,False
1998-05-05,-3.000000,-3.188130,0.377095,0.018726,-0.029922,0.300948,0.065830,0.289132,-2.166321,-0.833679,-0.416839,False
1998-06-01,-2.883596,-3.394736,0.383174,-0.024425,0.028195,0.283220,0.053468,0.283052,-2.388052,-0.495545,-0.247772,False
1998-07-01,-3.201033,-3.618575,0.389929,-0.048240,0.085245,0.259470,0.039431,0.276047,-2.616693,-0.584339,-0.292170,False
1998-08-01,-3.499537,-3.843711,0.396908,-0.023573,0.120711,0.230817,0.024679,0.268541,-2.825628,-0.673909,-0.336954,False
1998-09-01,-3.777949,-4.062748,0.403888,0.025491,0.122611,0.198442,0.009769,0.260769,-3.041778,-0.736171,-0.368086,False
1998-10-14,-4.000000,-4.356785,0.413569,0.043089,0.070442,0.148360,-0.010995,0.249563,-3.442756,-0.557244,-0.278622,False
1998-11-06,-4.000000,-4.509522,0.418748,0.014835,0.024620,0.119581,-0.022062,0.243373,-3.710428,-0.289572,-0.144786,False
1998-12-04,-3.000000,-4.691312,0.425052,-0.029249,-0.035549,0.083137,-0.035427,0.235659,-4.047690,1.047690,0.523845,False
1999-01-05,-4.000000,-4.893625,0.432257,-0.047441,-0.093657,0.040176,-0.050470,0.226610,-4.386151,0.386151,0.193076,False
1999-02-02,-4.000000,-5.066005,0.438561,-0.019868,-0.122180,0.001994,-0.063354,0.218496,-4.612356,0.612356,0.306178,False
1999-03-02,-5.000000,-5.234161,0.444865,0.024782,-0.122862,-0.036214,-0.075908,0.210206,-4.789293,-0.210707,-0.105354,False
1999-04-06,-5.000000,-5.438575,0.452745,0.047515,-0.084951,-0.083247,-0.091035,0.199606,-4.997942,-0.002058,-0.001029,False
1999-05-04,-6.000000,-5.597604,0.459049,0.020246,-0.032027,-0.119686,-0.102608,0.190944,-5.181687,-0.818313,-0.409157,False
1999-06-01,-4.000000,-5.752737,0.465353,-0.024425,0.028195,-0.154552,-0.113645,0.182128,-5.369682,1.369682,0.684841,False
1999-07-13,-5.000000,-5.978339,0.474810,-0.044317,0.102512,-0.202901,-0.129072,0.168631,-5.608676,0.608676,0.304338,False
1999-08-17,-5.500000,-6.160034,0.482690,0.001944,0.126150,-0.238666,-0.140777,0.157149,-5.771545,0.271545,0.135772,False
1999-09-14,-8.216245,-6.301388,0.488994,0.040705,0.112944,-0.263780,-0.149320,0.147820,-5.924024,-2.292221,-1.146110,False
1999-10-07,-6.000000,-6.414905,0.494173,0.047021,0.082514,-0.281827,-0.155755,0.140067,-6.088712,0.088712,0.044356,False
1999-11-02,-7.000000,-6.540475,0.500026,0.020996,0.033076,-0.299206,-0.162368,0.131211,-6.316739,-0.683261,-0.341630,False
1999-12-07,-6.000000,-6.705008,0.507907,-0.033048,-0.041751,-0.317211,-0.170112,0.119147,-6.640076,0.640076,0.320038,False
2000-01-05,-7.000000,-6.837523,0.514433,-0.047445,-0.093641,-0.327202,-0.175477,0.109040,-6.857815,-0.142185,-0.071093,False
2000-02-16,-8.000000,-7.023506,0.523864,0.002565,-0.126164,-0.333466,-0.181489,0.094274,-7.043923,-0.956077,-0.478038,False
2000-03-14,-7.000000,-7.139464,0.529926,0.040070,-0.113613,-0.332316,-0.184239,0.084689,-7.114947,0.114947,0.057473,False
2000-04-11,-9.000000,-7.256822,0.536213,0.044963,-0.075362,-0.326853,-0.186151,0.074683,-7.189329,-1.810671,-0.905336,False
2000-05-09,-7.000000,-7.371306,0.542500,0.011404,-0.020030,-0.317114,-0.187096,0.064617,-7.277024,0.277024,0.138512,False
2000-06-21,-6.000000,-7.541682,0.552155,-0.045590,0.069017,-0.294139,-0.186657,0.049060,-7.397835,1.397835,0.698917,False
2000-07-31,-7.000000,-7.694450,0.561136,-0.024408,0.120339,-0.264612,-0.184197,0.034505,-7.451686,0.451686,0.225843,False
2000-08-29,-7.000000,-7.801870,0.567648,0.021641,0.123845,-0.238738,-0.181192,0.023916,-7.484751,0.484751,0.242375,False
2000-09-01,-7.064722,-7.812826,0.568322,0.025959,0.122438,-0.235864,-0.180823,0.022819,-7.489975,0.425253,0.212626,False
2000-10-03,-8.000000,-7.927893,0.575507,0.048018,0.088506,-0.203087,-0.176223,0.011109,-7.584062,-0.415938,-0.207969,False
2000-10-31,-8.000000,-8.025936,0.581794,0.023690,0.036896,-0.171540,-0.171216,0.000853,-7.725459,-0.274541,-0.137270,False
2000-11-01,-7.167705,-8.029393,0.582018,0.022234,0.034820,-0.170369,-0.171021,0.000487,-7.731225,0.563520,0.281760,False
2000-12-05,-6.500000,-8.145118,0.589652,-0.030646,-0.037781,-0.129002,-0.163712,-0.011967,-7.928574,1.428574,0.714287,False
2001-01-01,-7.233303,-8.234567,0.595715,-0.048193,-0.087618,-0.094338,-0.157012,-0.021848,-8.047861,0.814558,0.407279,False
2001-02-01,-7.270250,-8.334664,0.602694,-0.021369,-0.121619,-0.053036,-0.148362,-0.033202,-8.109559,0.839308,0.419654,False
2001-03-01,-7.309153,-8.422741,0.608998,0.023343,-0.123339,-0.014977,-0.139732,-0.043430,-8.111877,0.802724,0.401362,False
2001-04-25,-8.500000,-8.589517,0.621382,0.032633,-0.050476,0.059884,-0.120702,-0.063411,-8.110207,-0.389793,-0.194897,False
2001-05-01,-7.402928,-8.607224,0.622733,0.024652,-0.038284,0.067935,-0.118472,-0.065580,-8.114240,0.711312,0.355656,False
2001-06-07,-7.000000,-8.714361,0.631063,-0.032438,0.040724,0.116490,-0.104112,-0.078898,-8.141532,1.141532,0.570766,False
2001-07-02,-7.000000,-8.784789,0.636692,-0.048223,0.086833,0.147849,-0.093864,-0.087835,-8.143336,1.143336,0.571668,False
2001-08-28,-10.000000,-8.939650,0.649525,0.019627,0.124369,0.213053,-0.069109,-0.107991,-8.110175,-1.889825,-0.944912,False
2001-09-26,-7.599971,-9.015489,0.656055,0.047675,0.099007,0.241984,-0.055906,-0.118112,-8.144786,0.544814,0.272407,False
2001-10-31,-3.715443,-9.104460,0.663935,0.023935,0.037248,0.272320,-0.039561,-0.130189,-8.276774,4.561330,2.280665,False
2001-11-29,-8.000000,-9.176119,0.670464,-0.022245,-0.025010,0.293240,-0.025768,-0.140073,-8.425511,0.425511,0.212755,False
2001-12-13,-7.000000,-9.210059,0.673616,-0.039553,-0.053804,0.301875,-0.019053,-0.144801,-8.491780,1.491780,0.745890,False
2002-01-30,-9.000000,-9.323281,0.684423,-0.024294,-0.120391,0.323788,0.004104,-0.160785,-8.616436,-0.383564,-0.191782,False
2002-02-26,-9.000000,-9.384884,0.690502,0.018866,-0.124548,0.330659,0.017126,-0.169611,-8.621890,-0.378110,-0.189055,False
2002-03-26,-8.000000,-9.447232,0.696807,0.047231,-0.100993,0.333512,0.030541,-0.178630,-8.618765,0.618765,0.309383,False
2002-04-30,-7.000000,-9.523023,0.704687,0.026065,-0.040348,0.330909,0.047077,-0.189700,-8.644333,1.644333,0.822166,False
2002-05-29,-7.000000,-9.584065,0.711216,-0.020006,0.021809,0.323596,0.060493,-0.198691,-8.685648,1.685648,0.842824,False
2002-06-18,-7.000000,-9.625259,0.715719,-0.043341,0.062475,0.315883,0.069553,-0.204792,-8.709762,1.709762,0.854881,False
2002-07-31,-8.000000,-9.711392,0.725400,-0.025008,0.120061,0.292202,0.088374,-0.217622,-8.727983,0.727983,0.363992,False
2002-08-26,-7.000000,-9.761903,0.731254,0.016549,0.125028,0.273434,0.099241,-0.225179,-8.741577,1.741577,0.870788,False
2002-09-13,-7.000000,-9.796196,0.735307,0.039790,0.113896,0.258609,0.106505,-0.230320,-8.772410,1.772410,0.886205,False
2002-09-24,-8.000000,-9.816886,0.737784,0.047055,0.101640,0.248851,0.110832,-0.233424,-8.804149,0.804149,0.402074,False
2002-10-25,-8.000000,-9.874120,0.744763,0.032017,0.049479,0.218699,0.122536,-0.242014,-8.948642,0.948642,0.474321,False
2002-11-25,-7.000000,-9.929804,0.751743,-0.016158,-0.016442,0.185021,0.133455,-0.250365,-9.142550,2.142550,1.071275,False
2002-12-23,-7.000000,-9.978802,0.758047,-0.046554,-0.072559,0.152023,0.142585,-0.257695,-9.302954,2.302954,1.151477,False
2003-01-27,-8.000000,-10.038364,0.765927,-0.028462,-0.118281,0.108015,0.152947,-0.266564,-9.424782,1.424782,0.712391,False
2003-02-25,-8.000000,-10.086335,0.772457,0.017326,-0.124877,0.069831,0.160590,-0.273659,-9.464668,1.464668,0.732334,False
2003-03-25,-11.280977,-10.131498,0.778761,0.046865,-0.102280,0.032022,0.167118,-0.280285,-9.489298,-1.791679,-0.895839,False
