date,134.076,134.076_exp_trend,134.076_trend,134.076_0.5yr,134.076_1yr,134.076_5.01yr,134.076_8.98yr,134.076_17.88yr,134.076_jump,134.076_model,134.076_noise,134.076_wtest,flagged
1997-05-19,0.000000,0.000000,0.947008,0.004367,-0.152628,0.026507,0.197672,1.357533,0.000000,2.380459,-2.380459,-1.190230,False
1997-06-02,-1.000000,-1.055130,0.966412,0.005892,-0.135805,0.040305,0.197365,1.354369,0.000000,1.373408,-2.373408,-1.186704,False
1997-07-01,3.350242,-3.212030,1.006605,0.004740,-0.077615,0.068554,0.196275,1.347034,0.000000,-0.666437,4.016679,2.008339,False
1997-08-15,-3.000000,-6.483603,1.068974,-0.003852,0.043389,0.110943,0.193386,1.333575,0.000000,-3.737188,0.737188,0.368594,False
1997-09-09,-6.000000,-8.262347,1.103624,-0.006169,0.104221,0.133411,0.191158,1.325015,2.592718,-2.818369,-3.181631,-1.590815,False
1997-10-06,-2.971090,-10.152879,1.141045,-0.003869,0.148314,0.156566,0.188258,1.314908,2.592718,-4.614939,1.643849,0.821925,False
1997-11-04,-5.071032,-12.148739,1.181238,0.001948,0.160502,0.179932,0.184582,1.303063,2.592718,-6.544755,1.473723,0.736862,False
1997-12-10,-7.189115,-14.577279,1.231133,0.006173,0.121680,0.206430,0.179228,1.286946,2.592718,-8.952971,1.763856,0.881928,False
1998-01-14,-13.000000,-16.887298,1.279643,0.002268,0.040297,0.229171,0.173203,1.269796,2.592718,-11.300202,-1.699798,-0.849899,False
1998-02-04,-14.000000,-18.249597,1.308748,-0.002098,-0.017526,0.241245,0.169213,1.258812,3.255974,-12.035230,-1.964770,-0.982385,False
1998-03-06,-16.000000,-20.165429,1.350327,-0.006061,-0.094388,0.256303,0.163038,1.242229,3.255974,-13.998006,-2.001994,-1.000997,False
1998-04-10,-18.000000,-22.356286,1.398837,-0.003263,-0.151854,0.270421,0.155155,1.221574,3.255974,-16.209443,-1.790557,-0.895278,False
1998-05-05,-20.000000,-23.892523,1.433486,0.001846,-0.160629,0.278124,0.149094,1.205970,3.255974,-17.728658,-2.271342,-1.135671,False
1998-06-01,-19.234111,-25.525306,1.470907,0.005825,-0.137282,0.284138,0.142164,1.188333,3.255974,-19.315246,0.081135,0.040568,False
1998-07-01,-21.128537,-27.307950,1.512487,0.004740,-0.077615,0.287953,0.134019,1.167795,3.255974,-21.022599,-0.105938,-0.052969,False
1998-08-01,-23.007536,-29.115740,1.555452,-0.001177,0.005069,0.288683,0.125136,1.145550,3.255974,-22.741053,-0.266483,-0.133241,False
1998-09-01,-24.869417,-30.889345,1.598417,-0.005876,0.086344,0.286141,0.115813,1.122284,3.255974,-24.430248,-0.439169,-0.219585,False
1998-10-14,-18.000000,-33.294115,1.658014,-0.002415,0.155595,0.277259,0.102210,1.088361,3.255974,-26.759118,8.759118,4.379559,True
1998-11-06,-16.556892,-34.554485,1.689892,0.002346,0.159875,0.270010,0.094643,1.069448,2.993196,-28.275076,11.718183,5.859092,True
1998-12-04,-30.000000,-36.064946,1.728699,0.006028,0.131940,0.258916,0.085184,1.045715,2.993196,-29.815268,-0.184732,-0.092366,False
1999-01-05,-33.000000,-37.759593,1.773050,0.003911,0.063906,0.243312,0.074075,1.017663,2.993196,-31.590480,-1.409520,-0.704760,False
1999-02-02,-33.000000,-39.215260,1.811858,-0.001694,-0.011998,0.227240,0.064125,0.992324,2.993196,-33.140209,0.140209,0.070104,False
1999-03-02,-32.081179,-40.646040,1.850665,-0.005842,-0.085169,0.209067,0.053990,0.966264,2.993196,-34.663870,2.582691,1.291345,False
1999-04-06,-37.000000,-42.400168,1.899174,-0.003951,-0.147764,0.183653,0.041107,0.932704,2.993196,-36.502049,-0.497951,-0.248975,False
1999-05-04,-37.000000,-43.776500,1.937982,0.001643,-0.160848,0.161393,0.030664,0.905091,2.993196,-37.907380,0.907380,0.453690,False
1999-06-01,-40.000000,-45.129302,1.976789,0.005825,-0.137282,0.137640,0.020132,0.876821,2.993196,-39.256180,-0.743820,-0.371910,False
1999-07-13,-42.500000,-47.115265,2.035000,0.002753,-0.046977,0.099695,0.004236,0.833228,2.993196,-41.194133,-1.305867,-0.652933,False
1999-08-17,-44.000000,-48.731442,2.083509,-0.004175,0.048708,0.066457,-0.009036,0.795857,2.993196,-42.756926,-1.243074,-0.621537,False
1999-09-14,-53.954395,-49.999535,2.122316,-0.006116,0.114412,0.039151,-0.019627,0.765307,2.993196,-43.990896,-9.963500,-4.981750,True
1999-10-07,-47.000000,-51.024948,2.154194,-0.003701,0.149381,0.016440,-0.028287,0.739795,1.970474,-46.026652,-0.973348,-0.486674,False
1999-11-02,-48.000000,-52.166755,2.190229,0.001540,0.160939,-0.009351,-0.038008,0.710520,1.970474,-47.180411,-0.819589,-0.409795,False
1999-12-07,-50.097583,-53.675214,2.238738,0.006133,0.126979,-0.043913,-0.050941,0.670412,1.970474,-48.757332,-1.340252,-0.670126,False
2000-01-05,-44.931742,-54.900683,2.278917,0.003912,0.063934,-0.072081,-0.061482,0.636613,1.970474,-50.080395,5.148653,2.574326,False
2000-02-16,-54.000000,-56.637143,2.336969,-0.004233,-0.049698,-0.111446,-0.076369,0.586910,1.970474,-51.984536,-2.015464,-1.007732,False
2000-03-14,-57.000000,-57.729954,2.374288,-0.006134,-0.113036,-0.135585,-0.085685,0.554449,-2.931961,-58.073618,1.073618,0.536809,False
2000-04-11,-59.000000,-58.844209,2.412989,-0.002946,-0.153396,-0.159390,-0.095104,0.520392,-2.931961,-59.253625,0.253625,0.126813,False
2000-05-09,-61.000000,-59.939415,2.451690,0.002761,-0.158991,-0.181729,-0.104252,0.485960,-2.931961,-60.375935,-0.624065,-0.312032,False
