date,43.062,43.062_exp_trend,43.062_trend,43.062_0.5yr,43.062_1yr,43.062_5.22yr,43.062_17.57yr,43.062_model,43.062_noise,43.062_wtest,flagged
1997-05-19,0.000000,0.000000,-3.214660,-0.203653,-0.187734,-0.239620,0.666695,-3.178972,3.178972,1.589486,False
1997-06-02,-2.000000,-0.035419,-3.214531,-0.168798,-0.273088,-0.223165,0.665893,-3.249109,1.249109,0.624555,False
1997-07-01,-4.474792,-0.106807,-3.214265,0.006654,-0.395135,-0.187608,0.663832,-3.233328,-1.241465,-0.620732,False
1997-08-15,-2.000000,-0.212488,-3.213852,0.205186,-0.390253,-0.129162,0.659575,-3.080994,1.080994,0.540497,False
1997-09-09,-1.000000,-0.268633,-3.213623,0.132062,-0.285343,-0.095380,0.656655,-3.074262,2.074262,1.037131,False
1997-10-06,-3.739397,-0.327294,-3.213375,-0.046860,-0.114405,-0.058174,0.653059,-3.107050,-0.632347,-0.316174,False
1997-11-04,-4.564359,-0.388093,-3.213109,-0.193316,0.095091,-0.017708,0.648688,-3.068447,-1.495912,-0.747956,False
1997-12-10,-3.000000,-0.460508,-3.212779,-0.127963,0.317490,0.032710,0.642534,-2.808516,-0.191484,-0.095742,False
1998-01-14,-3.000000,-0.527797,-3.212457,0.104026,0.420982,0.081292,0.635784,-2.498170,-0.501830,-0.250915,False
1998-02-04,-3.000000,-0.566753,-3.212265,0.195028,0.412101,0.109963,0.631375,-2.430550,-0.569450,-0.284725,False
1998-03-06,-3.000000,-0.620627,-3.211989,0.154715,0.308774,0.149974,0.624613,-2.594541,-0.405459,-0.202730,False
1998-04-10,-3.000000,-0.680932,-3.211668,-0.070535,0.089604,0.194772,0.616043,-3.062716,0.062716,0.031358,False
1998-05-05,-1.000000,-0.722389,-3.211439,-0.192103,-0.091530,0.225218,0.609477,-3.382766,2.382766,1.191383,False
1998-06-01,-4.329467,-0.765704,-3.211191,-0.172715,-0.267461,0.256374,0.601975,-3.558721,-0.770745,-0.385373,False
1998-07-01,-4.834053,-0.812116,-3.210916,0.006654,-0.395135,0.288601,0.593146,-3.529765,-1.304288,-0.652144,False
1998-08-01,-4.984840,-0.858247,-3.210631,0.182848,-0.418636,0.318932,0.583485,-3.402249,-1.582591,-0.791295,False
1998-09-01,-4.751142,-0.902592,-3.210347,0.169796,-0.325724,0.345934,0.573285,-3.349647,-1.401495,-0.700748,False
1998-10-14,-2.000000,-0.961272,-3.209952,-0.099425,-0.057252,0.377354,0.558264,-3.392283,1.392283,0.696141,False
1998-11-06,-3.000000,-0.991365,-3.209741,-0.197593,0.109263,0.391085,0.549821,-3.348529,0.348529,0.174265,False
