datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.22740,2010-03-24,-93.5250,238.0390,-36.7240,1.5600,1.4750,7.3610
2010.23014,2010-03-25,-95.2550,243.0630,-25.4340,1.4440,1.3400,6.6510
2010.23288,2010-03-26,-96.9340,242.2480,-27.7360,1.5380,1.4490,7.1660
2010.23562,2010-03-27,-100.1360,243.2560,-39.0650,1.4720,1.3910,6.8680
2010.23836,2010-03-28,-94.8090,243.8720,-35.9600,1.4800,1.3650,6.8470
2010.24110,2010-03-29,-99.1280,242.2350,-28.1690,1.5590,1.4760,7.3160
2010.24384,2010-03-30,-98.5280,240.3610,-28.0200,1.6430,1.5630,7.6030
2010.24658,2010-03-31,-97.5330,243.7220,-29.9210,1.5740,1.4610,7.3640
2010.24932,2010-04-01,-100.5230,241.6960,-36.6470,1.6220,1.5060,7.6240
2010.25205,2010-04-02,-97.6290,242.9570,-30.4040,1.5540,1.3430,7.0440
2010.25479,2010-04-03,-97.0300,244.8710,-20.4080,1.5230,1.3290,6.8470
2010.25753,2010-04-04,-96.4910,244.0030,-20.0070,1.4860,1.2930,6.6750
2010.26027,2010-04-05,-96.7840,246.3390,-22.2590,1.5270,1.3330,6.9380
2010.26301,2010-04-06,-99.7810,247.6320,-22.5520,1.5610,1.3210,6.9000
2010.26575,2010-04-07,-99.4560,245.9130,-28.0880,1.5080,1.3220,6.7680
2010.26849,2010-04-08,-99.1420,246.1680,-13.8510,1.5660,1.3980,7.1330
2010.27123,2010-04-09,-100.0850,245.6650,-27.2630,1.5470,1.4220,7.0480
2010.27397,2010-04-10,-97.1140,241.3580,-37.2030,1.6040,1.4670,7.3720
2010.27671,2010-04-11,-93.8450,247.6760,-15.8930,1.7540,1.4270,7.6170
2010.27945,2010-04-12,-96.4930,242.6150,-42.0920,1.6440,1.4440,7.4240
2010.28219,2010-04-13,-97.3790,242.6540,-36.8470,1.6250,1.4240,7.3920
2010.28493,2010-04-14,-95.7560,242.5620,-38.6760,1.5530,1.4280,7.2170
2010.28767,2010-04-15,-97.8420,242.7890,-39.9640,1.5400,1.3290,6.8590
2010.29041,2010-04-16,-96.0940,242.0070,-34.1880,1.5670,1.3530,6.9810
2010.29315,2010-04-17,-94.9540,241.3950,-24.3260,1.6070,1.4360,7.1680
2010.29589,2010-04-18,-95.8600,242.8470,-29.4380,1.5250,1.3430,6.9270
2010.29863,2010-04-19,-97.1630,243.2090,-29.9520,1.6810,1.4350,7.5040
2010.30137,2010-04-20,-97.4310,242.9860,-44.3210,1.5810,1.3590,7.0940
2010.30411,2010-04-21,-91.5070,241.6580,-35.5380,2.0080,1.8620,9.8150
