date,252.265,252.265_trend,252.265_0.5yr,252.265_1yr,252.265_5.72yr,252.265_8.24yr,252.265_16.69yr,252.265_jump,252.265_exp,252.265_model,252.265_noise,252.265_wtest,flagged
2003-12-03,0.000000,-18.705258,-0.076689,-0.665861,2.650734,6.053739,6.140861,0.000000,0.000000,-4.602474,4.602474,1.150619,False
2004-01-09,2.000000,-19.489198,-0.047865,-0.065690,2.490958,6.120111,6.082827,0.000000,0.000000,-4.908858,6.908858,1.727215,False
2004-02-12,2.000000,-20.208031,0.041481,0.513542,2.317312,6.148893,6.021834,0.000000,0.000000,-5.164970,7.164970,1.791242,False
2004-03-17,-1.000000,-20.926864,0.080434,0.922729,2.119557,6.146834,5.953477,0.000000,0.000000,-5.703833,4.703833,1.175958,False
2004-04-27,-3.000000,-21.793693,0.002434,1.004559,1.851965,6.103360,5.861372,0.000000,0.000000,-6.970003,3.970003,0.992501,False
2004-05-26,-7.000000,-22.406815,-0.066743,0.766842,1.645526,6.045706,5.789921,0.000000,0.000000,-8.225564,1.225564,0.306391,False
2004-06-25,-9.000000,-23.041080,-0.073934,0.326170,1.418878,5.962850,5.710585,0.000000,0.000000,-9.696531,0.696531,0.174133,False
2004-07-26,-10.000000,-23.696487,-0.006606,-0.216498,1.172623,5.852773,5.622894,0.000000,0.000000,-11.271302,1.271302,0.317825,False
2004-08-27,-9.000000,-24.373036,0.069031,-0.712242,0.907809,5.713553,5.526379,0.000000,0.000000,-12.868506,3.868506,0.967127,False
2004-09-30,-11.000000,-25.091869,0.066340,-1.006960,0.617334,5.537833,5.417275,0.000000,0.000000,-14.460048,3.460048,0.865012,False
2004-10-28,-13.000000,-25.683850,-0.000352,-1.000249,0.373161,5.372223,5.322444,0.000000,0.000000,-15.616623,2.616623,0.654156,False
2004-11-26,-16.000000,-26.296972,-0.068288,-0.754837,0.117512,5.181439,5.219574,0.000000,0.000000,-16.601572,0.601572,0.150393,False
2004-12-24,-17.000000,-26.888953,-0.075039,-0.342954,-0.130186,4.979284,5.115843,0.000000,0.000000,-17.342005,0.342005,0.085501,False
2005-01-25,-19.000000,-27.566892,-0.006424,0.217639,-0.412619,4.727011,4.991843,0.000000,0.000000,-18.049441,-0.950559,-0.237640,False
2005-02-24,-22.000000,-28.202894,0.066180,0.688080,-0.674158,4.471149,4.870575,0.000000,0.000000,-18.781068,-3.218932,-0.804733,False
2005-03-24,-21.000000,-28.796497,0.076320,0.967091,-0.913348,4.216483,4.753182,0.000000,0.000000,-19.696769,-1.303231,-0.325808,False
2005-04-22,-23.000000,-29.411299,0.018150,1.023429,-1.154227,3.937528,4.627418,0.000000,0.000000,-20.959001,-2.040999,-0.510250,False
2005-05-30,-23.000000,-30.216902,-0.071676,0.725022,-1.456284,3.550299,4.456377,0.000000,0.000000,-23.013165,0.013165,0.003291,False
2005-06-13,-27.000000,-30.513703,-0.081150,0.528314,-1.562975,3.401864,4.391622,0.000000,0.000000,-23.836028,-3.163972,-0.790993,False
2005-07-27,-29.000000,-31.446507,-0.005030,-0.226326,-1.879377,2.917017,4.182209,0.000000,0.000000,-26.458013,-2.541987,-0.635497,False
2005-08-17,-29.000000,-31.891709,0.049818,-0.568314,-2.019106,2.676671,4.079199,0.000000,0.000000,-27.673441,-1.326559,-0.331640,False
2005-09-30,-31.000000,-32.824512,0.066746,-1.005934,-2.285110,2.156944,3.857222,0.000000,0.000000,-30.034644,-0.965356,-0.241339,False
2005-10-28,-31.000000,-33.418114,0.000144,-1.001038,-2.433819,1.816443,3.711798,0.000000,0.000000,-31.324586,0.324586,0.081146,False
