date,228.408,228.408_trend,228.408_0.5yr,228.408_1yr,228.408_3.69yr,228.408_5.82yr,228.408_16.16yr,228.408_jump,228.408_exp,228.408_model,228.408_noise,228.408_wtest,flagged
2003-12-03,0.000000,-8.272538,0.059782,-0.270614,0.977875,1.393736,2.011501,0.000000,0.000000,-4.100258,4.100258,2.050129,False
2004-01-09,1.000000,-8.374249,-0.017995,-0.266892,0.994607,1.443981,2.065948,0.000000,0.000000,-4.154599,5.154599,2.577299,False
2004-02-12,-1.000000,-8.467512,-0.069655,-0.170793,0.983996,1.474899,2.113058,0.000000,0.000000,-4.136006,3.136006,1.568003,False
2004-03-17,-2.000000,-8.560775,-0.036695,-0.018141,0.948817,1.490994,2.157412,0.000000,0.000000,-4.018387,2.018387,1.009194,False
2004-04-27,-2.000000,-8.673240,0.053317,0.168957,0.875010,1.490470,2.207150,0.000000,0.000000,-3.878336,1.878336,0.939168,False
2004-05-26,-2.000000,-8.752788,0.067568,0.256878,0.803435,1.476940,2.239807,0.000000,0.000000,-3.908159,1.908159,0.954079,False
2004-06-25,1.000000,-8.835079,0.017859,0.282081,0.714043,1.451580,2.271354,0.000000,0.000000,-4.098162,5.098162,2.549081,False
2004-07-26,-4.000000,-8.920113,-0.050880,0.231338,0.607106,1.413444,2.301529,0.000000,0.000000,-4.417577,0.417577,0.208789,False
2004-08-27,-6.000000,-9.007890,-0.066462,0.112163,0.483523,1.361694,2.330058,0.000000,0.000000,-4.786913,-1.213087,-0.606544,False
2004-09-30,-3.000000,-9.101153,-0.004760,-0.049612,0.340563,1.293440,2.357420,0.000000,0.000000,-5.164102,2.164102,1.082051,False
2004-10-28,-8.000000,-9.177958,0.054863,-0.172830,0.216281,1.227436,2.377646,0.000000,0.000000,-5.474563,-2.525437,-1.262719,False
2004-11-26,-7.000000,-9.257506,0.066850,-0.258880,0.083724,1.150259,2.396376,0.000000,0.000000,-5.819177,-1.180823,-0.590412,False
2004-12-24,-6.000000,-9.334311,0.020186,-0.282436,-0.045732,1.067755,2.412303,0.000000,0.000000,-6.162235,0.162235,0.081118,False
2005-01-25,-6.000000,-9.422269,-0.050990,-0.231153,-0.192905,0.964366,2.427920,0.000000,0.000000,-6.505031,0.505031,0.252515,False
2005-02-24,-7.000000,-9.504786,-0.067802,-0.120367,-0.327137,0.859516,2.440011,0.000000,0.000000,-6.720565,-0.279435,-0.139717,False
2005-03-24,-7.000000,-9.581801,-0.023119,0.012087,-0.446701,0.755537,2.449047,0.000000,0.000000,-6.834949,-0.165051,-0.082525,False
2005-04-22,-7.000000,-9.661567,0.043369,0.145983,-0.562486,0.642394,2.456110,0.000000,0.000000,-6.936197,-0.063803,-0.031901,False
2005-05-30,-5.000000,-9.766088,0.064801,0.263387,-0.698338,0.487123,2.461816,0.000000,0.000000,-7.187300,2.187300,1.093650,False
2005-06-13,-9.000000,-9.804596,0.044673,0.280500,-0.743077,0.428262,2.462901,0.000000,0.000000,-7.331337,-1.668663,-0.834332,False
2005-07-27,-11.000000,-9.925620,-0.051817,0.229739,-0.862251,0.238965,2.462747,0.000000,0.000000,-7.908237,-3.091763,-1.545882,False
2005-08-17,-11.000000,-9.983382,-0.070378,0.156428,-0.906619,0.146994,2.460767,0.000000,0.000000,-8.196189,-2.803811,-1.401906,False
2005-09-30,-11.000000,-10.104406,-0.005374,-0.048393,-0.970985,-0.047122,2.452625,0.000000,0.000000,-8.723654,-2.276346,-1.138173,False
2005-10-28,-8.000000,-10.181421,0.054592,-0.172144,-0.990819,-0.170443,2.444638,0.000000,0.000000,-9.015597,1.015597,0.507798,False
2005-11-28,-9.000000,-10.266688,0.065265,-0.262485,-0.993082,-0.305579,2.433259,0.000000,0.000000,-9.329311,0.329311,0.164656,False
2005-12-28,-11.000000,-10.349205,0.010790,-0.280523,-0.975528,-0.433923,2.419720,0.000000,0.000000,-9.608669,-1.391331,-0.695666,False
2006-01-11,-11.000000,-10.387713,-0.022684,-0.263452,-0.960773,-0.492709,2.412556,0.000000,0.000000,-9.714775,-1.285225,-0.642613,False
2006-02-23,-22.000000,-10.505986,-0.068413,-0.124759,-0.890205,-0.667557,2.387203,0.000000,0.000000,-9.869716,-12.130284,-6.065142,True
2006-03-24,-14.000000,-10.585752,-0.023119,0.012087,-0.822221,-0.779555,2.367274,-0.143694,-0.928597,-10.903578,-3.096422,-1.548211,False
2006-04-28,-12.000000,-10.682022,0.053819,0.170204,-0.720294,-0.907019,2.340214,-0.143694,-1.867134,-11.755926,-0.244074,-0.122037,False
2006-05-24,-14.000000,-10.753536,0.069063,0.251303,-0.632003,-0.995492,2.318005,-0.143694,-2.455179,-12.341535,-1.658465,-0.829232,False
2006-06-22,-12.000000,-10.833302,0.025958,0.282963,-0.522634,-1.087209,2.291137,-0.143694,-3.018209,-13.004991,1.004991,0.502495,False
2006-07-21,-14.000000,-10.913068,-0.040944,0.245557,-0.403713,-1.170932,2.262082,-0.143694,-3.497406,-13.662117,-0.337883,-0.168942,False
2006-08-31,-12.000000,-11.025841,-0.063028,0.095612,-0.223534,-1.274475,2.217329,-0.143694,-4.055703,-14.473334,2.473334,1.236667,False
2006-09-20,-9.000000,-11.080852,-0.028749,0.000089,-0.132262,-1.318275,2.193958,-0.143694,-4.285189,-14.794974,5.794974,2.897487,False
2006-10-26,-12.000000,-11.179872,0.051405,-0.164309,0.034388,-1.385401,2.149388,-0.143694,-4.639126,-15.277221,3.277221,1.638611,False
2006-11-22,-16.000000,-11.254137,0.069287,-0.250173,0.158996,-1.425482,2.113883,-0.143694,-4.861773,-15.593093,-0.406907,-0.203453,False
2006-12-21,-17.000000,-11.333903,0.027080,-0.283004,0.289975,-1.458405,2.073801,-0.143694,-5.066470,-15.894619,-1.105381,-0.552690,False
2007-01-25,-15.000000,-11.430172,-0.050990,-0.231153,0.440783,-1.483842,2.022794,-0.143694,-5.273358,-16.149632,1.149632,0.574816,False
2007-02-15,-16.000000,-11.487933,-0.070343,-0.158453,0.525884,-1.491489,1.990836,-0.143694,-5.379489,-16.214680,0.214680,0.107340,False
2007-03-29,-15.000000,-11.603457,-0.011388,0.036351,0.680190,-1.489518,1.923948,-0.143694,-5.557957,-16.165526,1.165526,0.582763,False
2007-04-26,-15.000000,-11.680472,0.050570,0.162320,0.768926,-1.475434,1.877208,-0.143694,-5.655775,-16.096351,1.096351,0.548176,False
2007-05-24,-17.000000,-11.757488,0.069063,0.251303,0.844561,-1.451235,1.828798,-0.143694,-5.739492,-16.098185,-0.901815,-0.450907,False
2007-06-22,-19.000000,-11.837254,0.025958,0.282963,0.907713,-1.415689,1.776945,-0.143694,-5.813499,-16.216557,-2.783443,-1.391721,False
