date,288.7,288.7_trend,288.7_0.5yr,288.7_1yr,288.7_3.06yr,288.7_8.38yr,288.7_16.16yr,288.7_model,288.7_noise,288.7_wtest,flagged
2003-12-03,0.000000,-5.119809,-0.010972,0.063363,0.209253,0.433813,0.973362,-3.450989,3.450989,1.725494,False
2004-01-09,-2.000000,-5.178306,0.037767,0.297306,0.309697,0.400544,0.995222,-3.137770,1.137770,0.568885,False
2004-02-12,-2.000000,-5.231945,0.036039,0.410993,0.390158,0.368002,1.013910,-3.012842,1.012842,0.506421,False
2004-03-17,-3.000000,-5.285584,-0.009471,0.388591,0.456467,0.333676,1.031276,-3.085046,0.085046,0.042523,False
2004-04-27,-3.000000,-5.350267,-0.044191,0.194387,0.514229,0.290146,1.050425,-3.345271,0.345271,0.172635,False
2004-05-26,-1.000000,-5.396018,-0.022084,-0.006599,0.538854,0.258103,1.062769,-3.564975,2.564975,1.282488,False
2004-06-25,-5.000000,-5.443347,0.021508,-0.212221,0.549346,0.223998,1.074477,-3.786238,-1.213762,-0.606881,False
2004-07-26,-3.000000,-5.492253,0.044253,-0.366340,0.543879,0.187869,1.085428,-3.997163,0.997163,0.498582,False
2004-08-27,-7.000000,-5.542737,0.020081,-0.418894,0.521031,0.149782,1.095499,-4.175239,-2.824761,-1.412380,False
2004-09-30,-5.000000,-5.596376,-0.028385,-0.339958,0.478430,0.108613,1.104811,-4.272865,-0.727135,-0.363567,False
2004-10-28,-4.000000,-5.640550,-0.044086,-0.187981,0.430228,0.074305,1.111398,-4.256686,0.256686,0.128343,False
2004-11-26,-4.000000,-5.686301,-0.020755,0.013794,0.369153,0.038515,1.117184,-4.168409,0.168409,0.084205,False
2004-12-24,0.000000,-5.730474,0.020168,0.205982,0.300913,0.003829,1.121765,-4.077818,4.077818,2.038909,False
2005-01-25,1.000000,-5.781062,0.044252,0.366570,0.213770,-0.035902,1.125791,-4.066580,5.066580,2.533290,False
2005-02-24,-5.000000,-5.828520,0.022546,0.419235,0.125690,-0.073038,1.128381,-4.205706,-0.794294,-0.397147,False
2005-03-24,-5.000000,-5.872815,-0.018424,0.369588,0.040208,-0.107451,1.129758,-4.459136,-0.540864,-0.270432,False
2005-04-22,-5.000000,-5.918691,-0.043801,0.229723,-0.049350,-0.142716,1.130126,-4.794710,-0.205290,-0.102645,False
2005-05-30,-4.000000,-5.978805,-0.017456,-0.031101,-0.164349,-0.188141,1.128975,-5.250877,1.250877,0.625439,False
2005-06-13,-4.000000,-6.000952,0.003383,-0.129991,-0.205101,-0.204602,1.128084,-5.409179,1.409179,0.704589,False
2005-07-27,-4.000000,-6.070558,0.044243,-0.368308,-0.323773,-0.255172,1.123654,-5.849914,1.849914,0.924957,False
2005-08-17,-7.000000,-6.103779,0.032572,-0.415348,-0.373858,-0.278599,1.120668,-6.018343,-0.981657,-0.490828,False
2005-09-30,-8.000000,-6.173384,-0.028087,-0.341027,-0.461160,-0.325951,1.112596,-6.217014,-1.782986,-0.891493,False
