date,177.694,177.694_trend,177.694_0.5yr,177.694_1yr,177.694_3.73yr,177.694_5.96yr,177.694_12.87yr,177.694_jump,177.694_exp,177.694_model,177.694_noise,177.694_wtest,flagged
2003-12-03,0.000000,-12.076986,0.183171,0.107408,0.752959,1.443663,2.635742,0.000000,0.000000,-6.954043,6.954043,2.318014,False
2004-01-09,-3.000000,-12.103581,0.263253,-0.105506,0.815861,1.463140,2.698396,0.000000,0.000000,-6.968437,3.968437,1.322812,False
2004-02-12,-5.000000,-12.127966,0.001415,-0.266278,0.852740,1.466346,2.750049,0.000000,0.000000,-7.323693,2.323693,0.774564,False
2004-03-17,-7.000000,-12.152352,-0.262142,-0.338878,0.868780,1.455500,2.796047,0.000000,0.000000,-7.633045,0.633045,0.211015,False
2004-04-27,-9.000000,-12.181758,-0.154489,-0.277716,0.859888,1.423889,2.843860,0.000000,0.000000,-7.486326,-1.513674,-0.504558,False
2004-05-26,-5.000000,-12.202557,0.117570,-0.150173,0.835103,1.389515,2.872552,0.000000,0.000000,-7.137990,2.137990,0.712663,False
2004-06-25,-8.000000,-12.224074,0.283694,0.019661,0.793839,1.343764,2.897710,0.000000,0.000000,-6.885407,-1.114593,-0.371531,False
2004-07-26,-8.000000,-12.246308,0.166652,0.189275,0.735338,1.285957,2.918832,0.000000,0.000000,-6.950255,-1.049745,-0.349915,False
2004-08-27,-9.000000,-12.269259,-0.130815,0.309023,0.659290,1.215544,2.935400,0.000000,0.000000,-7.280816,-1.719184,-0.573061,False
2004-09-30,-9.000000,-12.293645,-0.284885,0.336263,0.562893,1.129438,2.947145,0.000000,0.000000,-7.602792,-1.397208,-0.465736,False
2004-10-28,-12.000000,-12.313727,-0.146151,0.274302,0.473063,1.050360,2.952267,0.000000,0.000000,-7.709887,-4.290113,-1.430038,False
2004-11-26,-9.000000,-12.334526,0.126437,0.144911,0.371774,0.961267,2.953231,0.000000,0.000000,-7.776908,-1.223092,-0.407697,False
2004-12-24,-8.000000,-12.354609,0.282386,-0.013828,0.267682,0.868877,2.949969,0.000000,0.000000,-7.999522,-0.000478,-0.000159,False
2005-01-25,-9.000000,-12.377607,0.166128,-0.189594,0.143128,0.756172,2.941179,0.000000,0.000000,-8.560593,-0.439407,-0.146469,False
2005-02-24,-10.000000,-12.399183,-0.114415,-0.304345,0.023399,0.644559,2.928042,0.000000,0.000000,-9.221942,-0.778058,-0.259353,False
