date,242.032,242.032_trend,242.032_0.5yr,242.032_1yr,242.032_5.66yr,242.032_8.11yr,242.032_15.66yr,242.032_model,242.032_noise,242.032_wtest,flagged
2003-12-03,,-16.414139,0.077015,0.064659,0.758198,0.247521,2.621933,-12.644811,,,False
2004-01-09,,-16.623409,-0.204721,-0.144855,0.790715,0.252194,2.658628,-13.271449,,,False
2004-02-12,-8.000000,-16.815299,-0.212229,-0.288816,0.811758,0.255115,2.688416,-13.561055,5.561055,2.780527,False
2004-03-17,-8.000000,-17.007189,0.038090,-0.337143,0.824177,0.256715,2.714469,-13.510880,5.510880,2.755440,False
2004-04-27,-7.000000,-17.238585,0.249919,-0.248225,0.827499,0.256876,2.740869,-13.411647,6.411647,3.205823,False
2004-05-26,-9.000000,-17.402256,0.138052,-0.108953,0.822128,0.255822,2.756202,-13.539006,4.539006,2.269503,False
2004-06-25,-8.000000,-17.571571,-0.107549,0.062471,0.809883,0.253718,2.769133,-13.783916,5.783916,2.891958,False
2004-07-26,-10.000000,-17.746529,-0.249458,0.222081,0.790192,0.250469,2.779348,-13.953897,3.953897,1.976949,False
2004-08-27,-13.000000,-17.927132,-0.127143,0.322041,0.762546,0.245984,2.786526,-13.937177,0.937177,0.468589,False
2004-09-30,-15.000000,-18.119022,0.147988,0.324216,0.725315,0.239984,2.790396,-13.891122,-1.108878,-0.554439,False
2004-10-28,-16.000000,-18.277049,0.249858,0.244265,0.688848,0.234108,2.790672,-14.069297,-1.930703,-0.965351,False
2004-11-26,-18.000000,-18.440719,0.130818,0.103455,0.645847,0.227155,2.788187,-14.545256,-3.454744,-1.727372,False
2004-12-24,-15.000000,-18.598746,-0.099741,-0.056769,0.599586,0.219631,2.783114,-15.152926,0.152926,0.076463,False
2005-01-25,-13.000000,-18.779720,-0.249492,-0.222368,0.541321,0.210067,2.774084,-15.726107,2.726107,1.363054,False
2005-02-24,-12.000000,-18.949498,-0.140560,-0.318677,0.481998,0.200215,2.762496,-15.964026,3.964026,1.982013,False
2005-03-24,-15.000000,-19.107958,0.089614,-0.333770,0.423002,0.190287,2.748971,-15.989855,0.989855,0.494928,False
2005-04-22,-16.000000,-19.272078,0.244665,-0.269352,0.358672,0.179296,2.732217,-16.026579,0.026579,0.013290,False
2005-05-30,-18.000000,-19.487130,0.112783,-0.090093,0.270238,0.163873,2.706064,-16.324266,-1.675734,-0.837867,False
2005-06-13,-14.000000,-19.566360,-0.003456,-0.009881,0.236684,0.157916,2.695236,-16.489860,2.489860,1.244930,False
2005-07-27,-13.000000,-19.815369,-0.249710,0.224544,0.128723,0.138314,2.657063,-16.916436,3.916436,1.958218,False
2005-08-17,-14.000000,-19.934214,-0.194202,0.299106,0.076264,0.128522,2.636647,-16.987878,2.987878,1.493939,False
2005-09-30,-16.000000,-20.183222,0.146221,0.324622,-0.034404,0.107202,2.589329,-17.050253,1.050253,0.525126,False
2005-10-28,-18.000000,-20.341682,0.249891,0.244975,-0.104634,0.093137,2.556056,-17.302257,-0.697743,-0.348872,False
2005-11-28,-16.000000,-20.517120,0.116606,0.092888,-0.181482,0.077182,2.516396,-17.895530,1.895530,0.947765,False
2005-12-28,-15.000000,-20.686899,-0.130096,-0.079395,-0.254324,0.061424,2.475233,-18.614057,3.614057,1.807029,False
2006-01-11,-16.000000,-20.766129,-0.214197,-0.155372,-0.287629,0.053980,2.455099,-18.914247,2.914247,1.457123,False
2006-02-23,-18.000000,-21.009478,-0.147590,-0.316721,-0.386407,0.030850,2.389647,-19.439700,1.439700,0.719850,False
2006-03-24,-20.000000,-21.173597,0.089614,-0.333770,-0.449397,0.015093,2.342481,-19.509576,-0.490424,-0.245212,False
2006-04-28,-19.000000,-21.371672,0.249932,-0.246963,-0.520725,-0.003994,2.282391,-19.611032,0.611032,0.305516,False
2006-05-24,-21.000000,-21.518814,0.156131,-0.123138,-0.569937,-0.018164,2.235561,-19.838361,-1.161639,-0.580819,False
2006-06-22,-19.000000,-21.682933,-0.079493,0.042281,-0.620613,-0.033903,2.181175,-20.193486,1.193486,0.596743,False
2006-07-21,-21.000000,-21.847052,-0.242243,0.197381,-0.666464,-0.049513,2.124573,-20.483318,-0.516682,-0.258341,False
2006-08-31,-23.000000,-22.079083,-0.099148,0.327732,-0.722371,-0.071248,2.040879,-20.603238,-2.396762,-1.198381,False
2006-09-20,-23.000000,-22.192268,0.069225,0.335589,-0.745619,-0.081665,1.998538,-20.616200,-2.383800,-1.191900,False
2006-10-26,-22.000000,-22.396003,0.249610,0.252817,-0.780464,-0.100033,1.919904,-20.854168,-1.145832,-0.572916,False
2006-11-22,-20.000000,-22.548803,0.159468,0.125837,-0.800483,-0.113431,1.858949,-21.318463,1.318463,0.659232,False
2006-12-21,-22.000000,-22.712923,-0.075403,-0.039398,-0.815973,-0.127406,1.791656,-21.979446,-0.020554,-0.010277,False
2007-01-25,-23.000000,-22.910998,-0.249492,-0.222368,-0.826212,-0.143624,1.708023,-22.644671,-0.355329,-0.177665,False
2007-02-15,-21.000000,-23.029843,-0.196882,-0.297750,-0.827869,-0.152981,1.656622,-22.848702,1.848702,0.924351,False
2007-03-29,-22.000000,-23.267533,0.128255,-0.328281,-0.821062,-0.170764,1.551198,-22.908187,0.908187,0.454093,False
2007-04-26,-22.000000,-23.425992,0.249355,-0.254731,-0.809075,-0.181874,1.479065,-22.943252,0.943252,0.471626,False
2007-05-24,-22.000000,-23.584452,0.156131,-0.123138,-0.791225,-0.192342,1.405531,-23.129495,1.129495,0.564747,False
2007-06-22,-23.000000,-23.748572,-0.079493,0.042281,-0.766694,-0.202467,1.327968,-23.426976,0.426976,0.213488,False
2007-07-18,-22.000000,-23.895713,-0.234609,0.182991,-0.739626,-0.210894,1.257279,-23.640572,1.640572,0.820286,False
2007-08-23,-24.000000,-24.099447,-0.157805,0.313612,-0.694558,-0.221497,1.157719,-23.701976,-0.298024,-0.149012,False
2007-09-13,-24.000000,-24.218292,0.009907,0.337371,-0.664388,-0.227089,1.098796,-23.663695,-0.336305,-0.168152,False
2007-10-18,-24.000000,-24.416367,0.236756,0.281100,-0.608149,-0.235401,0.999304,-23.742758,-0.257242,-0.128621,False
2007-11-13,-23.000000,-24.563509,0.210555,0.172640,-0.561877,-0.240737,0.924430,-24.058498,1.058498,0.529249,False
2007-12-10,-24.000000,-24.716309,0.018040,0.024382,-0.510113,-0.245502,0.845878,-24.583624,0.583624,0.291812,False
2008-01-16,-24.000000,-24.925471,-0.232964,-0.180343,-0.433755,-0.250716,0.737158,-25.286091,1.286091,0.643046,False
2008-02-19,-27.000000,-25.117361,-0.174708,-0.307647,-0.358862,-0.254143,0.636341,-25.576380,-1.423620,-0.711810,False
2008-03-13,-27.000000,-25.247169,0.003914,-0.337281,-0.305987,-0.255716,0.567631,-25.574607,-1.425393,-0.712696,False
2008-04-16,-26.000000,-25.439059,0.231376,-0.286715,-0.225174,-0.256931,0.465412,-25.511090,-0.488910,-0.244455,False
2008-05-20,-27.000000,-25.630949,0.177750,-0.141211,-0.141968,-0.256815,0.362547,-25.630645,-1.369355,-0.684677,False
2008-06-24,-29.000000,-25.828482,-0.099741,0.056769,-0.054749,-0.255307,0.256132,-25.925378,-3.074622,-1.537311,False
2008-07-16,-24.000000,-25.952647,-0.229719,0.175421,0.000453,-0.253641,0.189039,-26.071094,2.071094,1.035547,False
2008-08-21,-25.000000,-26.155824,-0.168470,0.309981,0.090666,-0.249732,0.079032,-26.094347,1.094347,0.547173,False
2008-09-19,-27.000000,-26.319495,0.063286,0.335996,0.162602,-0.245527,-0.009682,-26.012819,-0.987181,-0.493591,False
2008-10-08,-29.000000,-26.426728,0.197069,0.308369,0.209086,-0.242269,-0.067805,-26.022277,-2.977723,-1.488861,False
2008-11-05,-28.000000,-26.584755,0.238849,0.210097,0.276279,-0.236756,-0.153400,-26.249686,-1.750314,-0.875157,False
2008-12-04,-27.000000,-26.748425,0.068152,0.058512,0.343766,-0.230169,-0.241899,-26.750063,-0.249937,-0.124969,False
2009-01-14,-25.000000,-26.980023,-0.226334,-0.170626,0.434602,-0.219374,-0.366687,-27.528442,2.528442,1.264221,False
2009-02-05,-25.000000,-27.104527,-0.237293,-0.266161,0.480740,-0.212881,-0.433481,-27.773603,2.773603,1.386802,False
2009-03-04,-31.000000,-27.257328,-0.079059,-0.330882,0.534404,-0.204280,-0.515105,-27.852251,-3.147749,-1.573875,False
2009-04-17,-28.000000,-27.506337,0.232307,-0.285824,0.613986,-0.188840,-0.647118,-27.781827,-0.218173,-0.109087,False
2009-05-06,-29.000000,-27.613863,0.240449,-0.213063,0.645034,-0.181656,-0.703674,-27.826773,-1.173227,-0.586613,False
2009-06-10,-32.000000,-27.811938,0.022329,-0.027278,0.696519,-0.167657,-0.807033,-28.095059,-3.904941,-1.952471,False
2009-07-15,-28.000000,-28.010013,-0.224475,0.168114,0.740118,-0.152733,-0.909199,-28.388188,0.388188,0.194094,False
2009-08-12,-28.000000,-28.168473,-0.218281,0.284574,0.768986,-0.140183,-0.989969,-28.463346,0.463346,0.231673,False
2009-09-15,-28.000000,-28.360889,0.027066,0.337362,0.796531,-0.124283,-1.086780,-28.410993,0.410993,0.205497,False
2009-10-14,-28.000000,-28.525008,0.223521,0.293274,0.813309,-0.110206,-1.168160,-28.473269,0.473269,0.236634,False
2009-11-11,-29.000000,-28.683468,0.219321,0.182517,0.823510,-0.096218,-1.245607,-28.799946,-0.200054,-0.100027,False
2009-12-09,-31.000000,-28.841928,0.026610,0.030171,0.827742,-0.081890,-1.321875,-29.361170,-1.638830,-0.819415,False
2010-01-19,-31.000000,-29.073959,-0.241148,-0.195018,0.823118,-0.060403,-1.431274,-30.178684,-0.821316,-0.410658,False
2010-02-10,-30.000000,-29.198463,-0.220344,-0.283003,0.815354,-0.048675,-1.488792,-30.423922,0.423922,0.211961,False
2010-03-16,-30.000000,-29.390878,0.022785,-0.337401,0.796196,-0.030349,-1.575958,-30.515606,0.515606,0.257803,False
2010-04-14,-31.000000,-29.554998,0.221563,-0.294700,0.773124,-0.014590,-1.648571,-30.518171,-0.481829,-0.240914,False
2010-05-12,-29.000000,-29.713458,0.221351,-0.184953,0.745141,0.000679,-1.717091,-30.648330,1.648330,0.824165,False
2010-06-09,-29.000000,-29.871918,0.030884,-0.033063,0.711758,0.015946,-1.783985,-30.930378,1.930378,0.965189,False
2010-07-14,-29.000000,-30.069993,-0.220560,0.163053,0.662807,0.034944,-1.865219,-31.294967,2.294967,1.147484,False
2010-08-17,-29.000000,-30.262408,-0.194202,0.299106,0.608064,0.053215,-1.941489,-31.437715,2.437715,1.218858,False
2010-09-14,-29.000000,-30.420868,0.018497,0.337416,0.558076,0.068058,-2.002268,-31.441089,2.441089,1.220545,False
2010-10-12,-30.000000,-30.579328,0.215298,0.298844,0.504043,0.082661,-2.061151,-31.539634,1.539634,0.769817,False
2010-11-16,-31.000000,-30.777403,0.195549,0.157445,0.431413,0.100498,-2.132002,-32.024500,1.024500,0.512250,False
2010-12-08,-31.000000,-30.901907,0.035149,0.035952,0.383205,0.111432,-2.174929,-32.511098,1.511098,0.755549,False
2011-01-13,-33.000000,-31.105642,-0.222551,-0.165590,0.300723,0.128789,-2.242417,-33.306686,0.306686,0.153343,False
