date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2007-06-22,-19.000000,-19.247730,0.872346,-1.459061,1.959234,-0.712553,0.000000,-18.587765,-0.412235,-0.206118,False
2007-07-18,-17.000000,-19.474479,1.202433,-0.994572,1.944980,-0.712553,0.000000,-18.034192,1.034192,0.517096,False
2007-08-23,-18.000000,-19.787103,0.245379,-0.054796,1.921366,-0.712553,0.000000,-18.387709,0.387709,0.193854,False
2007-09-13,-20.000000,-19.968751,-0.601493,0.527223,1.905530,-0.712553,0.000000,-18.850045,-1.149955,-0.574978,False
2007-10-18,-20.000000,-20.270324,-1.198050,1.312372,1.875802,-0.712553,0.000000,-18.992753,-1.007247,-0.503624,False
2007-11-13,-19.000000,-20.493400,-0.604757,1.606235,1.851055,-0.712553,0.000000,-18.353421,-0.646579,-0.323289,False
2007-12-10,-18.000000,-20.724199,0.480207,1.576338,1.822986,-0.712553,0.000000,-17.557221,-0.442779,-0.221390,False
2008-01-16,-18.000000,-21.038714,1.205096,1.006632,1.780718,-0.712553,0.000000,-17.758821,-0.241179,-0.120589,False
2008-02-19,-21.000000,-21.325820,0.351878,0.128874,1.738111,-0.712553,0.000000,-19.819511,-1.180489,-0.590245,False
2008-03-13,-21.000000,-21.519258,-0.576075,-0.508604,1.707256,-0.712553,0.000000,-21.609235,0.609235,0.304617,False
2008-04-16,-24.000000,-21.804056,-1.207181,-1.281634,1.658710,-0.712553,0.000000,-23.346714,-0.653286,-0.326643,False
2008-05-20,-25.000000,-22.087478,-0.371740,-1.630284,1.606753,-0.712553,0.000000,-23.195302,-1.804698,-0.902349,False
2008-06-24,-22.000000,-22.377799,0.942057,-1.425520,1.549818,-0.712553,0.000000,-22.023997,0.023997,0.011998,False
2008-07-16,-23.000000,-22.559539,1.208910,-1.028634,1.512293,-0.712553,0.000000,-21.579523,-1.420477,-0.710238,False
2008-08-21,-23.000000,-22.855689,0.311847,-0.100849,1.448095,-0.712553,0.000000,-21.909150,-1.090850,-0.545425,False
2008-09-19,-22.000000,-23.093133,-0.813418,0.691411,1.393944,-0.712553,0.000000,-22.533749,0.533749,0.266874,False
2008-10-08,-23.000000,-23.248156,-1.192058,1.130241,1.357331,-0.712553,0.000000,-22.665196,-0.334804,-0.167402,False
2008-11-05,-22.000000,-23.475829,-0.863148,1.549416,1.301791,-0.712553,0.000000,-22.200323,0.200323,0.100161,False
2008-12-04,-20.000000,-23.710648,0.244820,1.612915,1.242355,-0.712553,0.000000,-21.323110,1.323110,0.661555,False
2009-01-14,-21.000000,-24.041211,1.211238,1.049565,1.155098,-0.712553,0.000000,-21.337864,0.337864,0.168932,False
2009-02-05,-23.000000,-24.218090,0.845553,0.510950,1.106742,-0.712553,0.000000,-22.467397,-0.532603,-0.266301,False
2009-03-04,-25.000000,-24.434376,-0.190361,-0.240125,1.046091,-0.712553,0.000000,-24.531324,-0.468676,-0.234338,False
2009-04-17,-25.000000,-24.784973,-1.206013,-1.286691,0.944366,-0.712553,0.000000,-27.045864,2.045864,1.022932,False
2009-05-06,-23.000000,-24.935650,-0.882144,-1.543371,0.899407,-0.712553,0.000000,-27.174311,4.174311,2.087155,False
2009-06-10,-25.000000,-25.212082,0.460975,-1.580065,0.815090,-0.712553,0.000000,-26.228636,1.228636,0.614318,False
2009-07-15,-24.000000,-25.487048,1.211924,-1.060333,0.728986,-0.712553,0.000000,-25.319024,1.319024,0.659512,False
2009-08-12,-21.499575,-25.705965,0.666924,-0.361683,0.658944,-0.712553,0.000000,-25.454333,3.954759,1.977379,False
2009-09-15,-28.000000,-25.970531,-0.672485,0.580239,0.572660,-0.712553,0.000000,-26.202669,-1.797331,-0.898665,False
2009-10-14,-28.000000,-26.195096,-1.212133,1.241993,0.498123,-1.461657,0.000000,-27.128771,-0.871229,-0.435615,False
2009-11-11,-27.000000,-26.410963,-0.675613,1.594493,0.425443,-1.461657,0.000000,-26.528296,-0.471704,-0.235852,False
2009-12-09,-27.000000,-26.625890,0.441607,1.583675,0.352166,-1.461657,0.000000,-25.710100,-1.289900,-0.644950,False
2010-01-19,-24.000000,-26.938913,1.184725,0.937738,0.244006,-1.461657,0.000000,-26.034101,2.034101,1.017051,False
2010-02-10,-27.000000,-27.106046,0.684251,0.375407,0.185646,-1.461657,0.000000,-27.322399,0.322399,0.161200,False
2010-03-16,-27.000000,-27.363204,-0.655023,-0.567047,0.095155,-1.461657,0.000000,-29.951777,2.951777,1.475888,False
2010-04-14,-31.000000,-27.581451,-1.212280,-1.232775,0.017808,-1.461657,0.000000,-31.470354,0.470354,0.235177,False
2010-05-12,-32.000000,-27.791217,-0.692839,-1.591262,-0.056898,-1.461657,0.000000,-31.593873,-0.406127,-0.203064,False
2010-06-09,-31.000000,-28.000044,0.422108,-1.587167,-0.131524,-1.461657,0.000000,-30.758284,-0.241716,-0.120858,False
2010-07-14,-28.000000,-28.259758,1.212219,-1.081634,-0.224535,-1.461657,0.000000,-29.815365,1.815365,0.907683,False
2010-08-17,-29.000000,-28.510647,0.483660,-0.223139,-0.314419,-1.461657,0.000000,-30.026204,1.026204,0.513102,False
2010-09-14,-30.000000,-28.716223,-0.637367,0.553813,-0.387962,-1.461657,0.000000,-30.649396,0.649396,0.324698,False
2010-10-12,-32.000000,-28.920860,-1.210567,1.204574,-0.460960,-1.461657,0.000000,-30.849470,-1.150530,-0.575265,False
2010-11-16,-31.000000,-29.175336,-0.493209,1.620273,-0.551287,-1.461657,0.000000,-30.061217,-0.938783,-0.469391,False
2010-12-08,-30.000000,-29.334542,0.402484,1.590542,-0.607458,-1.461657,0.000000,-29.410633,-0.589367,-0.294684,False
2011-01-13,-30.000000,-29.593812,1.212251,1.071023,-0.698218,-1.461657,0.000000,-29.470413,-0.529587,-0.264794,False
2011-02-15,-31.000000,-29.830112,0.502723,0.237085,-0.779998,-1.461657,0.000000,-31.331960,0.331960,0.165980,False
