date,122.818,122.818_trend,122.818_0.5yr,122.818_1yr,122.818_4.78yr,122.818_jump,122.818_exp,122.818_model,122.818_noise,122.818_wtest,flagged
2003-12-03,0.000000,-5.714279,-0.332809,0.977113,0.710392,0.000000,0.000000,-4.359583,4.359583,2.179792,False
2004-01-09,0.000000,-6.002843,-0.237403,0.317505,0.719579,0.000000,0.000000,-5.203163,5.203163,2.601581,False
2004-02-12,-4.000000,-6.267441,0.159984,-0.404248,0.716803,0.000000,0.000000,-5.794901,1.794901,0.897451,False
2004-03-17,-6.000000,-6.532040,0.363015,-0.992144,0.703353,0.000000,0.000000,-6.457816,0.457816,0.228908,False
2004-04-27,-6.000000,-6.851114,0.040194,-1.253841,0.673233,0.000000,0.000000,-7.391529,1.391529,0.695764,False
2004-05-26,-5.000000,-7.076801,-0.281304,-1.074874,0.643079,0.000000,0.000000,-7.789900,2.789900,1.394950,False
2004-06-25,-7.000000,-7.310270,-0.342198,-0.616275,0.604555,0.000000,0.000000,-7.664189,0.664189,0.332094,False
2004-07-26,-5.000000,-7.551522,-0.058739,0.023749,0.557388,0.000000,0.000000,-7.029125,2.029125,1.014562,False
2004-08-27,-5.000000,-7.800556,0.292783,0.675462,0.501466,0.000000,0.000000,-6.330845,1.330845,0.665422,False
2004-09-30,-3.000000,-8.065154,0.313093,1.146604,0.434819,0.000000,0.000000,-6.170638,3.170638,1.585319,False
2004-10-28,-8.000000,-8.283059,0.027768,1.252694,0.375024,0.000000,0.000000,-6.627573,-1.372427,-0.686213,False
2004-11-26,-8.000000,-8.508746,-0.289041,1.063591,0.309107,0.000000,0.000000,-7.425089,-0.574911,-0.287455,False
2004-12-24,-10.000000,-8.726650,-0.346207,0.634953,0.242276,0.000000,0.000000,-8.195628,-1.804372,-0.902186,False
2005-01-25,-11.000000,-8.976196,-0.057929,-0.025165,0.162775,0.000000,0.000000,-8.896515,-2.103485,-1.051742,False
2005-02-24,-11.000000,-9.210305,0.278500,-0.641493,0.086211,0.000000,0.000000,-9.487087,-1.512913,-0.756457,False
2005-03-24,-8.000000,-9.428806,0.350726,-1.068472,0.013826,0.000000,0.000000,-10.132727,2.132727,1.066363,False
2005-04-22,-11.000000,-9.655112,0.109632,-1.253323,-0.061282,0.000000,0.000000,-10.860085,-0.139915,-0.069957,False
2005-05-30,-11.000000,-9.951650,-0.306261,-1.035142,-0.158562,0.000000,0.000000,-11.451614,0.451614,0.225807,False
2005-06-13,-12.147975,-10.060900,-0.362140,-0.835829,-0.193750,0.000000,0.000000,-11.452620,-0.695355,-0.347677,False
2005-07-27,-11.000000,-10.404260,-0.051743,0.035964,-0.300726,0.000000,0.000000,-10.720765,-0.279235,-0.139618,False
2005-08-17,-10.000000,-10.568136,0.199265,0.477354,-0.349285,0.000000,0.000000,-10.240803,0.240803,0.120401,False
2005-09-30,-12.000000,-10.911496,0.314697,1.144361,-0.444238,0.000000,0.000000,-9.896676,-2.103324,-1.051662,False
2005-10-28,-12.000000,-11.129998,0.029984,1.252925,-0.499006,0.000000,0.000000,-10.346095,-1.653905,-0.826953,False
2005-11-28,-12.000000,-11.371910,-0.302844,1.041212,-0.553707,0.000000,0.000000,-11.187249,-0.812751,-0.406375,False
2005-12-28,-12.000000,-11.606019,-0.327834,0.559384,-0.600086,0.000000,0.000000,-11.974555,-0.025445,-0.012723,False
2006-01-11,-12.000000,-11.715270,-0.217681,0.275059,-0.619365,0.000000,0.000000,-12.277257,0.277257,0.138629,False
2006-02-23,-12.000000,-12.050826,0.270294,-0.622829,-0.668546,0.000000,0.000000,-13.071907,1.071907,0.535953,False
2006-03-24,-13.000000,-12.277131,0.350726,-1.068472,-0.692738,0.000000,0.000000,-13.687615,0.687615,0.343807,False
2006-04-28,-16.000000,-12.550258,0.036215,-1.253513,-0.711863,0.000000,0.000000,-14.479419,-1.520581,-0.760291,False
2006-05-24,-16.000000,-12.753152,-0.259586,-1.102801,-0.718768,0.000000,0.000000,-14.834308,-1.165692,-0.582846,False
2006-06-22,-13.000000,-12.979458,-0.354512,-0.681339,-0.719041,0.000000,0.000000,-14.734351,1.734351,0.867175,False
2006-07-21,-12.000000,-13.205763,-0.124442,-0.093576,-0.711479,0.000000,0.000000,-14.135259,2.135259,1.067630,False
2006-08-31,-12.000000,-13.525712,0.317496,0.740603,-0.687594,0.000000,0.000000,-13.155206,1.155206,0.577603,False
2006-09-20,-10.000000,-13.681784,0.357642,1.039153,-0.670468,0.000000,0.000000,-12.955457,2.955457,1.477728,False
2006-10-26,-12.000000,-13.962715,0.054838,1.254721,-0.630951,0.000000,0.000000,-13.284107,1.284107,0.642053,False
2006-11-22,-16.000000,-14.173413,-0.255167,1.107918,-0.594320,0.000000,0.000000,-13.914982,-2.085018,-1.042509,False
