date,228.408,228.408_trend,228.408_0.5yr,228.408_1yr,228.408_5.82yr,228.408_16.16yr,228.408_jump,228.408_exp,228.408_model,228.408_noise,228.408_wtest,flagged
2003-12-03,0.000000,-8.533070,0.054481,-0.286854,1.390074,2.207283,0.000000,0.000000,-5.168087,5.168087,2.584044,False
2004-01-09,1.000000,-8.637922,-0.025550,-0.280316,1.444320,2.262283,0.000000,0.000000,-5.237185,6.237185,3.118593,False
2004-02-12,-1.000000,-8.734067,-0.069652,-0.176946,1.478903,2.309633,0.000000,0.000000,-5.192128,4.192128,2.096064,False
2004-03-17,-2.000000,-8.830211,-0.029137,-0.014985,1.498625,2.353971,0.000000,0.000000,-5.021738,3.021738,1.510869,False
2004-04-27,-2.000000,-8.946150,0.057724,0.181680,1.502368,2.403347,0.000000,0.000000,-4.801030,2.801030,1.400515,False
2004-05-26,-2.000000,-9.028155,0.064147,0.272886,1.491755,2.435525,0.000000,0.000000,-4.763842,2.763842,1.381921,False
2004-06-25,1.000000,-9.112989,0.009694,0.297395,1.469298,2.466379,0.000000,0.000000,-4.870222,5.870222,2.935111,False
2004-07-26,-4.000000,-9.200650,-0.055639,0.241774,1.434017,2.495630,0.000000,0.000000,-5.084868,1.084868,0.542434,False
2004-08-27,-6.000000,-9.291139,-0.062661,0.114559,1.385033,2.522986,0.000000,0.000000,-5.331222,-0.668778,-0.334389,False
2004-09-30,-3.000000,-9.387283,0.003431,-0.056472,1.319489,2.548856,0.000000,0.000000,-5.571978,2.571978,1.285989,False
2004-10-28,-8.000000,-9.466461,0.059030,-0.185725,1.255521,2.567666,0.000000,0.000000,-5.769968,-2.230032,-1.115016,False
2004-11-26,-7.000000,-9.548466,0.063175,-0.274934,1.180252,2.584753,0.000000,0.000000,-5.995220,-1.004780,-0.502390,False
2004-12-24,-6.000000,-9.627644,0.012057,-0.297841,1.099382,2.598923,0.000000,0.000000,-6.215123,0.215123,0.107562,False
2005-01-25,-6.000000,-9.718319,-0.055733,-0.241575,0.997598,2.612326,0.000000,0.000000,-6.405704,0.405704,0.202852,False
2005-02-24,-7.000000,-9.803384,-0.064471,-0.123272,0.893984,2.622144,0.000000,0.000000,-6.475000,-0.525000,-0.262500,False
2005-03-24,-7.000000,-9.882779,-0.015050,0.016925,0.790914,2.628892,0.000000,0.000000,-6.461097,-0.538903,-0.269452,False
2005-04-22,-7.000000,-9.965009,0.049040,0.157658,0.678458,2.633416,0.000000,0.000000,-6.446437,-0.553563,-0.276781,False
2005-05-30,-5.000000,-10.072759,0.060531,0.279531,0.523683,2.635540,0.000000,0.000000,-6.573473,1.573473,0.786737,False
2005-06-13,-9.000000,-10.112457,0.037636,0.296623,0.464889,2.635234,0.000000,0.000000,-6.678075,-2.321925,-1.160963,False
2005-07-27,-11.000000,-10.237220,-0.056445,0.240053,0.275394,2.630457,0.000000,0.000000,-7.147759,-3.852241,-1.926120,False
2005-08-17,-11.000000,-10.296766,-0.069356,0.161634,0.183111,2.626140,0.000000,0.000000,-7.395237,-3.604763,-1.802382,False
2005-09-30,-11.000000,-10.421529,0.002822,-0.055188,-0.012109,2.612836,0.000000,0.000000,-7.873168,-3.126832,-1.563416,False
2005-10-28,-8.000000,-10.500923,0.058803,-0.185009,-0.136443,2.601379,0.000000,0.000000,-8.162193,0.162193,0.081097,False
2005-11-28,-9.000000,-10.588825,0.061117,-0.278613,-0.272971,2.585996,0.000000,0.000000,-8.493296,-0.506704,-0.253352,False
2005-12-28,-11.000000,-10.673890,0.002574,-0.295539,-0.402924,2.568424,0.000000,0.000000,-8.801354,-2.198646,-1.099323,False
2006-01-11,-11.000000,-10.713588,-0.029997,-0.276549,-0.462545,2.559326,0.000000,0.000000,-8.923353,-2.076647,-1.038323,False
2006-02-23,-22.000000,-10.835515,-0.065343,-0.127939,-0.640274,2.527830,0.000000,0.000000,-9.141241,-12.858759,-6.429379,True
2006-03-24,-14.000000,-10.917745,-0.015050,0.016925,-0.754468,2.503589,-0.985289,-0.705114,-10.857151,-3.142849,-1.571424,False
2006-04-28,-12.000000,-11.016989,0.058150,0.182983,-0.884826,2.471155,-0.985289,-1.417776,-11.592591,-0.407409,-0.203705,False
2006-05-24,-14.000000,-11.090712,0.066323,0.267168,-0.975604,2.444835,-0.985289,-1.864298,-12.137576,-1.862424,-0.931212,False
2006-06-22,-12.000000,-11.172942,0.017963,0.298579,-1.070030,2.413266,-0.985289,-2.291825,-12.790278,0.790278,0.395139,False
2006-07-21,-14.000000,-11.255173,-0.046865,0.257112,-1.156588,2.379395,-0.985289,-2.655694,-13.463102,-0.536898,-0.268449,False
2006-08-31,-12.000000,-11.371429,-0.058343,0.096993,-1.264315,2.327641,-0.985289,-3.079627,-14.334370,2.334370,1.167185,False
2006-09-20,-9.000000,-11.428140,-0.020843,-0.004077,-1.310214,2.300778,-0.985289,-3.253884,-14.701667,5.701667,2.850833,False
2006-10-26,-12.000000,-11.530218,0.056091,-0.176824,-1.381183,2.249802,-0.985289,-3.522640,-15.290261,3.290261,1.645131,False
2006-11-22,-16.000000,-11.606778,0.066681,-0.266008,-1.424181,2.209395,-0.985289,-3.691703,-15.697882,-0.302118,-0.151059,False
2006-12-21,-17.000000,-11.689008,0.019119,-0.298658,-1.460246,2.163960,-0.985289,-3.847136,-16.097257,-0.902743,-0.451371,False
2007-01-25,-15.000000,-11.788251,-0.055733,-0.241575,-1.489455,2.106378,-0.985289,-4.004232,-16.458157,1.458157,0.729079,False
2007-02-15,-16.000000,-11.847797,-0.069461,-0.163791,-1.499338,2.070419,-0.985289,-4.084821,-16.580078,0.580078,0.290039,False
2007-03-29,-15.000000,-11.966889,-0.003173,0.042504,-1.501741,1.995411,-0.985289,-4.220338,-16.639515,1.639515,0.819757,False
2007-04-26,-15.000000,-12.046284,0.055371,0.174745,-1.490471,1.943177,-0.985289,-4.294614,-16.643365,1.643365,0.821682,False
2007-05-24,-17.000000,-12.125678,0.066323,0.267168,-1.468985,1.889215,-0.985289,-4.358183,-16.715429,-0.284571,-0.142285,False
2007-06-22,-19.000000,-12.207909,0.017963,0.298579,-1.436119,1.831554,-0.985289,-4.414380,-16.895600,-2.104400,-1.052200,False
2007-07-18,-18.000000,-12.281632,-0.041299,0.264623,-1.397666,1.778371,-0.985289,-4.457611,-17.120502,-0.879498,-0.439749,False
2007-08-23,-16.000000,-12.383711,-0.066505,0.134867,-1.330842,1.702490,-0.985289,-4.508033,-17.437023,1.437023,0.718512,False
2007-09-13,-15.000000,-12.443257,-0.036110,0.031863,-1.284844,1.657062,-0.985289,-4.533109,-17.593682,2.593682,1.296841,False
2007-10-18,-17.000000,-12.542500,0.042734,-0.142091,-1.197265,1.579519,-0.985289,-4.568913,-17.813805,0.813805,0.406903,False
2007-11-13,-17.000000,-12.616224,0.069671,-0.241834,-1.123850,1.520487,-0.985289,-4.591346,-17.968384,0.968384,0.484192,False
2007-12-10,-17.000000,-12.692783,0.042538,-0.294813,-1.040586,1.457952,-0.985289,-4.611453,-18.124434,1.124434,0.562217,False
2008-01-16,-19.000000,-12.797581,-0.040247,-0.265904,-0.915970,1.370406,-0.985289,-4.634512,-18.269096,-0.730904,-0.365452,False
2008-02-19,-18.000000,-12.893726,-0.068115,-0.146811,-0.791988,1.288217,-0.985289,-4.651879,-18.249590,0.249590,0.124795,False
2008-03-13,-17.000000,-12.958765,-0.037528,-0.035424,-0.703525,1.231659,-0.985289,-4.661902,-18.150773,1.150773,0.575387,False
2008-04-16,-16.000000,-13.054909,0.039264,0.133929,-0.566947,1.146715,-0.985289,-4.674564,-17.961800,1.961800,0.980900,False
2008-05-20,-18.000000,-13.151053,0.068357,0.258934,-0.424671,1.060276,-0.985289,-4.685050,-17.858498,-0.141502,-0.070751,False
2008-06-24,-16.000000,-13.250026,0.012057,0.297841,-0.273768,0.969850,-0.985289,-4.693967,-17.923301,1.923301,0.961650,False
2008-07-16,-19.000000,-13.312237,-0.038270,0.268203,-0.177320,0.912317,-0.985289,-4.698747,-18.031343,-0.968657,-0.484328,False
2008-08-21,-19.000000,-13.414037,-0.067570,0.142323,-0.018072,0.817112,-0.985289,-4.705416,-18.230948,-0.769052,-0.384526,False
2008-09-19,-17.000000,-13.496042,-0.022475,-0.000395,0.110445,0.739543,-0.985289,-4.709899,-18.364112,1.364112,0.682056,False
2008-10-08,-18.000000,-13.549770,0.022179,-0.096105,0.194265,0.688337,-0.985289,-4.712469,-18.438851,0.438851,0.219426,False
2008-11-05,-18.000000,-13.628948,0.066859,-0.216015,0.316603,0.612370,-0.985289,-4.715795,-18.550214,0.550214,0.275107,False
2008-12-04,-19.000000,-13.710953,0.052833,-0.288352,0.441025,0.533120,-0.985289,-4.718737,-18.676353,-0.323647,-0.161824,False
2009-01-14,-21.000000,-13.826993,-0.036322,-0.270345,0.611363,0.420132,-0.985289,-4.722169,-18.809621,-2.190379,-1.095189,False
2009-02-05,-20.000000,-13.889374,-0.067247,-0.204170,0.699391,0.359048,-0.985289,-4.723715,-18.811355,-1.188645,-0.594322,False
2009-03-04,-20.000000,-13.965933,-0.054852,-0.084746,0.803342,0.283815,-0.985289,-4.725372,-18.729035,-1.270965,-0.635483,False
2009-04-17,-22.000000,-14.090696,0.039836,0.135258,0.961487,0.160738,-0.985289,-4.727592,-18.506257,-3.493743,-1.746872,False
2009-05-06,-22.000000,-14.144571,0.066399,0.213672,1.024898,0.107466,-0.985289,-4.728395,-18.445820,-3.554180,-1.777090,False
2009-06-10,-16.000000,-14.243815,0.043482,0.294385,1.133095,0.009234,-0.985289,-4.729669,-18.478577,2.478577,1.239288,False
2009-07-15,-20.000000,-14.343058,-0.035293,0.271430,1.229160,-0.089010,-0.985289,-4.730718,-18.682778,-1.317222,-0.658611,False
2009-08-12,-19.000000,-14.422453,-0.069480,0.182635,1.296581,-0.167523,-0.985289,-4.731422,-18.896951,-0.103049,-0.051525,False
2009-09-15,-21.000000,-14.518860,-0.031924,0.021619,1.366461,-0.262654,-0.985289,-4.732142,-19.142789,-1.857211,-0.928606,False
2009-10-14,-19.000000,-14.601091,0.034774,-0.123672,1.415177,-0.343527,-0.985289,-4.732657,-19.336285,0.336285,0.168142,False
2009-11-11,-21.000000,-14.680485,0.069432,-0.235652,1.452342,-0.421301,-0.985289,-4.733082,-19.534034,-1.465966,-0.732983,False
2009-12-09,-18.000000,-14.759880,0.044412,-0.293936,1.479553,-0.498700,-0.985289,-4.733445,-19.747285,1.747285,0.873642,False
