datetime,1.35,7.969,14.487,23.493,34.983,43.484,50.018,58.028,75.009,86.15899999999999,93.29499999999999,102.776,104.986,123.482,136.94,152.432,167.875,183.377,195.401,200.197,206.425,222.366,238.399,251.83,269.038,291.925,299.849
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-09-02,0.6136032255180908,0.20633940664174588,-0.19419681851104542,1.3724039415501466,-0.6701674510331941,-0.3298325489668059,1.0,1.999999999985448,1.000000000014552,1.4551915228366852e-11,1.999999999985448,-2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,
2020-10-08,0.5565613049393505,0.4803768240089994,-0.3565067246890976,0.5188301465095719,0.7557146104009007,-1.7557146104009007,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,
2020-11-04,0.0,0.0,0.006562509217474144,0.9934374907825259,-1.0,-2.0,0.0,-1.0,0.0,-0.9999999999854481,-1.4551915228366852e-11,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,
2020-12-01,-0.4806016002121396,0.0,-1.0,2.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,
2021-01-12,-0.5788074448846601,-0.8058768416503881,-0.1941231583496119,2.0,-1.0,0.0,1.0,2.0,2.0,1.4551915228366852e-11,1.999999999985448,-2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,-1.0,1.0,-2.0,
2021-02-02,-1.1339571639236965,-0.5463142474063716,-0.7561483909703384,0.92491075909129,-0.9816357686722768,-0.6789666566401138,-0.720889899872418,4.4066472935446654,-5.761247094036662,-1.000000000014552,0.0,7.239200668598642,1.7387476013973355,-12.977948269995977,11.819447785121156,-13.819447785121156,13.818886311899405,-0.8033883364114445,-15.01549797548796,0.0,-4.0,0.0,18.344380506081507,-19.344380506081507,0.0,-2.0,
2021-03-03,-2.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-0.9999999999854481,-1.000000000014552,-2.0,0.0,-4.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0,
2021-04-07,-2.0,0.0,-1.0,0.0,-1.0,-1.0,-3.0,-3.000000000014552,-3.999999999985448,4.0,-6.0,-2.0,-2.0,-5.0,-2.0,-2.0,-5.0,-4.0,0.0,-2.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,
2021-05-14,-0.8815580510345171,-0.674512733676238,-1.443929215289245,1.0,-2.0,-2.0,-4.0,-6.0,-5.999999999985448,-3.0,-2.000000000014552,-2.0,-5.0,-7.0,-4.0,-6.0,-5.0,-4.0,0.0,-1.0,-6.0,-1.0,-2.0,-1.0,-2.0,-1.0,
2021-06-03,-0.16273432625621354,-1.0,-1.3515136799323955,1.3515136799323955,-1.6356802091613645,-3.3643197908386355,-4.0,-8.0,-6.0,-3.999999999985448,-3.000000000014552,-1.0,-7.0,-6.0,-6.0,-6.0,-7.0,-2.0,-1.0,-1.0,-7.0,0.0,-3.0,-1.0,-4.0,-2.0,
2021-07-07,-1.0,0.15393758967911708,-1.7311597819207236,2.5772221922416065,-2.3863770984171424,-2.6136229015828576,-3.0,-5.0,-1.999999999985448,-3.000000000014552,-1.0,-2.0,-5.0,-6.0,-4.0,-4.0,-5.0,-3.0,0.0,-1.0,-7.0,0.0,-1.0,0.0,-4.0,-2.0,
2021-08-09,-2.2969472182649042,1.1588857052747699,-1.7944323245974374,3.6819871374973445,-3.1129313725905376,-2.5240118758010794,-0.3630567516083829,-4.0,-2.999999999985448,-3.0,-1.000000000014552,-1.0,-5.0,-6.0,-3.0,-5.0,-4.0,-3.0,0.0,-1.0,-7.0,0.0,-1.0,-1.0,-4.0,-1.0,
2021-09-09,-2.550949911385942,1.550949911385942,-1.8613672469800804,0.8613672469800804,0.0,-3.0,-2.0,-6.0,-3.999999999985448,-3.000000000014552,0.0,-2.0,-5.0,-8.0,-5.0,-4.0,-6.0,-1.0,-1.0,-2.0,-7.0,0.0,-2.0,1.0,-4.0,-2.0,
2021-10-05,-2.0,1.0,-1.0,0.0,0.0,-2.0,-3.0,-7.000000000014552,-3.999999999985448,-3.0,-2.0,-2.0,-6.0,-7.0,-5.0,-5.0,-7.0,-3.0,0.0,-3.0,-7.0,0.0,-1.0,0.0,-4.0,-2.0,
2021-11-23,-2.0,1.09599074766993,-1.09599074766993,0.0,0.16320378700038418,-3.163203787000384,-3.0,-6.000000000014552,-3.999999999985448,-3.0,-2.0,-1.0,-6.0,-7.0,-5.0,-5.0,-8.0,-2.0,0.0,-2.0,-8.0,-1.0,0.0,-1.0,-4.0,-2.0,
2021-12-14,-2.297511300300357,0.9594124375362298,-0.44273497465837863,0.09168142428461579,-0.8118324825481977,-4.175199611621792,-1.75981338465499,-6.287440940213855,-1.4140857039310504,-3.016120801883517,-1.8368305972544476,-1.2339240541914478,-6.986519782702089,-6.046137759607518,-5.840632503386587,-3.8488277269061655,-7.1879510242142715,-4.227571526891552,-0.5145103037066292,-0.6515375453745946,-9.45257770860917,0.8294057185994461,-0.8498922563157976,0.7127158431394491,-5.146723033161834,-0.4273986844928004,
2022-01-01,-2.265703832041254,0.38634902654303005,0.2819911929382215,-1.088169325110357,-0.6810628153907601,-3.3094906357800937,-3.041536424352671,-4.696079756984545,-5.026907223611488,-0.6446713855548296,-4.82821252818394,3.18316191440681,-6.74831132889085,-14.30904256500071,2.0467348019883502,-13.220165440900018,2.306508623616537,-4.550888849509647,-9.771351294097258,8.622769629495451,-10.373439961811528,0.8857564236386679,-0.4288696907169651,0.042573776881909,-16.40392664296087,1.7053097349707969,
2022-02-01,-1.9589955251158244,-0.48718719205862726,0.8071941610596696,-1.2840168025140883,-1.3517437996561057,-3.47187550716626,-3.8016429832568974,-5.201107349515951,-6.640133487802814,4.008970565715572,-10.360324902358116,2.8663118130061775,-7.202095697721234,-16.054792828581412,1.9362159175798297,-14.801164144591894,1.8881927599140909,-4.557571048702812,-11.439653852925403,9.864667849731632,-10.491076569625875,0.5602300009923056,-1.6402968913607765,1.0018470577779226,-18.71297305187909,2.589689360349439,
2022-03-01,-1.9417027470963149,-1.212337892036885,1.121425821496814,-1.1454194576617738,-2.063432169132284,-3.603720308477932,-4.571152719669044,-8.316490761339082,-6.8075371691084,3.7079552740760846,-11.292912785618682,-1.083329612214584,-8.441131351486547,-12.199670887624961,-4.8090829330612905,-9.86924972361885,-7.344004620594205,-4.104708795930492,-4.589521471178159,2.1626132371020503,-10.451543388684513,-0.37574908131500706,-2.836965700989822,1.4979834835103247,-11.465453848300967,2.5541871493915096,
2022-04-01,-2.252842586927727,-1.5636818308212241,1.1432904556986614,-0.7272083577190642,-2.618384976311063,-3.6954989912483143,-5.208213280857308,-11.66723226726026,-6.55418790251133,-2.5843685672734864,-6.210842672910076,-4.660858369694324,-9.984537548793014,-7.8856909676105715,-11.615274304698687,-4.6859470531053375,-16.53538180878968,-3.9872130525182,3.070594254619209,-6.156208190601319,-10.938682219799375,-1.234880688803969,-3.057447076687822,0.8497705707559362,-3.0482194403884932,1.4687770123127848,
