datetime,8.775,11.938,25.605,41.577,50.306,67.395,86.914,117.442,122.818,156.59,161.876,172.889,177.694,185.386,198.421,220.335,228.408,232.852,242.032,252.265,272.728,283.383,288.7,294.698
2003-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004-01-09,4.0,-2.0,-3.0,0.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,-3.0,2.0,-1.0,0.0,1.0,3.0,-4.0,2.0,-6.0,1.0,-2.0,
2004-02-12,2.0,-2.0,1.0,-1.0,-4.0,1.0,0.0,0.0,-4.0,1.0,-1.0,1.0,-5.0,0.0,0.0,0.0,-1.0,2.0,-8.0,2.0,-5.0,1.0,-2.0,
2004-03-17,0.0,-2.0,0.0,-2.0,-3.0,0.0,-5.0,0.0,-6.0,-1.0,0.0,2.0,-7.0,1.0,0.0,-1.0,-2.0,3.0,-8.0,-1.0,-7.0,0.0,-3.0,
2004-04-27,0.0,-2.0,-1.0,-2.0,-2.0,-1.0,-6.0,-2.0,-6.0,1.0,0.0,1.0,-9.0,3.0,-1.0,-2.0,-2.0,1.0,-7.0,-3.0,-9.0,0.0,-3.0,
2004-05-26,0.0,-2.0,1.0,-4.0,-2.0,-3.0,-9.0,-3.0,-5.0,-1.0,-1.0,-2.0,-5.0,-2.0,2.0,-3.0,-2.0,2.0,-9.0,-7.0,-10.0,-4.0,-1.0,
2004-06-25,2.0,-2.0,-1.0,-4.0,-4.0,-3.0,-10.0,-1.0,-7.0,-1.0,0.0,-1.0,-8.0,0.0,-3.0,-2.0,1.0,-2.0,-8.0,-9.0,-10.0,-2.0,-5.0,
2004-07-26,2.0,-1.0,0.0,-6.0,-2.0,-2.0,-8.0,-3.0,-5.0,-3.0,4.0,-2.0,-8.0,0.0,0.0,-4.0,-4.0,1.0,-10.0,-10.0,-12.0,0.0,-3.0,
2004-08-27,2.0,0.0,-3.0,0.0,-11.0,7.0,-9.0,-2.0,-5.0,-3.0,3.0,0.0,-9.0,-1.0,0.0,-2.0,-6.0,0.0,-13.0,-9.0,-14.0,2.0,-7.0,
2004-09-30,0.0,3.0,-2.0,-2.0,-2.9174426378740463,-0.08255736212595366,-10.0,-3.0,-3.0,-2.0,1.0,-2.0,-9.0,-2.0,0.0,-2.0,-3.0,1.0,-15.0,-11.0,-14.0,1.0,-5.0,
2004-10-28,1.0,0.0,-2.0,-2.0,-1.0,-5.0,-10.0,2.0,-8.0,-5.0,0.0,2.0,-12.0,-2.0,-1.0,1.0,-8.0,2.0,-16.0,-13.0,-14.0,0.0,-4.0,
2004-11-26,0.0,1.0,-3.0,-2.0,-2.0,-4.0,-10.0,1.0,-8.0,-1.0,0.0,-3.0,-9.0,0.0,0.0,-2.0,-7.0,4.0,-18.0,-16.0,-14.0,-2.0,-4.0,
2004-12-24,-1.0,2.0,-3.0,-1.0,0.0,-8.0,-5.0,1.0,-10.0,-2.0,2.0,-3.0,-8.0,-3.0,0.0,-2.0,-6.0,0.0,-15.0,-17.0,-13.0,-5.0,0.0,
2005-01-25,1.0,2.0,-2.0,-4.0,-1.0,-6.0,-8.0,-1.0,-11.0,-2.0,1.0,0.0,-9.0,-3.0,1.0,-4.0,-6.0,-3.0,-13.0,-19.0,-15.0,-7.0,1.0,
2005-02-24,-3.0,3.0,-3.0,-1.0,-5.0,-7.0,-8.0,-1.0,-11.0,-2.0,2.0,-4.0,-10.0,-3.0,2.0,-6.0,-7.0,-3.0,-12.0,-22.0,-15.0,-2.0,-5.0,
2005-03-24,-1.0,2.0,-2.0,-1.0,-5.0,-5.0,-12.0,0.0,-8.0,-4.0,1.0,-4.0,-8.0,-3.0,0.0,-5.0,-7.0,-4.0,-15.0,-21.0,-15.0,-1.0,-5.0,
2005-04-22,1.0,2.0,-4.0,-2.0,-4.0,-4.0,-15.0,2.0,-11.0,-7.0,4.0,-1.0,-14.0,0.0,-1.0,-4.0,-7.0,-3.0,-16.0,-23.0,-16.0,-3.0,-5.0,
2005-05-30,2.0,-1.0,-2.0,-3.0,-5.0,-3.0,-15.0,0.0,-11.0,-5.0,2.0,-1.0,-13.0,-1.0,-2.0,-5.0,-5.0,-4.0,-18.0,-23.0,-17.0,-4.0,-4.0,
2005-06-13,0.40351665356320154,1.5961563465098152,-2.596156346509815,-2.0,-5.0,-3.0,-15.0,1.147974841602263,-12.147974841602263,-3.0,3.0,0.0,-14.0,-1.0,-4.0,-2.0,-9.0,-4.0,-14.0,-27.0,-16.0,-5.0,-4.0,
2005-07-27,-1.0,3.0,2.0,-5.0,-4.0,-4.0,-13.0,1.0,-11.0,-5.0,4.0,-2.0,-15.0,-1.0,-1.0,-2.0,-11.0,-5.0,-13.0,-29.0,-16.0,-5.0,-4.0,
2005-08-17,-1.0,3.0,1.0,-3.0,-3.0,-4.0,-13.0,2.0,-10.0,-4.0,2.0,-2.0,-14.0,-2.0,0.0,-4.0,-11.0,-4.0,-14.0,-29.0,-18.0,-1.0,-7.0,
2005-09-30,0.0,1.0,-3.0,0.0,-3.0,-7.0,-12.0,1.0,-12.0,-2.0,1.0,-3.0,-13.0,-1.0,-2.0,-3.0,-11.0,-3.0,-16.0,-31.0,-18.0,-3.0,-8.0,
2005-10-28,1.0,1.0,-2.0,-2.0,-4.0,-5.0,-12.0,-2.0,-12.0,-1.0,2.0,-3.0,-12.0,-5.0,-1.0,-5.0,-8.0,-6.0,-18.0,-31.0,-17.0,-5.0,-6.0,
2005-11-28,1.0,1.0,1.0,-4.0,-4.0,-4.0,-13.0,-1.0,-12.0,-1.0,1.0,-3.0,-12.0,-5.0,0.0,-6.0,-9.0,-6.0,-16.0,-34.0,-18.0,-4.0,-7.0,
2005-12-28,-1.0,4.0,-3.0,-2.0,-5.0,-4.0,-13.0,1.0,-12.0,-3.0,2.0,-3.0,-13.0,-4.0,-2.0,-3.0,-11.0,-7.0,-15.0,-34.0,-19.0,-4.0,-5.0,
2006-01-11,-2.0,3.470075217930571,-3.470075217930571,1.0,-5.0,-5.0,-12.0,0.0,-12.0,-2.0,1.0,-2.0,-14.0,-4.0,-1.0,-4.0,-11.0,-6.0,-16.0,-34.0,-20.0,-5.0,-5.0,
2006-02-23,0.0,1.0,-3.0,0.0,-8.0,-5.0,-19.0,-3.0,-12.0,-1.0,0.0,-4.0,-13.0,-6.0,-1.0,7.0,-22.0,-6.0,-18.0,-35.0,-24.0,-1.0,-6.0,
2006-03-24,0.0,1.0,-3.0,-2.0,-8.0,-6.0,-18.0,-2.0,-13.0,-3.0,1.0,-5.0,-12.0,-5.0,-1.0,-4.0,-14.0,-4.0,-20.0,-37.0,-22.0,-5.0,-5.0,
2006-04-28,-2.0,3.0,-3.0,-2.0,-7.0,-6.0,-16.0,1.0,-16.0,-2.0,1.0,-5.0,-14.0,-4.0,-2.0,-4.0,-12.0,-6.0,-19.0,-39.0,-21.0,-5.0,-7.0,
2006-05-24,-2.4213670272092713,1.9921426382879872,-2.570775611078716,-2.0,-6.0,-7.0,-16.0,0.0,-16.0,-2.0,2.0,-4.0,-16.0,-5.0,0.0,-5.0,-14.0,-4.0,-21.0,-40.0,-22.0,-5.0,-5.0,
2006-06-22,0.0,2.0,-3.0,-2.0,-3.0,-6.0,-16.0,-2.0,-13.0,-4.0,1.0,-2.0,-15.0,-3.0,-2.0,-5.0,-12.0,-8.0,-19.0,-41.0,-21.0,-4.0,-8.0,
2006-07-21,-2.0,4.0,-5.113342660864873,-2.9817489365595975,1.0950915974244708,-10.0,-14.0,-1.0,-12.0,-2.0,-1.0,-2.0,-14.0,-5.0,-2.0,-6.0,-14.0,-5.0,-21.0,-42.0,-17.0,-3.0,-7.0,
2006-08-31,2.0,1.0,-2.0,-2.0,-4.0,-7.0,-13.0,-5.0,-12.0,-2.0,1.0,-1.0,-19.0,-4.0,-2.0,-4.0,-12.0,-5.0,-23.0,-43.0,-21.0,-4.0,-7.0,
2006-09-20,1.0,2.0,-2.0,-2.0,-2.0,-7.0,-15.0,-4.0,-10.0,-5.0,1.0,-1.0,-14.0,-7.0,0.0,-8.0,-9.0,-6.0,-23.0,-45.0,-20.0,-5.0,-5.0,
2006-10-26,2.0,1.0,-2.0,-3.0,-5.0,-4.0,-19.0,-4.0,-12.0,-5.0,2.0,-3.0,-12.0,-10.0,1.0,-8.0,-12.0,-6.0,-22.0,-44.0,-21.0,-7.0,-6.0,
2006-11-22,-2.0,5.0,-5.0,-1.0,-6.0,-5.0,-19.0,0.0,-16.0,-1.0,-1.0,-2.0,-15.0,-5.0,-2.0,-5.0,-16.0,-4.0,-20.0,-48.0,-22.0,-7.0,-6.0,
2006-12-21,-5.0,6.0,-3.0,-1.0,-5.0,-7.0,-15.0,0.0,-16.0,0.0,-1.0,-3.0,-15.0,-5.0,-1.0,-5.0,-17.0,-3.0,-22.0,-46.0,-21.0,-7.0,-6.0,
2007-01-25,-2.0,3.0,-2.0,-2.0,-4.0,-6.0,-17.0,-1.0,-14.0,-2.0,0.0,-2.0,-15.0,-5.0,-2.0,-5.0,-15.0,-5.0,-23.0,-47.0,-21.0,-6.0,-6.0,
2007-02-15,-2.0,4.0,-2.0,-3.0,-7.0,-6.0,-17.0,-2.0,-16.0,-3.0,0.0,-2.0,-18.0,-6.0,-2.0,-5.0,-16.0,-5.0,-21.0,-48.0,-22.0,-7.0,-7.0,
2007-03-29,-2.0,4.0,-4.0,-4.0,-8.0,-8.0,-17.0,-1.0,-19.0,-1.0,0.0,-4.0,-20.0,-4.0,-5.0,-3.0,-15.0,-7.0,-22.0,-50.0,-24.0,-6.0,-7.0,
2007-04-26,-2.0,4.0,-5.0,-2.0,-7.0,-10.0,-17.0,-1.0,-18.0,-2.0,-1.0,-1.0,-22.0,-3.0,-5.0,-3.0,-15.0,-8.0,-22.0,-49.0,-26.0,-5.0,-8.0,
2007-05-24,-2.0,3.0,-6.0,0.0,-9.0,-9.0,-19.0,0.0,-20.0,0.0,-3.0,-1.0,-19.0,-7.0,-3.0,-3.0,-17.0,-8.0,-22.0,-51.0,-27.0,-4.0,-9.0,
2007-06-22,-2.0,4.0,-5.0,0.0,-10.0,-9.0,-19.0,0.0,-19.0,-1.0,-2.0,-1.0,-20.0,-4.0,-5.0,-3.0,-19.0,-6.0,-23.0,-54.0,-24.0,-7.0,-8.0,
2007-07-18,-3.0,5.0,-5.0,-1.0,-9.0,-12.0,-17.0,0.0,-17.0,-4.0,1.0,-3.0,-21.0,-3.0,-6.0,-3.0,-18.0,-6.0,-22.0,-54.0,-25.0,-7.0,-9.0,
2007-08-23,0.0,3.0,-3.0,-4.0,-5.0,-10.0,-18.0,-3.0,-15.0,-5.0,2.0,-2.0,-18.0,-6.0,-5.0,-4.0,-16.0,-8.0,-24.0,-52.0,-27.0,-9.0,-6.0,
2007-09-13,-1.0,4.0,-5.0,-1.0,-6.0,-8.0,-20.0,-1.0,-17.0,-3.0,2.0,-2.0,-20.0,-6.0,-3.0,-6.0,-15.0,-8.0,-24.0,-54.0,-24.0,-8.0,-8.0,
2007-10-18,-5.0,7.0,-4.0,-1.0,-8.0,-7.0,-20.0,0.0,-19.0,-1.0,1.0,-3.0,-19.0,-6.0,-2.0,-5.0,-17.0,-9.0,-24.0,-55.0,-22.0,-8.0,-10.0,
2007-11-13,-1.0,4.0,-4.0,-2.0,-7.0,-8.0,-19.0,-3.0,-17.0,-4.0,3.0,-5.0,-17.0,-8.0,-3.0,-5.0,-17.0,-7.0,-23.0,-54.0,-26.0,-8.0,-10.0,
2007-12-10,-3.0,3.0,-3.0,-1.0,-8.0,-7.0,-18.0,-2.0,-17.0,-4.0,3.0,-5.0,-19.0,-6.0,-3.0,-4.0,-17.0,-7.0,-24.0,-55.0,-26.0,-8.0,-9.0,
2008-01-16,-2.0,2.0,-3.0,-1.0,-8.0,-8.0,-18.0,-2.0,-17.0,-3.0,2.0,-2.0,-22.0,-4.0,-2.0,-6.0,-19.0,-7.0,-24.0,-56.0,-23.0,-11.0,-6.0,
2008-02-19,-1.0,3.0,-5.0,-2.0,-10.0,-6.0,-21.0,-2.0,-19.0,-5.0,2.0,-3.0,-20.0,-7.0,-3.0,-5.0,-18.0,-7.0,-27.0,-58.0,-23.0,-10.0,-7.0,
2008-03-13,-2.0,2.0,-3.0,-4.0,-9.0,-9.0,-21.0,-5.0,-20.0,-4.0,1.0,-5.0,-19.0,-6.0,-4.0,-5.0,-17.0,-8.0,-27.0,-58.0,-25.0,-8.0,-7.0,
2008-04-16,-2.0,2.0,-3.0,-5.0,-9.0,-10.0,-24.0,-7.0,-16.0,-17.0,10.0,-7.0,-12.0,-11.0,-2.0,-7.0,-16.0,-9.0,-26.0,-60.0,-28.0,-7.0,-8.0,
2008-05-20,-2.0,2.0,-2.0,-6.0,-11.0,-11.0,-25.0,-5.0,-21.0,-9.0,5.0,-5.0,-18.0,-9.0,-3.0,-7.0,-18.0,-9.0,-27.0,-61.0,-28.0,-7.0,-7.0,
2008-06-24,-2.0,1.0,-2.0,-6.0,-9.0,-10.0,-22.0,-5.0,-19.0,-6.0,4.0,-9.0,-13.0,-11.0,-2.0,-8.0,-16.0,-11.0,-29.0,-58.0,-32.0,-3.0,-6.0,
2008-07-16,-3.0,3.0,-2.0,-6.0,-7.0,-9.0,-23.0,-6.0,-17.0,-8.0,3.0,-5.0,-17.0,-9.0,-1.0,-7.0,-19.0,-12.0,-24.0,-61.0,-29.0,-8.0,-8.0,
2008-08-21,-1.0,4.0,-5.0,-3.0,-8.0,-11.0,-23.0,-2.0,-19.0,-6.0,3.0,-5.0,-19.0,-7.0,-4.0,-6.0,-19.0,-11.0,-25.0,-64.0,-26.0,-9.0,2.0,
2008-09-19,-2.0,4.0,-3.0,-3.0,-8.0,-10.0,-22.0,-3.0,-18.0,-5.0,3.0,-7.0,-20.0,-6.0,-4.0,-5.0,-17.0,-11.0,-27.0,-63.0,-29.0,-7.0,-8.0,
2008-10-08,-4.0,5.0,-3.0,-1.0,-9.0,-8.0,-23.0,-3.0,-18.0,-6.0,4.0,-6.0,-19.0,-8.0,-1.0,-8.0,-18.0,-9.0,-29.0,-61.0,-32.0,-5.0,-10.0,
2008-11-05,-2.0,2.0,-1.0,-2.0,-8.0,-10.0,-22.0,-5.0,-17.0,-8.0,4.0,-7.0,-17.0,-10.0,2.0,-10.0,-18.0,-9.0,-28.0,-61.0,-33.0,-4.0,-10.0,
2008-12-04,0.0,0.0,-1.0,-3.0,-6.0,-12.0,-20.0,-7.0,-17.0,-6.0,3.0,-6.0,-16.0,-10.0,-2.0,-5.0,-19.0,-10.0,-27.0,-63.0,-31.0,-6.0,-10.0,
2009-01-14,-2.0,2.0,-2.0,-3.0,-10.0,-10.0,-21.0,-3.0,-20.0,-6.0,3.0,-5.0,-18.0,-10.0,-4.0,-3.0,-21.0,-11.0,-25.0,-64.0,-32.0,-6.0,-10.0,
2009-02-05,-2.0,3.0,-4.0,-3.0,-11.0,-11.0,-23.0,-1.0,-23.0,-5.0,2.0,-5.0,-17.0,-11.0,-5.0,-5.0,-20.0,-12.0,-25.0,-65.0,-31.0,-8.0,-8.0,
2009-03-04,-2.0,3.0,-4.0,-5.0,-11.0,-12.0,-25.0,-1.0,-25.0,-5.0,1.0,-6.0,-21.0,-9.0,-3.0,-4.0,-20.0,-11.0,-31.0,-66.0,-29.0,-7.0,-9.0,
2009-04-17,-3.0,3.0,-5.0,-5.0,-10.0,-12.0,-25.0,-2.0,-25.0,-4.0,0.0,-6.0,-21.0,-8.0,-4.0,-5.0,-22.0,-12.0,-28.0,-67.0,-30.0,-9.0,-7.0,
2009-05-06,-2.0,2.0,-3.0,-7.0,-11.0,-13.0,-23.0,-4.0,-24.0,-2.0,2.0,-5.0,-21.0,-12.0,-2.0,-7.0,-22.0,-10.0,-29.0,-67.0,-30.0,-8.0,-8.0,
2009-06-10,-3.0,2.0,-5.0,-4.0,-12.0,-14.0,-25.0,-4.0,-25.0,-4.0,1.0,-4.0,-24.0,-11.0,-2.0,-10.0,-16.0,-13.0,-32.0,-64.0,-32.0,-9.0,-10.0,
2009-07-15,-2.0,1.0,-5.0,-4.0,-10.0,-14.0,-24.0,-3.0,-24.0,-4.0,2.0,-6.0,-21.0,-10.0,-4.0,-6.0,-20.0,-13.0,-28.0,-68.0,-31.0,-6.0,-10.0,
2009-08-12,-2.0,1.0,-4.0,-2.0,-12.89871891621442,-13.601706565372297,-21.499574518413283,-1.0,-26.0,-7.0,1.0,-6.0,-21.0,-9.0,-5.0,-7.0,-19.0,-13.0,-28.0,-69.0,-30.0,-6.0,-10.0,
2009-09-15,-2.0,2.0,-4.0,-2.0,-11.0,-12.0,-28.0,-2.0,-26.0,-4.0,3.0,-6.0,-24.0,-6.0,-7.0,-5.0,-21.0,-13.0,-28.0,-70.0,-31.0,-7.0,-10.0,
2009-10-14,-2.0,1.0,-4.0,-2.0,-11.0,-12.0,-28.0,-3.0,-25.0,-5.0,2.0,-7.0,-21.0,-6.0,-7.0,-7.0,-19.0,-14.0,-28.0,-71.0,-31.0,-9.0,-10.0,
2009-11-11,1.0,1.0,-7.0,-2.0,-12.0,-14.0,-27.0,-1.0,-27.0,-4.0,2.0,-6.0,-23.0,-4.0,-10.0,-7.0,-21.0,-13.0,-29.0,-71.0,-32.0,-10.0,-9.0,
2009-12-09,-3.0,3.0,-8.0,-1.0,-11.0,-14.0,-27.0,0.0,-26.0,-5.0,3.0,-8.0,-21.0,-6.0,-7.0,-10.0,-18.0,-12.0,-31.0,-71.0,-34.0,-8.0,-8.0,
2010-01-19,-2.0,2.0,-5.0,-3.0,-12.0,-15.0,-24.0,0.0,-26.0,-5.0,1.0,-7.0,-20.0,-7.0,-7.0,-10.0,-18.0,-12.0,-31.0,-71.0,-34.0,-8.0,-8.0,
